"Keyword"	"Toolmarks"
"PLASTIC DEFORMATION IN METALS"	5
"PLASTIC SUBSTRATES"	1
"PLATEAU"	1
"PLIERS"	1
"PNEUMATIC PRESS"	1
"POINT-TO-POINT BLADES"	1
"POLARIZATION PHOTOGRAPHY"	1
"POLICE"	1
"POLICE INVESTIGATION"	1
"POLLEN"	1
"POLYETHYLENE"	2
"POLYMER"	2
"POLYMER FILMS"	1
"POLYMERASE CHAIN REACTION (PCR)"	2
"POLYMERIZATION"	1
"PORPHYRINE"	1
"PORTABLE PROTOTYPE"	1
"POST-MORTEM INTERVAL"	1
"POSTERIOR ODDS"	1
"POSTMORTEM CHANGE"	1
"POSTMORTEM DISMEMBERMENT"	1
"POSTMORTEM INTERVAL"	1
"POWDER DUSTING"	1
"POWER SPECTRAL DENSITY"	1
"PPD"	1
"PRACTICAL RELEVANCE OF PATTERN UNIQUENESS"	1
"PRECISION"	1
"PREPAREDNESS"	1
"PRESERVATIVE"	1
"PRESS METHOD"	2
"PRESSURE"	1
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	3
"PRINT VISUALIZATION"	1
"PRINTER"	1
"PRINTING PRESSES"	1
"PRIOR AND POSTERIOR PROBABILITIES"	1
"PRIOR ODDS"	1
"PROBABILITY"	6
"PROBABILITY EVIDENCE"	1
"PROBABILITY OF CORRESPONDENCE"	1
"PROBABILITY STATISTICS"	1
"PRODUCT RULE"	1
"PROFICIENCY TEST"	1
"PROFICIENCY TESTING"	1
"PROFICIENCY TESTS"	1
"PROFILING"	1
"PROFILOMETRY"	6
"PROTEIN DYE"	1
"PROTEIN STAIN"	1
"PROVENANCE DETERMINATION"	1
"PSYCHOLOGY"	1
"PUNCH"	1
"PUNCHES"	1
"PUSHING VS. PULLING A TOOLMARK"	1
"PYRROLE"	1
"QLF"	1
"QUALITATIVE AND QUANTITATIVE ASSESSMENT"	1
"QUALITY"	1
"QUALITY ASSURANCE"	2
"QUALITY CONTROL"	2
"QUANTITATIVE ANALYSIS"	1
"QUANTITATIVE MEASUREMENTS"	1
"QUANTIZATION"	1
"QUARTZITE"	1
"QUASI-STRIATED"	1
"QUESTIONED DOCUMENT"	6
"RAC"	1
"RADIOGRAMMETRY"	1
"RADIOGRAPH"	2
"RANDOM FOREST CLASSIFIER"	1
"RANDOM MATCH PROBABILITIES"	1
"RANDOM MATCH PROBABILITY"	1
"RANDOMLY ACQUIRED CHARACTERISTICS"	3
"RANGE OF CONCLUSIONS"	1
"RANSAC"	1
"RAPID PROTOTYPING"	1
"RAW MATERIAL"	1
"RAW MATERIALS"	2
"REAGENT"	1
"REAL CRIME SCENE"	1
"REASSEMBLY"	1
"RECIPROCATING SAWS"	1
"RECONSTRUCTION"	3
"RECOVER"	2
"RECOVERY"	1
"RECTIFICATION"	1
"REFERENCE ARTIFACTS"	1
"REFERENCE PIXELS"	1
"REFLECTANCE TRANSFORMATION IMAGING"	1
"REFLECTED LIGHT MICROSCOPY"	1
"REGISTRATION"	1
"RELATIVE HUMIDITY"	1
"RELIABILITY"	2
"RELIEF POLISHING"	1
"REPORTING RESULTS"	1
"RESEARCH"	3
"RESIN"	1
"RESTORATION"	7
"RESTORATION OF OBLITERATED NUMBERS"	1
"RESTORATION OF STAMP MARKS"	1
"RETREADED TIRE"	1
"REVEALING OF FINGERPRINT TRACES"	1
"REVERSE DEVELOPMENT"	1
"REVERSE ENGINEERING"	1
"REVIEW"	1
"RIB TRAUMA"	1
"RISK FACTOR"	1
"ROC"	1
"RTI PHOTOGRAPHY"	1
"RUBEANIC ACID"	1
"RUTHENIUM TETROXIDE"	1
"SALIVA"	2
"SAME AND DIFFERENT TOOLMARK VARIABILITY AND QUALITY"	1
"SAMPLING"	1
"SANDY SOILS"	1
"SAW"	3
"SAW BONE LESIONS"	1
"SAW MARK"	1
"SAW MARKS"	6
"SCALE-INVARIANCE FEATURE TRANSFORM"	2
"SCALES"	1
"SCANNING ELECTRON MICROSCOPY (SEM)"	12
"SCANNING KELVIN MICROPROBE"	1
"SCANNING WHITE LIGHT INTERFEROMETRY"	3
"SCENES OF CRIME"	1
"SCIENTIFIC CERTAINTY"	1
"SCIENTIFIC FOUNDATIONS"	1
"SCREWDRIVER"	3
"SCREWDRIVERS"	3
"SECONDARY TRANSFER"	1
"SEM ANALYSIS"	1
"SERIAL"	1
"SERIAL CRIME"	2
"SERIAL NUMBER"	1
"SERIAL NUMBER RECOVERY"	4
"SERIAL NUMBER RESTORATION"	6
"SERRATED BLADE"	1
"SERRATED KNIVES"	3
"SEX DETERMINATION"	1
"SEXUAL ORIENTATION"	1
"SHAPE DESCRIPTORS"	1
"SHARP-FORCE INJURIES"	1
"SHARP-FORCE TRAUMA"	2
"SHARP FORCE"	1
"SHARP FORCE INJURIES"	2
"SHARP FORCE INJURY"	1
"SHARP FORCE TRAUMA"	5
"SHARP INSTRUMENTS"	1
"SHARPFORCE TRAUMA"	1
"SHEAR CUTTER"	1
"SHEDDER"	1
"SHIFT REAGENTS"	1
"SHOE CASTING"	1
"SHOE DESIGN"	1
"SHOE IMPRESSION"	1
"SHOE PATTERN"	1
"SHOE PRINT EXAMINATIONS"	1
"SHOE SIZE"	1
"SHOE SOLE PATTERN"	1
"SHOE TYPE IDENTIFICATION"	1
"SHOE WEAR"	1
"SHOEMARKS"	2
"SHOEPRINT"	22
"SHOEPRINT CLASSIFICATION"	3
"SHOEPRINT EVIDENCE"	1
"SHOEPRINT IMAGE"	4
"SHOEPRINT RECOGNITION"	1
"SHOEPRINT RETRIEVAL"	6
"SHOES"	5
"SHORT TANDEM REPEAT (STR)"	4
"SIFT"	1
"SIFT DESCRIPTOR"	1
"SILICONE BREAST IMPLANTS"	1
"SILVER PHYSICAL DEVELOPER"	1
"SIMILARITY"	1
"SIMILARITY MEASUREMENT"	1
"SIMILARITY METRIC"	1
"SKELETAL IDENTIFICATION"	1
"SKELETAL TRAUMA"	2
"SKIN"	2
"SLIP-JOINT PLIERS"	1
"SLOUGHER"	1
"SNOW"	1
"SNOW PRINT"	1
"SODIUM HYDROXIDE"	1
"SOFTWARE"	1
"SOFTWARE TOOL"	1
"SOIL"	5
"SOIL IMPRESSIONS"	1
"SOILS AND SEDIMENT"	1
"SOLE"	1
"SOLE PATTERN IMPRINTS"	1
"SOLUBILITY"	1
"SOLVENT-FREE"	1
"SOURCE ATTRIBUTION"	1
"SOUTH AUSTRALIA"	1
"SPACE-TIME ALGORITHM"	1
"SPACE SHUTTLE COLUMBIA"	1
"SPATIAL PYRAMID MATCHING"	1
"SPECIALIZATION"	1
"SPECIFICATIONS"	1
"SPECTRAL ENHANCEMENT"	1
"SPECTRAL WEIGHTING FUNCTION"	1
"SPECTROSCOPIC IMAGING"	1
"SPECTROSCOPY"	2
"SPORTS"	1
"SPOT TESTS"	1
"SPUR GEARS"	1
"SPUR MARKS"	1
"STAB"	1
"STAB MARK"	1
"STAB WOUND"	6
"STABBING"	2
"STABBING MACHINE"	1
"STABLE ISOTOPE"	1
"STAMP"	1
"STAMP IMPRESSIONS"	2
"STAMP MARK"	1
"STAMPING"	1
"STANDARD"	2
"STATISTICAL ALGORITHM"	1
"STATISTICAL ANALYSIS"	1
"STATISTICAL ATLAS"	1
"STATISTICAL COMPARISON"	4
"STATISTICAL COMPARISONS"	1
"STATISTICAL EVIDENCE EVALUATION"	1
"STATISTICAL JUSTIFICATION"	1
"STATISTICAL METHODOLOGY"	1
"STATISTICAL VALIDATION"	1
"STATISTICS"	10
"STATURE ESTIMATE"	1
"STEEL"	1
"STEEL SURFACE"	1
"STEREOMICROSCOPE"	2
"STEREOMICROSCOPY"	4
"STR GENOTYPING"	1
"STRAIN PATTERNS IN METALS"	1
"STREPTOCOCCUS"	1
"STRESS MARKS IN METALS"	1
"STRIAE"	7
"STRIATED TOOLMARKS"	2
"STRIATION"	1
"STRIATION PATTERN"	1
"STRIATION PATTERNS"	2
"STRIATIONS"	7
"STRUCTURED LIGHT"	1
"STRUCTURED LIGHT 3D SCANNING"	1
"STRUCTURED LIGHT SCANNING"	1
"SUB-CLASS"	1
"SUB-CLASS IDENTIFICATION"	1
"SUBCLASS CHARACTERISTICS"	2
"SUBLIMATION"	1
"SUBLIMATION DYEING"	1
"SUBSTRATE MATERIALS WAX AND LEAD"	1
"SUPER-GLUE"	1
"SUPER RESOLUTION"	1
"SUPERIMPOSITION"	1
"SUPPORT VECTOR MACHINE (SVM)"	1
"SURFACE"	1
"SURFACE ANALYSIS"	2
"SURFACE METROLOGY"	2
"SURFACE TOPOGRAPHY"	1
"SURGICAL INSTRUMENTS"	1
"SURVEILLANCE FILM"	1
"SURVEY"	2
"SURVIVAL RATE"	1
"SWARF"	1
"SWELLING"	1
"SWLI"	1
"SYNCHRONOUS PROCESSING"	1
"TAPHONOMY"	5
"TAX DISC"	1
"TAXONOMIES"	1
"TEAM WORK"	1
"TEARING"	1
"TECHNICAL ERROR OF MEASUREMENT"	1
"TECHNICAL REVIEW"	1
"TECHNICAL/LABORATORY AIDE"	1
"TEMPERATURE"	1
"TENSILE MACHINE"	1
"TEST FIRES"	1
"TEST IMPRESSION"	1
"TEXTILE"	1
"TEXTILE DAMAGE"	1
"TEXTURE RECOGNITION"	1
"TH01 FGA"	1
"THERMAL PAPER"	1
"THETA"	1
"THIN LAYER CHROMATOGRAPHY (TLC)"	1
"THO"	1
"THREE-DIMENSIONAL DIGITIZING"	1
"THREE-DIMENSIONAL SHOEPRINTS"	1
"THREE-DIMENSIONAL TOOL MARKS"	1
"THREE DIMENSIONAL"	1
"THRESHOLDING"	1
"TIRE"	1
"TIRE DATABASE"	1
"TIRE DESIGN"	1
"TIRE IMPRESSION"	2
"TIRE TREAD PATTERN"	1
"TIRE TREAD PATTERNS"	1
"TITANIUM"	1
"TITANIUM ALLOY"	1
"TOF-SIMS"	1
"TONERS"	1
"TONGUE AND GROOVE PLIERS"	1
"TOOL ACTIONS"	1
"TOOL MARK ANALYSIS"	4
"TOOL MARK COMPARISON"	5
"TOOL MARK IDENTIFICATION"	1
"TOOL TYPES"	1
"TOOLMARK ANALYSIS"	4
"TOOLMARK ANGLE OF ATTACK AND DEPTH"	1
"TOOLMARK COMPARISON"	3
"TOOLMARK COMPARISONS"	1
"TOOLMARK EXAMINATION"	1
"TOOLMARK IDENTIFICATION"	2
"TOOLMARK REGISTRATION/ALIGNMENT"	1
"TOOLMARK SEPARATION"	1
"TOOLMARK VARIABILITY"	1
"TOOLMARK VARIABILITY AND REPEATABILITY"	1
"TOOLMARKS"	44
"TOOLMARKS' IMPRESSIONS"	1
"TOOLMARKS IDENTIFICATION"	1
"TOOLMARKS ON BONE"	1
"TOOLS"	2
"TORRES STRAIT ISLANDS"	1
"TPOX"	1
"TRACE DNA"	2
"TRACE EVIDENCE"	4
"TRACE EVIDENCE AND FORENSICS"	1
"TRACE FOSSILS AND FORENSICS"	1
"TRACES ON HUMAN SKIN"	1
"TRACK WIDTH"	1
"TRACKING"	1
"TRACKS AND FOOTPRINTS"	1
"TRAFFIC ACCIDENT"	1
"TRANSFER"	1
"TRANSLUCENCY"	1
"TRAUMA"	4
"TREAD"	1
"TREAD WEAR INDICATOR"	1
"TROPHY SKULLS"	1
"TSCOHS"	1
"TURKS"	1
"TURNING DIAMETER"	1
"TWO DIMENSIONAL SCALE"	1
"TYING HABITS"	2
"TYRE IMPRESSION"	1
"U-STATISTIC"	1
"UNCERTAINTY"	1
"UNIQUENESS"	2
"UNIVARIATE COMPARISON"	1
"URINE"	2
"US MARINES"	1
"VACUUM METAL DEPOSITION (VMD)"	3
"VALIDATION"	2
"VALIDATION STUDY"	4
"VALIDITY"	4
"VEHICLE"	1
"VEHICLE FRAME"	1
"VEHICLE IDENTIFICATION NUMBER"	1
"VEHICLE IDENTIFY NUMBER"	1
"VERIFICATION"	2
"VIDEO SURVEILLANCE"	1
"VIM"	1
"VINYL ELECTRICAL TAPE"	1
"VIRTOPSY"	1
"VIRTUAL AND SIMULATED TOOLMARKS"	1
"VIRTUAL APPROACH"	1
"VIRTUAL AUTOPSY"	1
"VIRTUAL EXAMINATION"	1
"VIRTUAL MICROSCOPY"	1
"VIRTUAL TOOLMARK"	1
"VISUALIZATION"	2
"VOLUME CRIME"	1
"VWA"	2
"WALL"	1
"WAVELET BASED MULTISCALE ANALYSIS"	1
"WAVELET EDGE DETECT"	1
"WAX"	1
"WEAPON"	2
"WEAPON USE"	1
"WEAR"	1
"WEAR PATTERNS"	1
"WET-ORIGIN"	1
"WHEELBARROW"	1
"WHEELBASE"	1
"WHITE LIGHT INTERFEROMETRY"	1
"WILLIAM J HIRSCHEL"	1
"WITHIN SOURCE VARIABILITY"	1
"WOUND DOCUMENTATION"	2
"WOUND MORPHOLOGY"	1
"X-RAY"	1
"ZERNIKE MOMENTS"	2
"ZINC DEPOSITION"	3
