"Keyword"	"Fingermarks"
"ERRORS"	7
"ESDA"	3
"ESIPT"	1
"ETHANOLAMINE"	1
"ETHICS"	2
"ETHNICITY"	1
"ETHYL CHLOROFORMATE"	2
"ETHYL CYANOACRYLATE"	2
"EU3+"	1
"EUCLIDEAN DISTANCE"	1
"EURO NOTES"	1
"EUROPIUM"	3
"EUROPIUM COMPLEX"	1
"EVALUATION"	2
"EVAPORATION INDUCED SELF-ASSEMBLY"	1
"EVIDENCE"	14
"EVIDENCE COLLECTION"	3
"EVIDENCE INTEGRATION"	1
"EVIDENCE INTERPRETATION"	1
"EVIDENCE LINE-UPS"	1
"EVIDENCE RECOVERY"	1
"EVIDENCES"	1
"EVIDENTIAL STRENGTH"	1
"EXAMINER"	1
"EXAMINER ACCURACY"	1
"EXCIMERS"	1
"EXCITATION AND EMISSION SPECTRA"	1
"EXCITATION SYSTEM"	1
"EXCLUSION"	2
"EXOGENOUS MATERIAL"	1
"EXPECTANCY EFFECTS"	5
"EXPECTATIONS"	1
"EXPERIMENT"	2
"EXPERIMENTAL RESULTS"	1
"EXPERIMENTAL STUDY"	1
"EXPERIMENTER EFFECTS"	1
"EXPERT"	2
"EXPERT DECISION-MAKING"	1
"EXPERT DECISION-MAKING AND JUDGMENT"	1
"EXPERT EVIDENCE"	3
"EXPERT OPINION"	1
"EXPERT PERFORMANCE"	1
"EXPERT TESTIMONY"	3
"EXPERT WITNESS"	3
"EXPERT WITNESSES"	1
"EXPERTISE"	9
"EXPERTISE ACQUISITION"	1
"EXPERTS"	1
"EXPLOSIVE"	8
"EXPLOSIVE DETECTION"	1
"EXPLOSIVE MATERIALS"	1
"EXPLOSIVE RESIDUES"	2
"EXPRESSION"	1
"EXTENDED CLASSIFICATION SET"	1
"EXTENDED FEATURE SET"	1
"EXTENDED FEATURE SETS"	1
"EXTENDED FEATURES"	1
"EXTRANEOUS INFORMATION"	1
"EYE TRACKING"	2
"F3A"	1
"FABRICS"	4
"FACE"	1
"FACES"	1
"FACIAL IMAGE COMPARISON"	1
"FAKE FINGERPRINTS"	2
"FAKE FINGERS"	2
"FALSE CONVICTIONS"	1
"FALSE DOCUMENT"	1
"FALSE MATCH RATE (FMR)"	1
"FALSE NON-MATCH RATE (FNMR)"	1
"FALSIFIABILITY"	1
"FAMILIARITY"	1
"FAMILY RESEMBLANCE"	1
"FATIGUE"	1
"FATTY ACID ETHYL ESTERS (FAEE)"	1
"FATTY ACID RATIOS"	1
"FATTY ACIDS"	4
"FE3O4 NANOPARTICLES (FE3O4 NPS)"	1
"FE3O4@AG NANOEGGS"	1
"FEATHERS"	2
"FEATURE EXTRACTION"	2
"FEATURE FUSION"	1
"FEATURE LEVEL FUSION"	1
"FEATURE SELECTION"	1
"FEATURES"	1
"FEATURES EXTRACTION"	1
"FEDERAL BUREAU OF INVESTIGATION"	1
"FEDERAL RULES OF EVIDENCE"	1
"FESFPS"	1
"FIBRILLAR SELF-ASSEMBLY"	1
"FIELD ANALYSIS"	1
"FILM"	1
"FILM FORMERS"	1
"FILM THICKNESS"	1
"FINGER"	1
"FINGER CODE"	1
"FINGER DORSAL BIOMETRICS"	2
"FINGER KNUCKLE BIOMETRICS"	1
"FINGER KNUCKLE IDENTIFICATION"	1
"FINGER KNUCLE PRINT (FKP)"	1
"FINGER MARK"	4
"FINGER PATTERN"	1
"FINGER PRINT EXAMINERS (FPES)"	1
"FINGER RIDGE"	1
"FINGER RIDGE DENSITY"	1
"FINGER/FOOTWEAR MARK ENHANCEMENT"	1
"FINGERMARK AGE"	1
"FINGERMARK COMPOSITION"	1
"FINGERMARK DEPOSITION"	1
"FINGERMARK DETECTION"	15
"FINGERMARK DETECTION TECHNIQUES"	1
"FINGERMARK DEVELOPMENT"	7
"FINGERMARK ENHANCEMENT"	4
"FINGERMARK IDENTIFICATION"	1
"FINGERMARK IMAGE"	1
"FINGERMARK LOCATION"	1
"FINGERMARK POWDERS"	1
"FINGERMARK REAGENTS"	1
"FINGERMARK RECOVERY"	1
"FINGERMARK SPRAYS"	1
"FINGERMARK SUFFICIENCY"	1
"FINGERMARK TOPOLOGY"	1
"FINGERMARKS DETECTION"	1
"FINGERMARKS DEVELOPMENT"	2
"FINGERMARKS ENHANCEMENT, CYANOACRYLATE POST TREATMENT DYE, COUMARIN-480, FLUORESCENT DYE"	1
"FINGERMARKS IN BLOOD"	1
"FINGERPRINT"	426
"FINGERPRINT-BASED AUTHENTICATION"	1
"FINGERPRINT AGE"	1
"FINGERPRINT AGE DETERMINATION"	1
"FINGERPRINT AGEING"	1
"FINGERPRINT AGING VARIABILITY"	1
"FINGERPRINT ANALYSIS"	9
"FINGERPRINT BRUSH"	2
"FINGERPRINT BRUSHES"	1
"FINGERPRINT CHANGES"	1
"FINGERPRINT CHARACTERISTICS"	1
"FINGERPRINT CHEMICAL COMPOSITION"	1
"FINGERPRINT CHEMISTRY"	1
"FINGERPRINT CLASSIFICATION"	3
"FINGERPRINT COLLECTIONS"	1
"FINGERPRINT COMPARISON"	1
"FINGERPRINT COMPOUNDS"	1
"FINGERPRINT CONCLUSIONS"	1
"FINGERPRINT CROSS-MATCHING"	1
"FINGERPRINT DEGRADATION"	3
"FINGERPRINT DEPOSITION"	1
"FINGERPRINT DETECTION"	18
"FINGERPRINT DEVELOPING MEMBRANE"	1
"FINGERPRINT DEVELOPMENT"	13
"FINGERPRINT DISTORTION"	1
"FINGERPRINT DONORSHIP"	1
"FINGERPRINT DUSTING"	1
"FINGERPRINT ENHANCEMENT"	3
"FINGERPRINT EVALUATION"	2
"FINGERPRINT EVIDENCE"	3
"FINGERPRINT EXAMINATION"	1
"FINGERPRINT EXPERT OPINION"	1
"FINGERPRINT FLUORESCENCE"	1
"FINGERPRINT FORGERY DETECTION"	1
"FINGERPRINT FORMATION"	1
"FINGERPRINT GRADING SCHEME"	1
"FINGERPRINT IDENTIFICATION"	16
"FINGERPRINT IMAGE ENHANCEMENT"	1
"FINGERPRINT IMAGE QUALITY"	2
"FINGERPRINT IMAGING"	1
"FINGERPRINT INDEXING"	3
"FINGERPRINT INDIVIDUALITY"	2
"FINGERPRINT LABELING AGENTS"	1
"FINGERPRINT LIFTING"	2
"FINGERPRINT LOSS"	1
"FINGERPRINT MATCHERS"	1
"FINGERPRINT MATCHING"	5
"FINGERPRINT MINUTIAE"	1
"FINGERPRINT MODELLING"	1
"FINGERPRINT NANOPOWDER"	1
"FINGERPRINT PATTERN"	1
"FINGERPRINT PATTERNS"	2
"FINGERPRINT PERSISTENCE"	1
"FINGERPRINT POWDER"	9
"FINGERPRINT POWDERS"	2
"FINGERPRINT PROCESSING"	2
"FINGERPRINT PROCESSING PIPELINE"	1
"FINGERPRINT QUALITY"	2
"FINGERPRINT QUALITY ASSESSMENT"	1
"FINGERPRINT REAGENT"	3
"FINGERPRINT REAGENTS"	3
"FINGERPRINT RECOGNITION"	12
"FINGERPRINT REGENERATION"	2
"FINGERPRINT RESEARCH"	1
"FINGERPRINT RESIDUE"	2
"FINGERPRINT RETRIEVIAL"	1
"FINGERPRINT RIDGE DENSITY"	3
"FINGERPRINT SCANNER QUALITY"	1
"FINGERPRINT SEARCH"	1
"FINGERPRINT SEGMENTATION"	1
"FINGERPRINT SENSOR"	1
"FINGERPRINT SENSOR-INTEROPERABILITY"	1
"FINGERPRINT SEPARATION"	5
"FINGERPRINT SIZE AND QUALITY"	1
"FINGERPRINT SPOOFING"	1
"FINGERPRINT SWEAT"	1
"FINGERPRINT TOPOLOGY"	1
"FINGERPRINT TRAINING"	1
"FINGERPRINT UNIQUENESS"	1
"FINGERPRINT VALUE"	1
"FINGERPRINT VERIFICATION"	4
"FINGERPRINT VISIBILITY"	1
"FINGERPRINT VISIBILITY ASSESSMENT"	2
"FINGERPRINT VISUALIZATION TECHNIQUES"	2
"FINGERPRINTING"	8
"FINGERPRINTNESS"	1
"FINGERPRINTS ANALYSIS"	1
"FINGERPRINTS DETECTION"	3
"FINGERPRINTS MAPPING"	1
"FINGERPRINTS RIDGE DENSITY"	1
"FINGERPRINTS WHORL WITH THREE DELTAS"	1
"FINGERTIP"	1
"FINGERTIP FEATURES"	1
"FINGERTIP PATTERNS"	1
"FINGERTRACE COMPARISON"	1
"FINITE ELEMENT MODEL"	1
"FIRE"	1
"FIRE DEBRIS"	1
"FIRE INVESTIGATION"	1
"FIRE SCENE EXAMINATION"	1
"FIREARM"	6
"FIREARM IDENTIFICATION"	2
"FIRED CARTRIDGE CASINGS"	1
"FIRING EFFECTS"	1
"FIRST RESPONDER"	1
"FLAT BED SCANNER"	1
"FLEXION CREASE"	1
"FLUCTUATING ASYMMETRY"	1
"FLUORESCEIN"	2
"FLUORESCEIN ISOTHIOCYANATE"	2
"FLUORESCENCE"	49
"FLUORESCENCE CHARACTERIZATIONS"	2
"FLUORESCENCE CHEMICALS"	1
"FLUORESCENCE DETECTION"	1
"FLUORESCENCE DEVELOPMENT"	2
"FLUORESCENCE IMAGING"	1
"FLUORESCENCE LIFETIME"	1
"FLUORESCENCE LIFETIME IMAGING"	1
"FLUORESCENCE MICROSCOPE"	1
"FLUORESCENCE PROBE"	1
"FLUORESCENCE SPECTROSCOPY"	2
"FLUORESCENT"	4
"FLUORESCENT CYANOACRYLATE"	1
"FLUORESCENT DEVELOPMENT"	1
"FLUORESCENT FINGERPRINT POWDER"	1
"FLUORESCENT IMAGING"	1
"FLUORESCENT INORGANIC NANOMATERIAL"	1
"FLUORESCENT LABEL"	1
"FLUORESCENT NANOPARTICLES"	1
"FLUORESCENT POWDER"	4
"FLUORESCENT POWDERS"	1
"FLUORESCENT PROBES"	1
"FLUOROGENIC"	3
"FLUXES"	1
"FOOD"	1
"FOOD COLORS"	1
"FOOT ARCH"	1
"FOOT BIOMECHANICS"	1
"FOOT OUTLINE"	1
"FOOT PROGRESSION ANGLE"	1
"FOOT SHAPE"	1
"FOOTPRINT"	4
"FOOTPRINTS"	1
"FOOTWEAR"	1
"FOOTWEAR IMPRESSIONS"	1
"FORENSIC"	64
"FORENSIC ANALYSIS"	2
"FORENSIC ANTHROPOLOGY"	9
"FORENSIC ANTHROPOLOGY POPULATION DATA"	2
"FORENSIC ANTHROPOMETRY POPULATION DATA"	1
"FORENSIC APPLICATION"	3
"FORENSIC APPLICATIONS"	1
"FORENSIC AWARENESS"	1
"FORENSIC BIOLOGY"	1
"FORENSIC CHEMISTRY"	4
"FORENSIC CONFIRMATION BIAS"	2
"FORENSIC DECISION-MAKING"	2
"FORENSIC DECISION MAKING"	2
"FORENSIC DETECTION"	1
"FORENSIC DNA ANALYSIS"	1
"FORENSIC DNA TYPING"	2
"FORENSIC ERROR"	1
"FORENSIC ERROR RATES"	1
"FORENSIC EVALUATION"	2
"FORENSIC EVIDENCE"	5
"FORENSIC EXAMINERS"	1
"FORENSIC EXPERTS"	1
"FORENSIC FIELD TESTS"	1
"FORENSIC FINGERPRINTS"	1
"FORENSIC GENEALOGY"	1
"FORENSIC HUMAN IDENTIFICATION"	1
"FORENSIC IDENTIFICATION"	10
"FORENSIC IMAGE PROCESSING"	1
"FORENSIC IMAGING"	2
"FORENSIC INDIVIDUALIZATION"	1
"FORENSIC INTELLIGENCE"	6
"FORENSIC INVESTIGATION"	1
"FORENSIC LIGHT SOURCE"	2
"FORENSIC MEDICINE"	3
"FORENSIC ODONTOLOGIST"	1
"FORENSIC ODONTOLOGY"	1
"FORENSIC PALMPRINT"	1
"FORENSIC PATHOLOGY"	3
"FORENSIC PHOTOGRAPHY"	4
"FORENSIC PSYCHOLOGY"	1
"FORENSIC RADIOLOGY"	1
"FORENSIC RESEARCH"	1
"FORENSIC SCIENCE"	324
"FORENSIC SCIENCE FINGERMARKS"	1
"FORENSIC SCIENCE POLICY"	1
"FORENSIC SCIENCE REFORM"	1
"FORENSIC SEROLOGY"	1
"FORENSIC STATISTICS"	1
"FORENSIC TECHNIQUES"	1
"FORENSIC TESTING"	1
"FORENSIC TOOLS"	1
"FORENSIC WORKFLOW"	1
"FORGED SIGNATURES"	1
"FORGERY"	1
"FORMALDEHYDE"	1
"FORMULATION"	2
"FORMULATION ENGINEERING"	1
"FOURIER TRANSFORM"	1
"FOURIER TRANSFORM INFRARED MICROSCOPY"	1
"FOURIER TRANSFORM RAMAN SPECTROSCOPY"	1
"FPNATURAL 1"	1
"FRACTIONAL DIFFUSION EQUATION"	1
"FRAGILE WATERMARKING"	1
"FRAGMENTATION PATTERNS"	1
"FRANCIS GALTON"	1
"FREE FATTY ACIDS"	2
"FREQUENCIES"	3
"FREQUENCY DOMAIN"	1
"FRESH WATER"	2
"FRICTION RIDGE"	4
"FRICTION RIDGE BREADTH"	1
"FRICTION RIDGE EXAMINATION"	1
"FRICTION RIDGE IMPRESSION"	1
"FRICTION RIDGE IMPRESSIONS"	1
"FRICTION RIDGE SKIN"	1
"FRICTION RIDGE,LATENT PRINTS, TESTIMONY"	1
"FRINGE ANALYSIS"	1
"FRUIT"	1
"FRYE"	3
"FT-ICR-MS"	1
"FTIR IMAGING"	1
"FULL-BAND CCD"	1
"FULLER'S EARTH"	1
"FULLER’S EARTH"	1
"FULLY AUTOMATED SYSTEM"	1
"FUNDAMENTAL KNOWLEDGE"	1
"FUNDAMENTAL PRINCIPLES"	1
"FUSION"	4
"FUTURE PROSPECTS"	1
"GABOR FILTERS"	1
"GABOR TRANSFORM FUNCTION"	1
"GAIT"	1
"GAIT ANALYSIS"	1
"GALVANIC CORROSION"	1
"GAME THEORY"	1
"GAMMA IRRADIATION"	1
"GAS CHROMATOGRAPHY (GC)"	1
"GD 2 MOO 6"	1
"GEL-BASED AQUEOUS ELECTROLYTES"	1
"GELATIN LIFTING"	1
"GELATINE FOIL"	1
"GELATINE LIFTING"	1
"GELGREEN"	1
"GENDER"	13
"GENDER DETERMINATION"	1
"GENDER DIFFERENCES IN FINGERPRINTS"	1
"GENERAL ACCEPTANCE"	1
"GENERAL ACCEPTANCE."	1
"GENERATIVE MODEL"	1
"GENETICS"	2
"GENIPIN"	5
"GENODERMATOSIS"	1
"GENOTYPING TECHNIQUES"	1
"GENTIAN VIOLET"	1
"GEOMETRIC MORPHOMETRIC ANALYSIS"	1
"GLASS"	1
"GLOVEMARK"	1
"GLOVES"	1
"GLUCOSE"	2
"GLUE FORMATION"	1
"GLYCINE MAX"	1
"GOLD"	5
"GOLD AGGLOMERATES"	1
"GOLD COLLOIDS"	2
"GOLD DEPOSIT"	1
"GOLD DEPOSITION"	3
"GOLD NANOCLUSTERS"	3
"GOLD NANOPARTICLE"	1
"GOLD NANOPARTICLES"	7
"GOLD TETRACHLORAURIC ACID"	1
"GOVERNMENT: DEFENSE"	1
"GRADIENT FEATURES"	1
"GRAFTING"	1
"GRAMMAGE"	1
"GRAPHENE"	1
"GRAPHIC PROCESSING UNIT"	1
"GRAY SCALE"	1
"GREASE CONTAMINATION"	1
"GREEN"	1
"GREEN LIGHT"	1
"GROUND TRUTH"	1
"GUIDELINES"	1
"GULAL"	1
"GUN BLUE"	1
"GUN BLUEING"	1
"GUNSHOT RESIDUE (GSR)"	1
"GUNSHOT RESIDUES"	1
"H-AGGREGATES"	1
"HAEM REAGENT"	1
"HAEMOGLOBIN"	3
"HAND"	3
"HAND-AND-FOOT SYNDROME (HFS)"	1
"HAND–FOOT SYNDROME"	1
"HAND BIOMETRICS"	1
"HAND DEFORMITIES"	1
"HAND DIMENSION"	1
"HAND GEOMETRY"	1
"HAND SANITIZER"	1
"HAND SHAPE"	1
"HANDEDNESS"	2
"HANDPRINT"	1
"HANDPRINTS"	1
"HANDS AND FEET"	1
"HANDSHAKES"	1
"HANDWRITING"	2
"HANDWRITING EXAMINATION"	1
"HARTREE-FOCK SCF CALCULATIONS"	2
"HEALTH CARE: TREATMENT"	1
"HEALTH PROBLEM"	1
"HEAT"	3
"HEMIKETALS"	1
"HEMOCOMPATIBILITY"	1
"HEMOGLOBIN"	3
"HENRY'S CLASSIFICATION"	1
"HENRY FAULDS"	1
"HETEROCYCLES"	1
"HFE-7100"	1
"HFE7100"	1
"HG2+"	1
"HIERARCHICAL ARCHITECTURES"	1
"HIERARCHICAL CLUSTER ANALYSIS"	2
"HIERARCHICAL MATCHING"	1
"HIGH-PRESSURE LIQUID CHROMATOGRAPHY-ATMOSPHERIC PRESSURE CHEMICAL IONISATION-MASS SPECTROMETRY"	1
"HIGH-RESOLUTION FINGERPRINTS"	1
"HIGH AFFINITY"	1
"HIGH BLOOD PRESSURE"	1
"HIGH FREQUENCY VIBRATION"	1
"HIGH QUANTUM YIELD"	1
"HIGH VOLUME CRIME"	1
"HINGE CARDS"	1
"HISTOGRAM EQUALIZATION"	1
"HISTOGRAM FEATURES"	1
"HISTORY"	1
"HOLISTIC PROCESSING"	1
"HOLOGRAPHIC TOPOGRAPHY"	1
"HOMELAND SECURITY"	1
"HOMODYNE"	1
"HOMOSEXUALITY"	1
"HOUSEHOLD PRODUCTS"	1
"HSA"	1
"HUMAN BLOOD DROP IMPACT"	1
"HUMAN COGNITION"	1
"HUMAN EMANATIONS"	1
"HUMAN ERROR"	1
"HUMAN FACTORS"	6
"HUMAN IDENTIFICATION"	1
"HUMAN SKIN"	4
"HUMIDITY"	4
"HUNGARIAN RED"	1
"HYBRID MATERIALS"	1
"HYDROGEN CHLORIDE"	1
"HYDROGEN CYANIDE (HCN)"	1
"HYDROGEN PEROXIDE"	1
"HYDROLYSIS"	1
"HYDROPHOBIC"	3
"HYDROPHOBIC NANO- AND MICRO-PARTICLES"	1
"HYDROPHOBIC SILICA PARTICLES"	1
"HYDROPHOBICITY"	1
"HYDROTHERMAL METHOD"	1
"HYDROTHERMAL SYNTHESIS"	1
"HYDROXYLAMINE"	1
"HYGIENE"	1
"HYPERSPECTRAL IMAGER"	1
"HYPERSPECTRAL IMAGING"	13
"HYPERTENSION"	1
"HYPOTHENAR PATTERN"	1
"IAI CERTIFICATION"	1
"IDENTICAL TWINS"	1
"IDENTIFICATION"	42
"IDENTIFICATION METHODOLOGIES"	1
"IDENTIFICATION OF AUTHOR"	1
"IDENTIFICATION OF EXPLOSIVES"	1
"IDENTIFILERÆ"	1
"IDENTITY THEFT"	1
"IFRG"	1
"IGNITABLE LIQUID RESIDUE (ILR)"	1
"ÌLIGHTS-OUTÎ LATENT IDENTIFICATION"	1
"ILLICIT DRUG"	2
"IMAGE-QUALITY SPECIFICATIONS (IQS)"	1
"IMAGE AND VIDEO PROCESSING"	1
"IMAGE CODING"	1
"IMAGE COMPARISON"	2
"IMAGE CONTRAST"	1
"IMAGE DATABASES"	2
"IMAGE DIGITAL PROCESSING"	1
"IMAGE ENHANCEMENT"	1
"IMAGE FUSION"	2
"IMAGE MERGING"	1
"IMAGE PROCESSING"	2
"IMAGE QUALITY"	5
"IMAGE QUALITY ASSESSMENT"	1
"IMAGE QUALITY EVALUATION"	1
"IMAGE RESTORATION"	1
"IMAGE SEAMS"	1
"IMAGE STABILITY"	1
"IMAGE STITCHING"	1
"IMAGES"	1
"IMAGING"	17
"IMAGING AGENTS"	3
"IMAGING OF LATENT FINGERMARKS"	1
"IMAGING PROBE"	1
"IMAGING, CHEMICAL IMAGING"	1
"IMMERSED OBJECTS"	1
"IMMERSION"	1
"IMMUNOASSAY"	1
"IMMUNOGENIC"	1
"IMMUNOGENIC DETECTION"	1
"IMMUNOLABELING"	2
"IMMUNOLABELING TECHNIQUES"	1
"IMMUNOLOGY"	1
"IMPACT"	1
"IMPARTIAL"	1
"IMPEDANCE SPECTROSCOPY"	1
"IMPERATA CYLINDRICA"	1
"IMPRESSION EVIDENCE"	1
"IMPRESSIONS"	1
"IMPROVISED EXPLOSIVE DEVICE (IED)"	4
"IN SITU"	1
"INCIDENT REPORTING"	1
"INCONCLUSIVE"	1
"INCONCLUSIVE DETERMINATIONS"	1
"INCREASED PCR CYCLE NUMBERS"	1
"IND"	2
"IND-ZN"	1
"INDANEDIONE-ZINC"	3
"INDIAN POPULATION"	1
"INDICATORS AND REAGENTS"	1
"INDIVIDUAL DIFFERENCES"	1
"INDIVIDUALISATION"	3
"INDIVIDUALITY"	3
"INDIVIDUALIZATION"	14
"INDIVIDUALIZING CHARACTERISTICS"	1
"INDIVIDUATION"	1
"INDUCTIVELY COUPLED PLASMA"	1
"INFERENCE"	1
"INFERENCE OF SOURCE"	1
"INFLUENCE DIAGRAM"	1
"INFLUENCE FACTORS"	1
"INFLUENCES ON FINGERPRINT AGING"	1
"INFRARED (IR)"	1
"INFRARED CHEMICAL IMAGING"	1
"INFRARED IMAGING"	2
"INFRARED MICROSCOPY"	1
"INFRARED MICROSPECTROSCOPY"	1
"INFRARED PHOTOGRAPHY"	1
"INFRARED RADIATION"	12
"INFRARED REFLECTANCE"	1
"INFRARED SPECTROSCOPY (IR)"	2
"INITIATION"	1
"INK"	2
"INK-FREE PRINTING"	1
"INK ANALYSIS"	1
"INK JET PRINTERS"	1
"INKJET"	1
"INKJET PRINTING"	2
"INNOQUANTÔ"	1
"INSOLE"	1
"INSPECTION METHOD"	1
"INSTANCE-BASED LEARNING"	1
"INTEGRATED FORENSIC APPROACH"	2
"INTEGRATION"	1
"INTELLIGENCE"	2
"INTELLIGENCE-LED"	1
"INTELLIGENCE-LED POLICING"	1
"INTELLIGENCE QUOTIENT"	1
"INTERCALATIONS"	1
"INTERDISCIPLINARY"	1
"INTERFACIAL SEGREGATION"	1
"INTERFACIAL SEPARATION"	1
"INTERPAPILLARY LINES"	1
"INTERPRETATION"	1
"INTERPRETATION OF EXPERT EVIDENCE"	1
"INTUITIONISTIC FUZZY SET"	1
"INVERSION"	1
"INVESTIGATIONS"	3
"INVESTIGATIVE GENETICS"	1
"INVISIBLE CIPHER"	1
"INVISIBLE RADIATION"	1
"IODINE"	2
"IODINE FUMING"	2
"ION MOBILITY SPECTROMETRY (IMS)"	1
"IONIZING RADIATION"	1
"IQ LEVEL"	1
"IR LED"	1
"IR NARROW BAND-PASS FILTER"	1
"IR PHOTOGRAPHY"	1
"IR(III) COMPLEX"	1
"IRIS"	1
"IRON OXIDE"	2
"IRRELEVANT CONTEXTUAL INFORMATION"	1
"ISOLATED-BLOCK"	1
"ISONONYL NINHYDRIN"	1
"ITERATIVE CORRECTION"	1
"J-O PARAMETERS"	1
"JOB CHARACTERISTICS THEORY"	1
"JOULLIÉ'S PINK"	1
"JPEG COMPRESSION"	1
"JUDD-OFELT"	1
"JUDD-OFELT ANALYSIS"	4
"JUDD-OFELT PARAMETER"	1
"JUDD–OFELT"	1
"JUDD–OFELT ANALYSIS"	1
"JUDGEMENT"	1
"JUDGES"	1
"JUDGMENT"	2
"JURIES"	1
"JUROR COMPREHENSION"	1
"JURORS"	1
"JURY DECISION-MAKING"	1
"JUSTICE"	1
"KASIMIYE MEDRESSE"	1
"KAVALAN"	1
"KERATIN"	1
"KETAMINE"	1
"KIDNEY DISEASE"	1
"KINETICS"	1
"KM TEST"	1
"KNUCKLE SEGMENTATION"	1
"KOREAN"	1
"KYNURENINE"	1
"LABEL FREE"	1
"LANTHANIDE"	2
"LANTHANIDE-DOPED NANOPARTICLE"	1
"LANTHANIDE COMPLEXES"	1
"LANTHANIDE LUMINESCENCE"	1
"LANTHANIDES"	1
"LASER"	3
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"	2
"LASER ABLATION"	2
"LASER DESORPTION IONIZATION MASS SPECTROMETRY"	1
"LASER DESORPTION/IONIZATION"	1
"LASER DESORPTION/IONIZATION MASS SPECTROMETRY"	1
"LASER INDUCED BREAK DOWN SPECTROSCOPY"	2
"LASER PRINTING"	1
"LATENT"	13
"LATENT-PRINT AGING"	1
"LATENT BLOOD FINGERPRINT"	1
"LATENT BLOODSTAINS"	1
"LATENT DNA"	1
"LATENT EVIDENCE"	1
"LATENT FINGER PRINT DEVELOPMENT"	1
"LATENT FINGER PRINTS"	1
"LATENT FINGERMARK COMPONENTS"	1
"LATENT FINGERMARK DETECTION"	1
"LATENT FINGERMARK DEVELOPMENT"	2
"LATENT FINGERMARKS"	67
"LATENT FINGERMARKS DEVELOPMENT"	1
"LATENT FINGERMARKS VISUALIZATION"	2
"LATENT FINGERPRINT COMPONENTS"	3
"LATENT FINGERPRINT COMPOSITION"	1
"LATENT FINGERPRINT DETECTION"	7
"LATENT FINGERPRINT DEVELOPMENT"	2
"LATENT FINGERPRINT ENHANCEMENT"	2
"LATENT FINGERPRINT EXAMINATION"	2
"LATENT FINGERPRINT FORENSIC SCIENCE"	1
"LATENT FINGERPRINT FORGERIES"	1
"LATENT FINGERPRINT IDENTIFICATION"	1
"LATENT FINGERPRINT IMAGE"	1
"LATENT FINGERPRINT IMAGE QUALITY (LFIQ)"	1
"LATENT FINGERPRINT IMAGING"	3
"LATENT FINGERPRINT POWDER"	1
"LATENT FINGERPRINT RESIDUE"	1
"LATENT FINGERPRINT RESIDUES"	1
"LATENT FINGERPRINT SEGMENTATION"	2
"LATENT FINGERPRINT TRACES"	2
"LATENT FINGERPRINT VISUALIZATION"	2
"LATENT FINGERPRINT, RIDGE FLOW MAP, RIDGE QUALITY MAP, RIDGE SKELETON, MINUTIAE"	1
"LATENT FINGERPRINTING"	1
"LATENT FINGERPRINTS"	222
"LATENT FINGERPRINTS DETECTION"	2
"LATENT FINGERPRINTS DEVELOPMENT"	1
"LATENT FINGERPRINTS VISUALIZATION"	1
"LATENT HUMAN BLOOD FINGERPRINT"	1
"LATENT IMPRESSION"	1
"LATENT IMPRESSIONS"	2
"LATENT LIP PRINTS"	1
"LATENT OVERLAPPED FINGERPRINTS"	1
"LATENT PRINT"	3
"LATENT PRINT CHEMISTRY"	1
"LATENT PRINT DETECTION"	1
"LATENT PRINT DEVELOPMENT"	1
"LATENT PRINT EXAMINATIONS"	1
"LATENT PRINTS"	9
"LATENT TRACES"	2
"LATENT VALUE DETERMINATION"	1
"LATENTS"	3
"LATERAL PALM PRINT"	1
"LATEX"	2
"LATEX GLOVE"	1
"LATEX GLOVES"	1
"LAW"	5
"LAW AND SCIENCE"	1
"LAW ENFORCEMENT"	1
"LAWSONE"	2
"LCN DNA"	2
"LCV"	2
"LDI"	2
"LEAST-SQUARES ANALYSIS"	1
"LEATHER"	1
"LEATHER SURFACE"	1
"LEDS ARRAY EXCITATION"	1
"LEFT HAND"	1
"LEGAL"	1
"LEGAL DECISIONS"	1
"LEGAL REQUIREMENTS"	1
"LEGALITY OF TECHNOLOGY"	1
"LEGHEMOGLOBIN"	1
"LETTERS"	1
"LEUCO CRYSTAL VIOLET"	1
"LEUCO DYES"	1
"LEUCOCRYSTAL VIOLET"	3
"LEVEL-3 FEATURES"	1
"LEVEL 3 FEATURES"	2
"LI+"	1
"LI+-ION CODOPING"	1
"LIBS (LASER-INDUCED BREAKDOWN SPECTROSCOPY)"	1
"LIFESTYLE CHEMISTRIES"	1
"LIFETIME"	1
"LIFTED LATENT FINGERMARKS"	2
"LIFTING TECHNIQUES"	1
"LIFTS"	1
"LIGHT-EMITTING DIODES"	2
"LIGHT SOURCE"	2
"LIGHTS-OUT"	1
"LIKELIHOOD RATIO"	28
"LIKELIHOOD RATIO DATA"	1
"LIMESTONE"	1
"LIMITATION"	1
"LINE OF WRITING"	1
"LIP PRINT"	3
"LIP PRINTS"	1
"LIPID"	8
"LIPID REAGENTS"	1
"LIPOPHILIC MODIFICATION"	1
"LIPOPHILICITY"	1
"LIPSTICK"	1
"LIQUID CHROMATOGRAPHY-ELECTROSPRAY MASS SPECTROMETRY"	1
"LIQUID LATEX"	1
"LIQUID NITROGEN"	1
"LIVDET"	1
"LIVENESS DETECTION"	3
"LIVESCAN"	1
"LIVESCANS"	1
"LOCALIZED CORROSION"	1
"LOG-NORMAL MODEL"	1
"LOGISTIC REGRESSION"	1
"LONG PLANTAR ANGLE"	1
"LOOP"	1
