"Keyword"	"Questioned Document"
"INK DATING"	16
"INK DIFFERENTIATION"	1
"INK DRYING"	1
"INK EVIDENCE"	1
"INK EXAMINATION"	4
"INK IDENTIFICATION"	1
"INK LIBRARY"	2
"INK MARKINGS"	1
"INK MEDIA INTERACTIONS"	1
"INK MISMATCH DETECTION"	3
"INK PIGMENT AGGREGATION"	1
"INK PROFILE"	1
"INK RESTORATION"	1
"INK SETTING"	1
"INK STROKE CLASSIFICATION"	1
"INK TRACE WIDTH"	1
"INKBLOT"	1
"INKJET"	4
"INKJET INK"	2
"INKJET INKS"	2
"INKJET PRINTER"	2
"INKJET PRINTER CARTRIDGES"	1
"INKJET PRINTER IDENTIFICATION"	1
"INKJET PRINTER INKS"	1
"INKJET PRINTERS"	1
"INKJET PRINTING"	4
"INKJET PRINTING INKS"	3
"INKPAD SEAL"	1
"INKS EXAMINATION"	1
"INSPECTION"	1
"INTAGLIO"	1
"INTAGLIO PRINTS"	1
"INTELLIGENCE"	1
"INTELLIGENCE-LED POLICING"	1
"INTELLIGENCE FRAMEWORK"	1
"INTERACTION"	1
"INTERFERENCE"	1
"INTERLEAF"	1
"INTERPRETATION"	7
"INTERPRETATION MODEL"	1
"INTERSECTING INK LINES"	1
"INTERSECTING LINES"	10
"INTERSECTING STROKES"	2
"INTERSECTION"	1
"INTERSECTIONS"	2
"INTRINSIC AUTHORSHIP VERIFICATION"	1
"INTRINSIC SIGNATURES"	1
"INVARIANTS DISCRETIZATION"	1
"INVESTIGATIONS"	3
"INVISIBLE INK"	1
"ION-PAIRING HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (IP-HPLC)"	1
"ION-PAIRING REAGENT"	1
"ION BEAM ANALYSIS"	1
"IONIC CHARGE"	1
"IR SPECTRUM"	3
"IRMS"	5
"IRON-GALL INKS"	2
"IRON GALL"	1
"IRON GALL INK"	3
"IRON GALL INKS"	1
"ISO/IEC 17025"	1
"ISOLATED WORDS"	1
"ISOTOPE RATIO MASS SPECTROMETRY"	1
"ISOTOPES"	4
"ITO"	1
"J48"	1
"JUNCLETS"	1
"JUNCTION DETECTION"	1
"K-MEANS ALGORITHM"	1
"K-NEAREST NEIGHBOR"	1
"KAZE FEATURES"	1
"KERNEL DISCRIMINANT ANALYSIS"	1
"KERNEL PRINCIPAL COMPONENT ANALYSIS"	1
"KEY FEATURES IN CHINESE HANDWRITING"	1
"KIDNAPPING"	1
"KINEMATIC THEORY OF RAPID HUMAN MOVEMENTS"	1
"KOHITSUGIRE CALLIGRAPHY"	1
"L*A*B"	1
"LAB COLOR"	1
"LANGUAGE IDENTIFICATION"	1
"LASER"	1
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"	5
"LASER ABLATION"	3
"LASER DESORPTION"	2
"LASER DESORPTION IONIZATION MASS SPECTROMETRY"	1
"LASER DESORPTION MASS SPECTROMETRY"	2
"LASER DESORPTION/IONIZATION"	1
"LASER INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"	1
"LASER MASS SPECTROMETRY"	1
"LASER POSTIONIZATION"	1
"LASER PRINTER"	5
"LASER PRINTER ATTRIBUTION"	1
"LASER PRINTING"	3
"LASER PRINTING LINE"	1
"LASER PROFILING"	1
"LASER PROFILOMETRY"	1
"LATENT FINGERPRINTS"	1
"LATERAL PALM PRINT"	1
"LATIN"	1
"LAYERED MATERIALS"	1
"LAYOUT ANALYSIS"	1
"LAYOUT DESCRIPTOR"	1
"LC-DAD-ORBITRAP MS"	1
"LCÂ€“HRMS"	1
"LDA"	1
"LDI"	1
"LDI-MS"	3
"LDMS"	1
"LETTERS WIDTH AND HEIGHT"	1
"LEVEL-LINE MOIRÃ©"	1
"LIBRARY"	1
"LIF"	1
"LIGHT"	1
"LIGNIN"	1
"LIKELIHOOD RATIO"	8
"LINE CROSSING"	1
"LINE CROSSINGS"	2
"LINE EXTRACTION"	1
"LINE OF WRITING"	1
"LINE SEQUENCE"	3
"LINEAR DISCRIMINANT ANALYSIS"	2
"LIPSTICKS"	2
"LIQUID-BASED INK"	1
"LITERACY LEVEL"	1
"LOCAL BINARY PATTERN (LBP)"	1
"LOCAL BINARY PATTERNS"	1
"LOCAL CONTOUR FEATURES"	1
"LOCAL TEXTURE PATTERNS"	1
"LOGISTIC-REGRESSION FUSION"	1
"LOGISTIC REGRESSION MODEL"	1
"LONG SHORT-TERM MEMORY"	1
"LOW TEMPLATE DNA (LT-DNA)"	1
"LSTM"	1
"LUMINESCENCE"	1
"LUMINESCENCE LIFETIME"	1
"LUMINESCENT COMPONENTS"	1
"MAAQ"	1
"MACHINE-READABLE REGION IDENTIFICATION"	1
"MACHINE LEARNING"	2
"MAGNETIC ANALYSIS"	1
"MAGNETIC TONER"	1
"MAIL IRRADIATION"	1
"MALDI, LASER DESORPTION MASS SPECTROMETRY"	1
"MANUSCRIPT"	1
"MANUSCRIPT ANALYSIS"	1
"MANUSCRIPTS"	1
"MARK REPLICATORS"	1
"MARKER PEN INK"	1
"MASS SPECTROMETRY (MS)"	20
"MASS SPECTROMETRY IMAGING"	1
"MATCHING SCORES"	1
"MAXIMAL OVERLAPPED DISCRETE WAVELET TRANSFORM"	1
"MAXIMUM ACCELERATION"	1
"MAXIMUM ENTROPY METHOD"	1
"MECC"	5
"MECHANICAL PROPERTIES"	1
"MEDIEVAL HANDWRITING"	1
"MEKC"	2
"METHOD VALIDATION"	1
"METHYL VIOLET"	4
"METRIC"	1
"MEV-SIMS"	1
"MICRO-ATR FTIR"	1
"MICRO-FTIR SPECTROSCOPY"	1
"MICROBLASTING"	1
"MICROCHIP LASER"	1
"MICROSCOPIC IMAGES"	1
"MICROSCOPY"	1
"MICROSPECTROPHOTOMETRY"	1
"MICROSTRUCTURE"	1
"MICROTHERMAL DESORPTION"	1
"MICROWAVE DIGESTION"	2
"MID-FTIR"	1
"MIDDLE INFRARED HYPERSPECTRAL IMAGING"	1
"MIDDLE INFRARED LIGHT PHOTOGRAPHY"	1
"MIGRATION"	1
"MINERAL PAPER"	1
"MINIATURIZATION"	1
"MINUTIA EXTRACTION"	1
"MLEIHA"	1
"MLP NETWORK"	1
"MOBILE IMAGING"	1
"MODEL MATCHING"	1
"MODEL VALIDATION"	1
"MODIFIED THIN LAYER CHROMATOGRAPHY"	1
"MOIRÃ©"	1
"MOISTURE"	1
"MOLECULAR IMAGING"	1
"MONITORING"	1
"MORPHOLOGICAL OBSERVATION AND ELEMENTAL ANALYSIS BY SEM/EDX"	1
"MOTIVATION"	1
"MOTOR CONTROL"	1
"MOTOR LEARNING AND EXECUTION"	1
"MRTD"	1
"MULTI-INDIVIDUALITY"	1
"MULTI-SCRIPT"	1
"MULTI GRADIENT DIRECTION"	1
"MULTILINGUAL"	1
"MULTIMEDIA FORENSICS"	1
"MULTIMODAL"	1
"MULTIMODALITY"	1
"MULTIPLE CLASSIFIERS"	1
"MULTIPLE DATA"	1
"MULTIPLE HEADSPACE SOLID-PHASE MICROEXTRACTION"	1
"MULTIPLE REGRESSION MODEL"	1
"MULTIPLE REPRESENTATION"	1
"MULTIPLY CHARGED DYE"	1
"MULTISCALE"	1
"MULTISCRIPT SIGNATURE IDENTIFICATION"	1
"MULTISPECTRAL ANALYSIS"	1
"MULTISPECTRAL DOCUMENT EXAMINATION"	1
"MULTISPECTRAL IMAGING"	1
"MULTIVARIATE ANALYSIS (MVA)"	5
"MULTIVARIATE KERNEL DENSITY"	1
"MULTIVARIATE LIKELIHOOD RATIO"	2
"MULTIVARIATE REGRESSION"	1
"MULTIVARIATE SEMI-WRAPPED GAUSSIAN DISTRIBUTION"	1
"MURDER"	1
"MUTUAL DISTANCE"	1
"MUTUAL INFORMATION"	1
"N-GRAMS"	1
"NANO PHASE CARBON (CARBON BLACK NANO POWDER)"	1
"NANOCRYSTALLINE DIAMOND"	1
"NANOMANIPULATION"	1
"NANOMANPULATION"	1
"NANOPARTICLE SILVER INK"	1
"NANOPARTICLES"	1
"NANOSPRAY MASS SPECTROMETRY"	2
"NATIONAL CHARACTERISTICS"	1
"NATURAL AGING"	3
"NATURAL HANDWRITING"	1
"NATURAL VARIATION IN HANDWRITING"	1
"NEAR INFRARED SPECTROSCOPY"	1
"NEAR INFRARED SPECTRUM"	1
"NEGATIVE MIRROR EFFECT"	1
"NEURAL NETWORK"	4
"NIR REFLECTION SPECTROSCOPY"	1
"NIR SPECTROSCOPY"	1
"NITROGEN ISOTOPE RATIOS"	1
"NMR SPECTROSCOPY"	1
"NO CROSSING LINE"	1
"NOISE ENERGY"	1
"NOISY DOCUMENTS"	1
"NON-BALLPOINT INKS"	1
"NON-DESTRUCTIVE ANALYSIS"	8
"NON-IDEAL SOLTUION"	1
"NON-LOCAL MEANS"	1
"NON-ORIGINAL DOCUMENTS"	1
"NONDESTRUCTIVE INK DIFFERENTIATION"	1
"NORMAL DISTRIBUTION"	1
"NUMERALS"	1
"OBIFS COLUMNS HISTOGRAM"	1
"OBIFS HISTOGRAM"	1
"OBLITERATED WRITING"	2
"OCR"	1
"OFF-LINE"	2
"OFF-LINE HANDWRITING"	1
"OFF-LINE HANDWRITING ANALYSIS"	1
"OFF-LINE SIGNATURE VERIFICATION"	3
"OFF-LINE WRITER IDENTIFICATION"	1
"OFFICE MACHINERY"	1
"OFFLINE"	1
"OFFLINE DATA"	1
"OFFLINE HANDWRITING"	1
"OFFLINE HANDWRITING RECOGNITION"	1
"OFFLINE SIGNATURE VERIFICATION"	1
"OFFSET"	1
"OFFSET PRINTING INK"	1
"OIL PAINTING SIGNATURE"	1
"OLD PAPERS"	1
"ON-LINE SIGNATURE"	1
"ONLINE ACQUISITION"	1
"ONLINE HANDWRITING"	2
"ONLINE HANDWRITING RECOGNITION"	1
"ONLINE HANDWRITTEN PATTERNS"	1
"ONLINE SIGNATURE VERIFICATION"	1
"OPTICAL CHARACTER RECOGNITION"	1
"OPTICAL FEATURE"	1
"OPTICAL FIBRE"	1
"OPTICAL PROPERTIES"	1
"OPTIMAL PROTOTYPE FUNCTIONS"	1
"ORGANISED CRIMES"	1
"ORGANIZED CRIME"	1
"ORIENTED BASIC IMAGE"	1
"ORIGINAL TONER"	1
"OUTLIERS DETECTION"	1
"OXIDATION"	2
"OXYGEN"	1
"OXYGEN ISOTOPE"	1
"OXYGEN ISOTOPE RATIOS"	1
"PAINT"	3
"PALEOGRAPHY"	1
"PAPER"	23
"PAPER-INK ANALYSIS"	1
"PAPER-INK INTERACTION"	1
"PAPER AGEING"	1
"PAPER ANALYSIS"	1
"PAPER CELLULOSE"	1
"PAPER CHARACTERIZATION"	1
"PAPER DATING"	1
"PAPER DEGRADATION"	1
"PAPER DENSITY"	1
"PAPER EXAMINATION"	1
"PAPER FIBERS"	1
"PAPER FIBRE TRANSFER"	1
"PAPER MANUFACTURING"	1
"PAPER QUALITY"	1
"PAPER SECURITY"	1
"PAPER SEQUENCING"	1
"PAPER SPRAY MASS SPECTROMETRY"	1
"PAPER STARCH EXTRACT"	1
"PAPER STRUCTURE"	2
"PAPER SUBSTRATE"	1
"PARCHMENT"	3
"PARESIS"	1
"PARTIAL LEAST SQUARES-DISCRIMINANT ANALYSIS (PLS-DA)"	1
"PARTIALLY BLURRED"	1
"PASSPORT"	2
"PASSPORT EXAMINATION"	1
"PASSPORT PICTURES"	1
"PATCH CLASSIFICATION"	1
"PATTERN MATCHING"	1
"PATTERN RECOGNITION"	4
"PATTERN SEGMENTATION"	1
"PEARSON'S CORRELATION COEFFICIENT"	1
"PEARSON'S PRODUCT MOMENT CORRELATION"	1
"PEARSON CORRELATION COEFFICIENT"	1
"PEER REVIEW"	1
"PEG OLIGOMERS"	1
"PEN"	1
"PEN INK"	2
"PEN INTERFACES"	1
"PEN PRESSURE"	1
"PEN PRESSURE PATTERN"	1
"PENALTY COEFFICIENT"	1
"PENCIL MARKINGS"	1
"PENS"	1
"PERCEIVED SIGNATURE CLASSIFICATION"	1
"PERFORMANCE EVALUATION"	2
"PERMEABILITY"	2
"PERMEABILITY OF INKJET PAPER"	1
"PERTURBATION MODEL"	1
"PHENOLPHTHALEIN"	1
"PHOTOCOPIED TONER"	1
"PHOTOCOPIERS"	1
"PHOTOCOPY"	1
"PHOTOCOPY TECHNOLOGY"	1
"PHOTOCOPY TONER"	2
"PHOTOGRAPHS"	1
"PHOTOPOLYMER"	1
"PHYSICAL FIT"	1
"PICTOGRAMS"	1
"PIECE MATCHING"	1
"PIGMENT"	8
"PIGMENTED GEL INKS"	1
"PIGMENTED INK"	1
"PIGMENTINK"	1
"PITCH"	2
"PLASTIC"	1
"PLATELET FILLERS"	1
"PLS-DA"	6
"POLISH HANDWRITING"	1
"POLYCHROME PRINT"	1
"POLYGLYCEROLS"	1
"POLYGONAL APPROXIMATION"	1
"POLYGONIZATION"	1
"POLYMER"	2
"POLYMER MATERIAL"	1
"POLYMORPHISM"	1
"POPULATION BALANCE MODELING OF PARTICLE AGGREGATION"	1
"POROSITY OF INK JET PAPER"	1
"PORTABLE X-RAY FLUORESCENCE"	1
"POST-BOMB ATMOSPHERIC 14C"	1
"POSTHUMOUS"	1
"POTENTIOMETRY"	1
"POTTERY"	1
"PPMC"	1
"PRECONCENTRATION TECHNIQUES"	1
"PREPOLYMER"	1
"PRESSURE TRACE MAP"	1
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	17
"PRINT"	2
"PRINT-SCAN CYCLE"	1
"PRINT PARASITICS"	2
"PRINT QUALITY"	2
"PRINT WATERMARK"	1
"PRINTED DOCUMENTS"	1
"PRINTED PRODUCTS"	1
"PRINTED/HANDWRITTEN/NOISE SEPARATION"	1
"PRINTER"	6
"PRINTER FORENSICS"	2
"PRINTER IDENTIFICATION"	4
"PRINTING"	1
"PRINTING DEFECTS"	1
"PRINTING INK"	3
"PRINTING INK ANALYSIS"	2
"PRINTING INKS"	3
"PRINTING PROCESSES"	1
"PRINTING TECHNIQUE CLASSIFICATION"	1
"PRINTING TECHNOLOGIES"	1
"PRINTS"	1
"PROBABILISTIC FINITE STATE AUTOMATA"	1
"PROBABILISTIC MODEL"	1
"PROBABILISTIC NEURAL NETWORK"	1
"PROCESS CONTROL"	1
"PRODUCT RULE"	1
"PROFICIENCY TESTING"	1
"PROFICIENCY TESTING PROGRAM"	1
"PROFILES"	1
"PROFILING"	5
"PROJECTION PURSUIT"	1
"PROPELLANT"	1
"PROPORTIONS"	2
"PROTOCOL FOR COLOR DISCRIMINATION"	1
"PROTOTYPE"	1
"PSEUDO-LINE AND PSEUDO-WORD EXTRACTION"	1
"PULP"	1
"PULP OBSERVATION"	1
"PULPING"	1
"PULSE LASER"	2
"PY-GC/MS"	1
"PYR-GC/MS"	1
"PYROLYSIS GAS CHROMATOGRAPHY/MASS SPECTROMETRY"	1
"QUALIFICATIONS"	1
"QUALITY ASSURANCE"	2
"QUALITY/QUANTITY"	1
"QUESTIONED DOCUMENT"	115
"QUESTIONED DOCUMENT EXAMINATION"	24
"QUESTIONED SIGNATURES"	1
"QUILL"	1
"QUWI DATABASE"	1
"RADIOCARBON"	1
"RADIOCARBON AMS DATING"	1
"RADIOCARBON DATING"	1
"RAMAN"	13
"RAMAN SPECTROMETRY"	1
"RAMAN SPECTROSCOPY"	26
"RANDOM MATCH PROBABILITIES"	1
"RAOULT'S LAW"	1
"RAPID PROTOTYPING"	1
"RARE EARTHS"	1
"RATE EQUATIONS"	1
"READING OF VIDEO CAMERA BASED WHITE OR COLOR BOARD NOTES"	1
"REAL SAMPLES"	1
"REAM"	1
"RECOGNITION"	1
"RECONSTRUCTION"	1
"RECONSTRUCTION OF CROSS-CUT SHREDDED DOCUMENT PROBLEM"	1
"RECONSTRUCTION OF CROSS-CUT SHREDDED DOCUMENTS (RCCSTD)"	1
"RECONTRUCTION OF SHREDDED DOCUMENTS"	1
"RECURRENT NEURAL NETWORKS"	1
"RECYCLED PAPER"	1
"RED COLOR INK"	1
"RED INK ENTRIES OF SEALS"	2
"RED INKS"	1
"RED SEAL INKS"	1
"REFLECTANCE FTIR"	1
"REFLECTION-ABSORPTION INFRARED SPECTROSCOPY"	2
"REGRESSION MODEL"	1
"REHABILITATION"	1
"RELATIVE AGE"	2
"RELATIVE AGE DETERMINATION"	1
"RELIABILITY"	2
"REPEATABILITY REPRODUCIBILITY"	1
"REPLICATES"	1
"REPORTING"	1
"REPRODUCIBILITY"	1
"RESIDUAL INK"	1
"RESIDUAL INK TRACE"	1
"RESIN"	2
"RESULTANT VELOCITY"	1
"RETRIEVAL"	1
"REVEAL"	1
"REVENUE STAMP"	1
"REVERSE ENGINEERING"	1
"RGB"	1
"RHEOLOGY"	1
"RIPPED-UP DOCUMENTS"	1
"RNN"	1
"ROBOTIC WRITING"	1
"ROBUST WRITER IDENTIFICATION"	1
"ROLLER BALL PEN"	1
"ROLLER INKS"	1
"ROLLERBALL PENS"	1
"RUB RESISTANCE"	1
"RUBBER STAMP"	1
"RUBBER STAMP DEFECTS"	1
"RUBBER STAMP INKS"	1
"RULING-LINE ARTIFACTS"	1
"RULING LINE DETECTION"	2
"RULING LINE MODELING"	1
"SALIENCY"	1
"SAMPLE STACKING MODES"	1
"SCANNER"	2
"SCANNER IDENTIFICATION"	1
"SCANNING DISTORTIONS"	1
"SCANNING ELECTRON MICROSCOPY (SEM)"	6
"SCANNING PROBE MICROSCOPY"	1
"SCRIPT FORMAT DOCUMENT"	1
"SEAL FORGERY"	1
"SEAL IMPRESSION"	1
"SEAL IMPRESSION FORGERY"	1
"SEAL OVERLAY METRIC"	1
"SEALING-INKS"	1
"SEALS"	1
"SECONDARY ION MASS SPECTROMETRY"	1
"SECRET SERVICE"	1
"SECURE DOCUMENTS"	1
"SECURE PRINTING"	2
"SECURITY"	2
"SECURITY DOCUMENT AUTHENTICATION"	1
"SECURITY DOCUMENTS"	1
"SECURITY FEATURES"	1
"SECURITY INKS"	1
"SECURITY PRINTING"	1
"SEGMENTATION"	1
"SEGMENTATION BY RECOGNITION"	1
"SELF-FADING PEN"	1
"SEM-EDS"	4
"SEM/EDX MAPPING"	1
"SEMICRYSTALLINE MATERIALS"	1
"SENSING"	1
"SENSOR FORENSICS"	1
"SEPARATION"	1
"SEQUENCE"	2
"SEQUENCE DISCRIMINATION"	3
"SEQUENCE OF INTERSECTING LINES"	5
"SEQUENCE OF STROKES"	1
"SEQUENCE OF WRITING AND PRINTING"	1
"SEQUENCING STROKES"	1
"SERRS SPECTROSCOPY"	1
"SERS"	2
"SEX DETERMINATION"	1
"SGM PLUSÂ„¢"	1
"SHAPE ANALYSIS"	6
"SHREDDED DOCUMENTS"	1
"SIFT DESCRIPTOR"	1
"SIGMA-LOGNORMAL MODEL"	1
"SIGNATURE"	11
"SIGNATURE EVIDENCE"	1
"SIGNATURE EXAMINATION"	4
"SIGNATURE IDENTIFICATION"	2
"SIGNATURE RECOGNITION"	1
"SIGNATURE STYLE"	1
"SIGNATURE VERIFICATION"	7
"SIMILARITY MEASURE"	1
"SIMS"	1
"SIMULATION"	4
"SIZE"	1
"SIZE EXCLUSION CHROMATOGRAPHY"	1
"SKELETON HINGE DISTRIBUTION"	1
"SKELETONISATION"	1
"SKEW CORRECTION"	1
"SKILLED FORGERIES"	1
"SLANT"	1
"SLANT CORRECTION"	1
"SLIDING WINDOW"	1
"SMARTPHONE"	1
"SOLID-PHASE MICROCOLUMN EXTRACTION"	1
"SOLID-PHASE MICROEXTRACTION (SPME)"	2
"SOLVENT"	6
"SOLVENT DRYING"	2
"SOLVENT EVAPORATION"	2
"SOLVENT SYSTEM I"	1
"SOLVENT SYSTEM II"	1
"SOURCE PRINTER ATTRIBUTION"	1
"SOURCE PRINTER IDENTIFICATION"	1
"SPATIAL FILTER"	1
"SPECTRA"	1
"SPECTRAL ANALYSIS"	2
"SPECTRAL IMAGING"	1
"SPECTRAL LIBRARY"	3
"SPECTROCHEMICAL"	2
"SPECTROFLUOROMETRY"	1
"SPECTROGRAM"	1
"SPECTROMETRY"	2
"SPECTROSCOPY"	5
"SPOT INK"	1
"SPUR GEARS"	1
"SPUR MARK COMPARISON METHOD"	1
"SPUR MARKS"	1
"STABILITY"	2
"STABILITY ANALYSIS"	1
"STABILITY REGION"	1
"STACK ANALYSIS"	1
"STAINED CURRENCY"	1
"STAMP FORGERIES"	1
"STAMP INK"	1
"STAMP INKS"	1
"STAMP PAD"	1
"STAMP PAD INK SEAL"	1
"STAMP PAD INKS"	1
"STANDARDISATION"	1
"STANDARDIZATION"	2
"STATISTICAL ANALYSIS"	5
"STATISTICAL EVIDENCE EVALUATION"	2
"STATISTICAL FILTERS"	1
"STATISTICAL HYPOTHESIS TESTING"	2
"STATISTICAL LEARNING METHODS"	1
"STATISTICAL PATTERN RECOGNITION"	1
"STATISTICAL STUDY"	2
"STATISTICAL TREATMENT"	1
"STATISTICS"	4
"STEPWISE SELECTION"	1
"STEREOMICROSCOPE"	1
"STOCHASTIC FINITE-STATE AUTOMATON"	1
"STRIKE-THROUGH TEXT"	1
"STROKE CLASSIFICATION"	1
"STROKE DETECTION"	1
"STROKE MEASUREMENT"	1
"STRUCTURAL SIMILARITY"	1
"STYLOMETRIC FEATURES"	1
"SUBAREA CLUSTERING"	1
"SUBSAMPLING"	1
"SUBSTRATE ANALYSIS"	1
"SUCCESSIVE PROJECTIONS ALGORITHM"	1
"SUITABILITY"	1
"SUPPORT PAPER"	1
"SUPPORT VECTOR MACHINE"	4
"SUPPORT VECTOR MACHINE (SVM)"	2
"SUPPORT VECTOR MACHINES"	1
"SUPPORT VECTOR MACHINES (SVM)"	3
"SURFACE ANALYSIS"	3
"SURFACE ENHANCED RAMAN SPECTROSCOPY (SERS)"	1
"SURFACE MORPHOLOGY"	1
"SURFACE TENSION"	1
"SYMBOLIC DYNAMICS"	1
"SYNTHETIC GENERATION"	1
"SYNTHETIC TRAINING DATA"	1
"SYSTEM SECURITY"	1
"TABLE DETECTION"	1
"TAGGANT"	1
"TAGGING"	1
"TAMPERING DETECTION"	1
"TANDEM LIBS AND LA-ICP-MS"	1
"TAX STAMP"	2
"TECHNICAL COMPETENCE"	1
"TENAX"	1
"TENSILE INDEX"	1
"TENSILE STRENGTH"	1
"TENSION LENGTH"	1
"TERNARY DIAGRAMS"	2
"TESSELLATION"	1
"TEXT-INDEPENDENT"	1
"TEXT ANALYSIS"	1
"TEXT CLASSIFICATION"	1
"TEXT DEPENDENT"	1
"TEXT GRAPHIC"	1
"TEXT INDEPENDENT"	1
"TEXT INDEPENDENT CLASSIFICATION"	1
"TEXT RECOGNITION"	1
"TEXT VISIBILITY IMPROVEMENT"	1
"TEXT/NON-TEXT CLASSIFICATION"	1
"TEXT/NON-TEXT SEPARATION"	1
"TEXTILE"	1
"TEXTURE ANALYSIS"	1
"TEXTURE DESCRIPTOR"	1
"TEXTURE FEATURES"	1
"TEXTURE PATTERNS"	1
"THE AGE OF GEL INK ENTRIES"	1
"THE RADON TRANSFORM"	1
"THEFT-DETERRENT DEVICE"	1
"THERMAL AGING"	1
"THERMAL DESORPTION"	5
"THERMAL ERASABLE INK"	1
"THERMAL PAPER"	1
"THERMOGRAPHY"	1
"THERMOGRAVIMETRIC ANALYSIS (TGA)"	1
"THERMOPLASTIC"	1
"THICKNESS"	1
"THIN LAYER CHROMATOGRAPHY (TLC)"	14
"THRESHOLD"	1
"THYMOLPHTHALEIN"	1
"TILING"	1
"TIME"	1
"TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)"	1
"TITANIUM DIOXIDE"	1
"TLC EVALUATION"	1
"TOF-SIMS"	4
"TOF-SIMS IMAGE"	1
"TOLERANCE"	1
"TONER-PARTICLES"	1
"TONER ANALYSIS"	1
"TONER PRINTING"	2
"TONERS"	13
"TOPOGRAPHY"	1
"TORN FRAGMENTS"	1
"TOXICOLOGY"	1
"TRACE ANALYSIS"	2
"TRACE ELEMENT"	3
"TRACE EVIDENCE"	3
"TRACE EVIDENCE PROTOCOLS"	1
"TRACK AND TRACE"	1
"TRAINING"	1
"TRAINING SET SIZE"	1
"TRANSCRIPTION"	1
"TRAVEL DOCUMENT AUTHENTICATION"	1
"TREATMENT"	1
"TREND TESTS"	1
"TSP PROBLEM"	1
"TURING TEST"	1
"TWINS STUDY"	1
"TWO-WAY ANOVA"	1
"TXRF"	1
"TYPEWRITER"	1
"TYPEWRITERS"	1
"TYPEWRITING"	1
"ULT"	1
"ULTRAVIOLET"	1
"ULTRAVIOLET-VISIBLE SPECTROSCOPY"	7
"ULTRAVIOLET LINE PATTERN"	1
"UNBRANDED BALLPOINT PENS"	1
"UNCERTAINTY ESTIMATION"	1
"UNDERLYING FUNCTIONS"	1
"UNDIGESTED PARTICULATE MATERIAL"	1
"UNEVEN COVERAGE OF THE INK"	1
"UNIPEN ONLINE HANDWRITING DATABASE"	1
"UNSUPERVISED FEATURE LEARNING"	1
"UV-INDUCED AGING"	1
"UVÂ€“VIS"	1
"UVÂ€“VIS ANALYSIS"	1
"UVÂ€“VIS SPECTROPHOTOMETER"	2
"UYGHUR"	1
"VALIDATION"	8
"VANISHING INK"	1
"VARIABILITY"	2
"VARIATION"	2
"VARIATION STUDY"	1
"VARIATIONAL APPROACH"	1
"VDP"	2
"VERIFICATION"	1
"VIBRATIONAL SPECTROSCOPY"	1
"VIDEO SPECTRAL COMPARATOR"	4
"VIDEO SPECTRAL COMPARATOR-4C"	1
"VIDEO SPECTRAL COMPARATOR 6000/HS"	1
"VIS-NIR SPECTROPHOTOMETRY"	1
"VISCOMETRY"	1
"VISIBLE AND NIR FUSION"	1
"VISIBLE SPECTROSCOPY"	1
"VISUAL FEATURES"	1
"VISUAL SPECTRUM"	1
"VISUAL SYSTEM"	1
"VISUALIZATION"	1
"VLAD"	1
"VOCABULARY SIZE"	1
"VOCS"	1
"VOLATILE ANALYSIS"	1
"VOLATILE INK COMPOUND DATING"	1
"VOLATILE ORGANIC COMPOUNDS"	1
"VOLATILE ORGANIC PRODUCTS"	1
"VOLATILE SOLVENTS"	1
"VOLATILES"	2
"VSC"	2
"VSC-1"	1
"WASTE TONER"	1
"WATER-BASED FLEXOGRAPHIC PRINTING INKS"	1
"WATERMARKING"	1
"WATERMARKING REGIONS"	1
"WAVELET SUB-BAND"	1
"WAVELET TRANSFORM"	1
"WEB SERVICES"	1
"WHEN?"	1
"WHITE LIGHT INTERFEROMETER"	1
"WIENER FILTER"	1
"WILL CHALLENGE"	1
"WORD-CLASS MODELS"	1
"WORD PROCESSING"	1
"WORD SPOTTING"	2
"WRINKLINESS"	1
"WRITER IDENTIFICATION (WI)"	24
"WRITER IDENTIFICATION/VERIFICATION"	1
"WRITER VERIFICATION"	6
"WRITERS"	1
"WRITING"	1
"WRITING BEHAVIOR"	1
"WRITING BIOMETRIC"	1
"WRITING CONDITIONS"	1
"WRITING HABITS"	1
"WRITING INK"	5
"WRITING INKS"	5
"WRITING INSTRUMENTS"	3
"WRITING MATERIALS"	1
"WRITING POSITION"	2
"WRITING POSTURE"	2
"WRITING PROFILES"	1
"WRITING STYLE ANALYSIS"	1
"WRITING SUPPORT"	1
"WRITING TYPE IDENTIFICATION"	1
"WRITING/PRINTING PAPERS"	1
"X-RAY DIFFRACTION (XRD)"	2
"X-RAY FLUORESCENCE (XRF)"	12
"X-RAY POWDER DIFFRACTION"	1
"XPS"	1
"XRD"	1
"Z PARAMETER"	1
