"Keyword"	"Biological Evidence-DNA"
"MCMC COMPUTATION"	1
"MEDITERRANEAN"	1
"MELANIN"	1
"MELANOCORTIN 1 RECEPTOR"	1
"MELANOCORTIN 1 RECEPTOR (MC1R)"	1
"MELT CURVE ANALYSIS"	1
"MELT TRANSITION"	1
"MEMBRANE COMB"	1
"MENSTRUAL BLOOD"	2
"MENSTRUAL BLOOD IDENTIFICATION"	1
"MEREDITH KERCHER"	1
"MESSENGER RNA (MRNA)"	10
"METAL"	1
"METAL-ENHANCED FLUORESCENCE"	1
"METAMORPHOSIS"	1
"METAPOPULATION"	1
"METHYLATION"	2
"METHYLATION-SENSITIVE RESTRICTION ENZYME POLYMERASE CHAIN REACTION"	1
"METHYLATION PATTERNS"	1
"METHYLATION SNAPSHOT"	2
"METHYLIGHT"	1
"MGB ECLIPSE™"	1
"MICELLE TO SOLVENT STACKING"	1
"MICRO-RNA"	1
"MICROARRAY"	3
"MICROARRAY ANALYSIS"	1
"MICROBIAL FORENSICS"	2
"MICROBIOME"	4
"MICROCHIMERISM"	1
"MICROCHIP"	3
"MICROCHIP ELECTROPHORESIS"	1
"MICROCHIP TECHNOLOGY"	1
"MICROCON"	1
"MICRODEVICE ELECTROPHORESIS"	2
"MICRODISSECTION"	1
"MICROFABRICATED GENETIC ANALYSIS DEVICES"	1
"MICROFABRICATION"	2
"MICROFLUIDIC"	2
"MICROFLUIDICS"	7
"MICROHAPLOTYPE"	1
"MICROHAPLOTYPES"	1
"MICRORNA"	3
"MICRORNA (MIRNA)"	1
"MICRORNA."	1
"MICROSATELLITE DNA"	3
"MICROSCOPIC HAIR COMPARISONS"	1
"MICROVARIANTS"	1
"MIDI-STR"	2
"MINELUTE"	1
"MINELUTETM"	1
"MINI-STR"	3
"MINI-STRS"	1
"MINI SHORT TANDEM REPEAT"	1
"MINIATURIZATION"	1
"MINIPLEX"	1
"MINISEQUENCING"	1
"MINISTR"	3
"MINISTRS"	2
"MIRNA"	4
"MIRNA PROFILING"	2
"MISCARRIAGE OF JUSTICE"	1
"MISCRIPT SYSTEM"	1
"MISEQ"	3
"MISEQ FGX™ SYSTEM"	1
"MISEQFGX"	1
"MISSING PERSON"	1
"MISSING PERSON AND RELATIONSHIP IDENTIFICATION"	1
"MISSING PERSONS"	1
"MITCHONDRIAL DNA/HETEROPLASMY/HUMAN IDENTIFICATION"	1
"MITOCHONDRIA"	1
"MITOCHONDRIAL DNA (MTDNA)"	54
"MITOCHONDRIAL DNA (MTDNA) POLYMORPHISM"	1
"MITOCHONDRIAL DNA CODING REGION"	1
"MITOCHONDRIAL DNA CONTROL REGION"	1
"MITOCHONDRIAL DNA SEQUENCE ANALYSIS"	1
"MITOCHONDRIAL DNA TYPING"	1
"MITOCHONDRIAL GENOME"	1
"MITOCHONDRIAL GENOME (MTGENOME)"	1
"MITOCHONDRIAL SNPS"	1
"MITOGENOME"	1
"MIX STAINS"	1
"MIX05"	1
"MIX13"	2
"MIXED SAMPLE INTERFERENCE"	1
"MIXED SAMPLES"	1
"MIXING PROPORTIONS"	1
"MIXTURE"	2
"MIXTURE ANALYSIS"	3
"MIXTURE DECONVOLUTION"	3
"MIXTURE DNA"	1
"MIXTURE INTERPRETATION"	7
"MIXTURE RESOLUTION"	1
"MIXTURE SEPARATION"	1
"MIXTURE SOFTWARE"	1
"MIXTURES"	9
"MODELS COMPARISON"	1
"MODIFIED IMPROVED PRIMER EXTENSION PREAMPLIFICATION"	1
"MODIFIED RAPID DNA ANALYSIS"	1
"MOLECULAR BIOLOGY"	1
"MOLECULAR DIAGNOSTICS"	1
"MOLECULAR GENETICS"	1
"MOLECULAR PHENOTYPING"	1
"MONOLITHIC COLUMN"	1
"MONOZYGOTIC TRIPLETS"	1
"MONOZYGOTIC TWINS"	2
"MONTAGE PCR"	1
"MORPHOLOGICAL EXAMINATION"	1
"MPB"	1
"MPI"	2
"MPII"	1
"MPIII"	2
"MPIV"	2
"MPS"	3
"MPV"	2
"MPVI"	1
"MPVII"	1
"MPVIII"	1
"MRNA-PROFILING"	1
"MRNA DEGRADATION"	1
"MRNA MARKERS"	1
"MRNA MULTIPLEX"	1
"MRNA PROFILING"	15
"MTDNA CODING REGION"	1
"MTDNA GENOMES"	1
"MTDNA HETEROPLASMY"	2
"MTDNA HVSI"	1
"MTDNA SEQUENCING"	1
"MTDNA TYPING"	1
"MTGENOME"	3
"MULTILOCUS GENOTYPES"	1
"MULTIPLE DISPLACEMENT AMPLIFICATION"	2
"MULTIPLEX"	11
"MULTIPLEX DNA TYPING SYSTEMS"	1
"MULTIPLEX MUTATION DETECTION"	1
"MULTIPLEX PCR AMPLIFICATION"	1
"MULTIPLEX POLYMERASE CHAIN REACTION (PCR)"	8
"MULTIPLEX RT-PCR"	1
"MULTIPLEX Y-STR ANALYSIS"	2
"MULTIPLEXES"	2
"MULTIPLEXING"	1
"MULTIVARIATE QUANTILE REGRESSION"	1
"MUMMY"	1
"MUTAGENIC PRIMER"	1
"MUTATION"	8
"MUTATION ANALYSIS"	1
"MUTATION DETECTION"	1
"MUTATION RATE"	4
"MVS"	1
"NAI TREATMENT METHOD"	1
"NAÏVE BAYES CLASSIFICATION"	1
"NATIONAL DNA DATABASE"	2
"NATIONAL DNA DATABASES"	2
"NATIVE ALASKANS"	1
"NATIVE AMERICAN POPULATION"	1
"ND1"	1
"NEAR INFRARED"	1
"NEGATIVE CONTROL"	1
"NESTED PCR"	1
"NETWORKS"	1
"NEURAL NETWORK"	2
"NEXT GENERATION SEQUENCING (NGS)"	32
"NEXTERA XT"	1
"NGMSELECT™ EXPRESS"	1
"NGS SNP GENOTYPING"	1
"NOMENCLATURE"	5
"NON-DESTRUCTIVE ANALYSIS"	1
"NON-HUMAN DNA"	1
"NON-SELF DNA"	1
"NORMALIZATION WIZARD"	1
"NRY"	1
"NUCLEAR-MITOCHONDRIAL DNA SEGMENTS"	1
"NUCLEAR DNA"	2
"NUMBER OF CONTRIBUTORS"	3
"OCA2"	1
"OLA"	1
"OLA REACTION"	1
"OLIGO-LIGATION ASSAY"	1
"OMNIPLEX™"	1
"ONLINE SAMPLE PRECONCENTRATION"	1
"ONOMASTICS"	1
"OPEN-SOURCE SOFTWARE"	1
"OPTICAL DENSITOMETRY"	1
"OPTIMIZATION"	1
"ORDERING DEVICE"	1
"ORENSIC SCIENCE"	1
"ORGAN TISSUE IDENTIFICATION"	2
"P-VALUE"	1
"PADLOCK PROBES"	1
"PALEOGENETICS"	1
"PARAMAGNETIC BEADS"	1
"PARAMETER ESTIMATION"	1
"PARENTAGE TESTING"	1
"PARENTAL ALLELE LENGTH (PAL)"	1
"PARTIAL LEAST SQUARES (PLS)"	1
"PATERNAL INHERITANCE"	1
"PATERNAL LINEAGE"	2
"PATERNITY"	9
"PATERNITY CASE"	1
"PATHOGEN DETECTION"	1
"PATTERN RECOGNITION"	1
"PCAST"	1
"PCR DEGRADATION"	1
"PCR INHIBITION"	2
"PEAK HEIGHT RATIOS"	1
"PEAK HEIGHTS"	1
"PEN INKS"	1
"PENDULUM"	1
"PENTA D"	4
"PENTA E"	4
"PERSISTENCE"	6
"PERSISTENCE OF DNA"	3
"PERSONAL IDENTIFICATION"	1
"PES"	1
"PGM"	1
"PHADEBAS® FORENSIC PRESS TEST"	1
"PHADEBAS® PAPER"	1
"PHENOL/CHLOROFORM METHOD"	1
"PHENOLPHTHALEIN"	1
"PHENOTYPE"	1
"PHENOTYPE INFORMATIVE SNPS"	1
"PHEOMELANIN"	1
"PHOSPHODIESTERASE 5"	1
"PHRED VALUES"	1
"PHYLOGENETIC ANALYSIS"	1
"PHYLOGENY"	3
"PHYSICAL CHARACTERISTICS"	1
"PHYSICAL TRAITS"	1
"PIGMENTATION"	6
"PIPETTING"	1
"PLATFORM AGNOSTIC WORKFLOW"	1
"POACHING"	1
"POINT HETEROPLASMY"	1
"POINT MUTATION"	1
"POLICE ELIMINATION DATABASE (PED)"	2
"POLYMERASE CHAIN REACTION (PCR)"	28
"POLYMORPHISM"	4
"POLYMORPHISMS"	2
"POPULATION"	1
"POPULATION-SPECIFIC DIVERGENCE"	1
"POPULATION ADMIXTURE"	1
"POPULATION ANALYSIS"	1
"POPULATION DATA"	2
"POPULATION GENETICS"	9
"POPULATION HISTORY"	1
"POPULATION STRATIFICATION"	1
"POPULATION STRUCTURE"	3
"POPULATION STUDY"	1
"POPULATION SUBDIVISION"	1
"POPULATION VARIATION"	1
"PORTABLE SPECTROMETER"	1
"POST-COITAL CERVICOVAGINAL SAMPLES"	2
"POST-PCR CLEANUP"	1
"POST-PCR PURIFICATION"	1
"POSTMORTEM INTERVAL"	3
"POSTMORTEM ROOT BANDING"	1
"POSTTRANSCRIPTIONAL CONTROL"	1
"POWER OF DISCRIMINATION"	1
"POWERPLEX"	4
"POWERPLEX 16®"	1
"POWERPLEX ES KIT"	1
"POWERPLEX(R)"	1
"POWERPLEX® 16 BIO SYSTEM"	1
"POWERPLEXÒ Y"	1
"POWERSEQ"	1
"POWERSEQ AUTO SYSTEM"	1
"POWERSEQ™ AUTO/Y SYSTEM"	1
"PRE-ASSESSMENT"	1
"PRECISION"	1
"PRECISION ID ANCESTRY PANEL"	1
"PRECISION ID MTDNA WHOLE GENOME PANEL"	1
"PREDICTION"	2
"PREDICTION ACCURACY"	1
"PREDICTION MODEL"	2
"PREDICTIVE DNA ANALYSIS"	2
"PREDICTIVE PHENOTYPING"	1
"PREFERENTIAL LYSIS"	1
"PRESSURE"	1
"PRESUMED SINGLE SOURCE SAMPLE"	1
"PRESUMPTIVE BLOOD TESTING"	1
"PRESUMPTIVE TESTS"	1
"PREVALENCE"	1
"PRIMER EXTENSION"	4
"PRIMERS"	2
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	3
"PRIVACY"	4
"PRIVACY IMPACT ASSESSMENT"	1
"PROBABILISTIC"	3
"PROBABILISTIC GENOTYPING"	8
"PROBABILISTIC MODELS IN FORENSIC GENETICS"	1
"PROBABILITY"	1
"PROBABILITY ASSIGNMENT"	1
"PROBABILITY OF EXCLUSION"	1
"PROBATIVE VALUE"	1
"PROBE CAPTURE TARGET ENRICHMENT"	1
"PRODUCT RULE"	1
"PROFICIENCY TESTING"	1
"PROFILE COMPARISON"	1
"PROFILER PLUS®"	1
"PROMEGA"	1
"PROPORTIONALITY"	1
"PROPOSITIONS"	2
"PROSECUTOR'S FALLACY"	1
"PROTEINS"	1
"PROVEDIT"	1
"PUBLIC OPINION"	1
"PURIFICATION"	1
"PUTRID HAIR ROOT"	1
"PYROSEQUENCING"	6
"PYTHON"	1
"QIAGEN BIOROBOT EZ1"	1
"QIAGEN INVESTIGATOR HDPLEX"	1
"QUALITY ASSURANCE"	3
"QUALITY CONTROL"	3
"QUALITY SCORE SEQUENCE ANALYSIS"	1
"QUANTIFICATION"	1
"QUANTITATION"	1
"QUANTITATIVE DATA"	1
"QUANTITATIVE REAL-TIME RT-PCR"	1
"R-DNA"	1
"R V HOEY"	1
"RAFFAELLE SOLLECITO"	1
"RAMAN"	1
"RAMAN SPECTROSCOPY"	1
"RANDOM FOREST REGRESSION"	1
"RAPE EVIDENCE"	1
"RAPID"	1
"RAPID-DNA"	1
"RAPID DIRECT PCR"	1
"RAPID DNA"	12
"RAPID DNA ANALYSIS"	3
"RAPID DNA IDENTIFICATION"	2
"RAPID DNA RAPIDHIT®"	1
"RAPID DNA TESTING"	1
"RAPID GENOTYPING"	1
"RAPID PCR"	3
"RAPID PROTOCOLS"	1
"RAPIDDNA"	1
"RAPIDHIT ® ID"	1
"RAPIDHIT SYSTEM"	1
"RAPIDHIT® ID"	4
"RAPIDHIT™ 200"	1
"RAPIDLINK®"	1
"RAPIDLINK™"	1
"RAPIDLY MUTATING MARKERS"	1
"RAPIDLY MUTATING Y-SHORT TANDEM REPEATS"	1
"RAPIDLY MUTATING Y-STRS (RM Y-STRS)"	1
"RATIONAL DECISION THEORY (RDT)"	1
"RDNA"	2
"REAL-TIME"	2
"REAL TIME RT-PCR"	1
"RECOMBINATION"	3
"RECOMMENDATIONS"	2
"RECOMMENDATIONS ON FORENSIC STR TYPING"	1
"RECOVERY"	1
"RED HAIR"	2
"REFERENCE DNA"	1
"REFERENCE DNA SAMPLES"	1
"REFERENCE POPULATIONS"	1
"REFERENCE SAMPLES"	2
"REGULAR USE"	1
"REGULATION"	1
"RELATEDNESS"	2
"RELATIONSHIP TESTING"	1
"RELATIVE DIFFERENTIATION"	1
"RELATIVE DNA CONTRIBUTION"	1
"RELIABILITY"	1
"REPEAT POLYMORPHISM"	1
"REPLI-G™ 2500S"	1
"REPLICATES"	1
"RESTRICTION SITES"	1
"REVERSIBLE JUMP MCMC"	1
"REVIEW"	4
"RIBONUCLEIC ACID (RNA)"	1
"RICHMOND"	1
"RM Y-STR"	1
"RM Y-STRS"	1
"RMNE"	1
"RNA"	6
"RNA DEGRADATION"	1
"RNA EXTRACTION"	1
"RNA MARKERS"	1
"RNA PROFILING"	1
"RNA STABILITY"	2
"RNA/DNA CO-EXTRACTION"	1
"RNASEQ"	1
"ROBOTIC DNA EXTRACTION"	1
"ROBOTICS"	2
"ROBUSTNESS"	1
"ROLLING CIRCLE AMPLIFICATION"	2
"RT-PCR"	6
"RT-PCR MULTIPLEX"	2
"RT-QPCR"	2
"SALIVA"	7
"SALIVA IDENTIFICATION"	2
"SALIVA PRESUMPTIVE TEST"	1
"SAMPLE TRACKING"	2
"SANGER-TYPE SEQUENCING"	1
"SCENE OF CRIME"	1
"SCENE OF CRIME OFFICER"	1
"SCENE OF CRIME OFFICER (SOCO)"	1
"SCENE OF CRIME OFFICERS"	1
"SCENE SUITS"	1
"SCHIZOPHRENIA"	1
"SCIO"	1
"SCRATCHING EXPERIMENT"	1
"SCREENING OF EVIDENTIAL HAIR"	1
"SE33"	3
"SEBACEOUS"	1
"SECOND-GENERATION SEQUENCING (SGS)"	1
"SECOND GENERATION SEQUENCING"	2
"SECONDARY DNA TRANSFER"	1
"SECONDARY TRANSFER"	9
"SECURITY"	1
"SEGREGATION"	1
"SELF-DECLARED ANCESTRY"	1
"SEMEN"	5
"SEMEN IDENTIFICATION"	2
"SENSITIVITY"	1
"SENSITIVITY ANALYSIS"	1
"SENSITIVITY AND SPECIFICITY"	1
"SEQUENCE"	1
"SEQUENCE-DIRECTED NUCLEOTIDE ADDITION"	1
"SEQUENCE ALIGNMENT"	1
"SEQUENCE ANALYSIS"	2
"SEQUENCE DATA"	1
"SEQUENCE ERRORS"	1
"SEQUENCE QUALITY VALUES"	1
"SEQUENCE VARIANTS"	2
"SEQUENCE VARIATION"	5
"SEQUENCERS"	1
"SEQUENCING"	4
"SEROLOGY"	1
"SEX"	1
"SEX DETERMINATION"	1
"SEXING"	1
"SEXUAL ASSAULT"	8
"SEXUAL ASSAULT EVIDENCE"	1
"SEXUAL INTERCOURSE"	1
"SEXUAL MURDER"	1
"SHEDDER"	2
"SHEDDER STATUS"	1
"SHEDDERS"	1
"SHEDDING"	1
"SHORT AMPLICON BINARY MARKERS"	1
"SHORT AMPLICON PCR"	1
"SHORT STRS"	1
"SHORT TANDEM REPEAT (STR)"	131
"SHORT TANDEM REPEAT ANALYSIS"	1
"SHORT TANDEM REPEAT DNA TYPING"	1
"SHORT TANDEM REPEAT SEQUENCE"	1
"SHORT TANDEM REPEAT SYSTEMS"	1
"SHORT TANDEM REPEAT TYPING"	2
"SIGNIFICANCE"	1
"SILENT ALLELE"	1
"SILICA-BEADS METHOD"	1
"SILICA BEADS"	1
"SILVER STAINING"	1
"SIMPLE SEQUENCE REPEATS"	1
"SIMULATED TRACES"	1
"SIMULATION"	3
"SINGLE-MOLECULE SEQUENCING"	1
"SINGLE BASE EXTENSION"	4
"SINGLE NUCLEOTIDE POLYMORPHISM (SNP)"	62
"SINGLE NUCLEOTIDE PRIMER EXTENSION"	1
"SINGLE SPERM"	1
"SJTREC"	1
"SKELETAL PREPARATION"	3
"SKELETAL REMAINS"	2
"SKIN"	4
"SKIN CELLS"	2
"SKIN COLOR"	1
"SKIN COLOUR"	1
"SKIN COLOUR PREDICTION"	1
"SLAVS"	1
"SLP"	1
"SM Y-STRS"	1
"SMALL AMPLICONS"	1
"SMOOTHING"	1
"SNAP SHOT™"	1
"SNAPSHOT"	4
"SNP GENOTYPING"	1
"SNP GENOTYPING ARRAYS"	1
"SNP TYPING"	2
"SNPFORID"	3
"SNPFORID CONSORTIUM"	1
"SNPSTREAM®"	1
"SOCIAL CONTACT"	1
"SODIUM HYDROXIDE"	1
"SOFT INDEPENDENT MODELING OF CLASS ANALOGY (SIMCA)"	1
"SOFTWARE"	1
"SOFTWARE TRAINING AND TESTING"	1
"SOFTWARE VALIDATION"	1
"SOMATIC DISTRIBUTION"	1
"SOMATIC MOSAICISM"	1
"SOUTH AFRICA"	1
"SOUTHWEST ASIA"	1
"SPANISH AND PORTUGUESE-SPEAKING WORKING GROUP"	1
"SPANISH CIVIL WAR"	1
"SPATIAL INTERPOLATION"	1
"SPECIES IDENTIFICATION"	4
"SPECIFICITY"	2
"SPECTROSCOPY"	1
"SPERM HY-LITER"	1
"SPERM HY-LITER™"	2
"SPERMATOZOA"	7
"SPERMATOZOA DETECTION"	2
"SSCP"	1
"SSO PROBES"	1
"STABILITY"	1
"STAIN ANALYSIS"	1
"STAINS"	1
"STANDARD"	1
"STANDARDISATION"	1
"STANDARDIZATION"	3
"STANDING"	1
"STATIC"	1
"STATISTICAL EVALUATION"	1
"STATISTICAL GENETICS"	2
"STATISTICAL MODEL"	1
"STATISTICS"	4
"STOCHASTIC THRESHOLD"	1
"STR ALLELE"	1
"STR ANALYSIS"	12
"STR DATABASE"	2
"STR DNA INTERPRETATION"	1
"STR DNA TYPING"	1
"STR GENOTYPING"	1
"STR KITS"	1
"STR LOCI"	1
"STR MULTIPLEXES"	1
"STR POLYMORPHISM"	1
"STR PROFILE"	1
"STR PROFILES"	1
"STR PROFILING"	1
"STR STUTTER"	1
"STR TYPING"	3
"STR/DNA ALLELE PEAK DATA"	1
"STRAIN TYPING"	1
"STRANGULATION"	1
"STRATIFICATION"	1
"STRENGTH OF EVIDENCE"	2
"STRING SEARCH"	1
"STRMIX"	4
"STRMIX™"	1
"STUTTER"	3
"STUTTERS"	1
"SUBPOPULATION EFFECTS"	1
"SUBPOPULATIONS"	1
"SUBSTRATE POROSITY INFLUENCE"	1
"SUCCESSION"	1
"SUPERCRITICAL FLUID EXTRACTION"	1
"SUPPLEMENTARY MARKERS"	1
"SURFACE ORGANIC ANALYSIS"	1
"SURNAMES"	1
"SURVIVABILITY"	1
"SUSPECT POPULATION"	1
"SWGDAM"	1
"SWGDAM DEVELOPMENTAL VALIDATION"	1
"SWGDAM VALIDATION"	3
"SYBR® GREEN I"	1
"T-DMRS"	1
"TALL STATURE"	1
"TAQMAN"	3
"TAQMAN® ASSAY"	1
"TAQMAN® PCR"	1
"TARGETED MASSIVELY PARALLEL SEQUENCING"	1
"TECHNOLOGY ADOPTION"	1
"TELOGEN"	1
"TELOGEN HAIRS"	1
"TELOMERE LENGTH"	1
"TERTIARY DNA TRANSFER"	1
"TETRA-LOCAL"	1
"TH01"	7
"THERMOSTABLE PROTEINASE"	1
"THOI"	1
"THRESHOLD"	1
"TIME"	1
"TIME OF DEATH"	1
"TISSUE-DEPENDENT AND DIFFERENTIALLY METHYLATED REGIONS"	1
"TISSUE-SPECIFIC DIFFERENTIALLY METHYLATED REGION"	2
"TISSUE DIFFERENTIATION"	1
"TISSUE IDENTIFICATION"	5
"TOBACCO SMOKING"	1
"TOTAL MORPHOLOGICAL PATTERN"	1
"TOUCH DEPOSITS"	1
"TOUCH DNA"	12
"TOUCH/CONTACT DNA"	1
"TOXICOLOGY"	1
"TOXIN"	1
"TPOX"	4
"TPOX CSF1PO"	1
"TRACE"	5
"TRACE DNA"	8
"TRACE EVIDENCE"	2
"TRANSCRIPTOME ANALYSIS"	1
"TRANSFER"	16
"TRANSMISSION ELECTRON MICROSCOPY"	1
"TRI-ALLELIC SNP"	1
"TRIALLELIC"	1
"TRIPLEX"	1
"TSSV"	1
"TWGDAM VALIDATION"	2
"TYPES OF ERROR"	1
"TYR"	1
"TYRP1"	1
"U.S. AMERICANS"	1
"U.S. CAUCASIAN"	1
"U.S. POPULATIONS"	1
"ULTRA HIGH THROUGHPUT SYSTEM"	1
"ULTRAFILTRATION"	1
"ULTRAVIOLET IRRADIATION"	1
"UNIDENTIFIED BODY"	1
"UNITED STATES"	1
"UNITED STATES OF AMERICA SCIENTIFIC WORKING GROUP ON DNA ANALYSIS METHODS (SWGDAM)"	1
"UNWASHED HANDS"	1
"URINE"	1
"URINE SAMPLES"	1
"URINE STAIN"	1
"US POPULATIONS"	1
"VA"	1
"VAGINA"	1
"VAGINAL EPITHELIA"	1
"VAGINAL FLUID"	2
"VAGINAL SECRETIONS"	3
"VAGINAL SECRETIONS IDENTIFICATION"	1
"VALIDATION"	18
"VALIDATION AND VERIFICATION"	1
"VALIDATION STUDY"	3
"VIRUS"	2
"VNTR"	1
"VOLUME TRANSFERS"	1
"VOLUME VERIFICATION METHOD"	1
"VWA"	5
"WAR CRIMES"	1
"WATER QUALITY"	1
"WAVELET THEORY"	1
"WEARER"	1
"WEARER DNA"	1
"WEIGHT OF EVIDENCE"	4
"WHOLE GENOME AMPLIFICATION"	2
"WOUND AGE DETERMINATION"	1
"WRIGHT'S FST"	1
"X-CHROMOSOME STR MARKERS"	1
"X-STRS"	2
"X CHROMOSOME"	1
"XIBE POPULATION"	1
"Y-CHROMOSOME HAPLOTYPES"	1
"Y-CHROMOSOME MARKERS"	1
"Y-CHROMOSOME STR"	1
"Y-GATA-A7.1 (DYS460)"	2
"Y-GATA-A7.2 (DYS461)"	2
"Y-GATA-C4"	2
"Y-GATA-H4"	3
"Y-GATA A7.2 (DYS461)"	1
"Y-HAPLOTYPES"	1
"Y-INDEL"	1
"Y-PLEX"	3
"Y-PLEXTM 12"	1
"Y-SNPS"	2
"Y-STR"	11
"Y-STR DATABASES"	1
"Y-STR HAPLOTYPE"	1
"Y-STR MEGAPLEX"	1
"Y-STR MULTIPLEX"	1
"Y-STR TYPING"	1
"Y-STRS"	4
"Y CHROMOSOME"	34
"Y CHROMOSOME PHYSICAL MAP"	1
"Y CHROMOSOME STR"	2
"Y GATA A7.1"	1
"Y GATA C4"	1
"Y GATA H4"	3
"Y HAPLOTYPE ANALYSIS"	1
"YAVAPAI"	1
"YCAII"	1
"YFILER"	1
"YHRD"	1
"ZIPCHUTE™ PROBES"	1
