"Keyword"	"Paint-Glass"
"HYDROGEN PEROXIDE"	1
"HYDROLYSIS"	1
"HYDROTALCITE"	1
"HYPERBRANCHED POLYESTER POLYOL"	1
"HYPERSPECTRAL"	1
"HYPERSPECTRAL IMAGING"	3
"HYPERSPECTRAL IMAGING VISIBLE/NEAR INFRARED SPECTROSCOPY"	1
"IBRAHIM AL-NASEKH"	1
"ICON"	1
"ICP-AES"	3
"ICP OES"	1
"IDENTIFICATION"	3
"IDENTIFICATION OF HAZARDOUS MATERIALS"	1
"IGNITABLE LIQUID (IL)"	1
"ILLICIT DRUG"	1
"ILLUMINATED MANUSCRIPTS"	1
"ILMENITE"	1
"IM-NAA"	1
"IMAGE ANALYSIS"	2
"IMAGE RETRIEVAL"	1
"IMAGE STITCHING"	1
"IMAGING"	2
"IMMERSION"	1
"IMPLANTABLE BIOFUEL CELLS"	1
"IMPRESSIONISM"	1
"IN-SITU HYDRATION"	1
"IN SITU ANALYSIS"	2
"IN SITU ANALYSIS OF OBJECTS OF ART AND ANTIQUITIES"	1
"IN SITU DYE ANALYSIS"	1
"IN SITU XRF"	1
"INDENTATION"	1
"INDIA"	1
"INDIAN YELLOW"	1
"INDIGO"	1
"INDIGO DYES IN LAYERS OF ANCIENT PAINT"	1
"INDIRECT TRANSFER"	1
"INDUCTIVELY COUPLED PLASMA"	1
"INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETRY"	1
"INFRARED AND RAMAN SPECTROSCOPY"	3
"INFRARED IMAGING"	3
"INFRARED LIBRARY SEARCHING"	2
"INFRARED MICROSCOPE"	1
"INFRARED MICROSCOPY"	1
"INFRARED MICROSPECTROMERY"	1
"INFRARED MICROSPECTROMETRY"	2
"INFRARED MICROSPECTROSCOPY"	1
"INFRARED RADIATION"	5
"INFRARED RANGE"	1
"INFRARED REFLECTOGRAPHY"	2
"INFRARED SPECTROSCOPIC IMAGING"	1
"INFRARED SPECTROSCOPY (IR)"	15
"INGREDIENTS"	1
"INK"	5
"INK PRINT"	1
"INORGANIC AND ORGANIC COMPONENTS"	1
"INORGANIC MATERIAL"	1
"INORGANIC PAINT PIGMENTS"	1
"INORGANIC PIGMENTS"	3
"INSTRUMENTAL TECHNIQUES"	1
"INSTRUMENTATION"	1
"INTEGRATING SPHERE"	1
"INTERACTIONS"	1
"INTERFERENCE"	1
"INTERFERENCES"	1
"INTERNAL STANDARDIZATION"	1
"INTERPRETATION"	7
"INTERPRETATION OF EVIDENCE"	1
"INTUMESCENT FIRE RETARDANT COATING"	1
"INVESTIGATIONS"	1
"ION-EXCHANGE PIGMENT"	1
"ION-EXCHANGE PIGMENTS"	1
"ION BEAM ANALYSIS"	3
"ION BEAM ANALYSIS (IBA)"	1
"IR-REFLECTING"	1
"IR-REFLECTING PIGMENTS"	1
"IR SPECTRAL LIBRARY SEARCHING"	1
"IRIDESCENT ART NOUVEAU GLASS"	1
"IRMS ANALYSIS"	1
"IRON GALL INK"	1
"IRON OXIDE"	1
"IRON OXIDE PIGMENTS"	1
"IRON OXIDES"	1
"ISLAMIC GLASS"	1
"ISOTOPE RATIO"	1
"ISOTOPE RATIO MASS SPECTROMETRY"	2
"ISOTOPE RATIOS"	1
"ITALY"	1
"JAROSITE"	1
"JAUME HUGUET"	1
"K0-INAA"	1
"KAOLIN"	1
"KAUFFMANN"	1
"KENYA"	1
"KERNEL DENSITY"	1
"KETONE VARNISH"	2
"KUBELKA-MUNK"	1
"LABDANE DITERPENOIDS"	1
"LAKE"	1
"LAPIS LAZULI"	1
"LARGE SAMPLES"	1
"LARIXOL ACETATE"	1
"LASER"	1
"LASER-ABLATION ICP-MS"	1
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"	21
"LASER-INDUCED FLUORESCENCE"	1
"LASER ABLATION"	15
"LASER DESORPTION"	1
"LASER DESORPTION MASS SPECTROMETRY"	2
"LASER FLUENCE"	1
"LASER SPECTRAL FINGERPRINTING"	1
"LASER SPECTROSCOPY"	1
"LATE LA TÈNE"	1
"LATE ROMAN GLASS"	1
"LATERAL SCANNING"	1
"LATEX PAINT"	1
"LAW ENFORCEMENT"	1
"LAZURITE"	1
"LC-ESI-MS/MS"	1
"LEACHING"	2
"LEACHING RATE"	1
"LEAD"	4
"LEAD-TIN YELLOW"	2
"LEAD ANTIMONY TIN YELLOW"	1
"LEAD GLASSES"	1
"LEAD TIN YELLOW"	1
"LEAD WHITE"	1
"LEGAL THRESHOLD"	1
"LEXICAL DENSITY"	1
"LIBRARY"	1
"LIBS COMPARATIVE GLASS ANALYSIS"	1
"LIFETIME"	1
"LIGHT AGEING"	1
"LIGHT MICROSCOPY"	1
"LIGHT SCATTERING"	1
"LIGHT STABILIZER"	1
"LIKELIHOOD RATIO"	33
"LILIACAE TREES"	1
"LIME PLASTER"	1
"LINEAR DISCRIMINANT ANALYSIS"	3
"LINEAR IMAGING"	1
"LIPID"	1
"LIPIDOMICS"	1
"LIQUID CHROMATOGRAPHY (LC)"	1
"LLD"	1
"LOETZ"	1
"LOG-CONCAVE"	1
"LOGISTIC REGRESSION"	1
"LOW-ENERGY SIMS"	1
"LOW-VACUUM SCANNING ELECTRON MICROSCOPY-ENERGY-DISPERSIVE SPECTROSCOPY"	1
"LOW-VOC"	1
"LOW COHERENCE INTERFEROMETRY"	1
"LOW VOC"	1
"LUMINESCENCE SPECTROSCOPY"	1
"LUSTRE"	1
"LUTE"	1
"MADONNA"	1
"MAJOR ELEMENTS"	1
"MALDI-TOF-MS"	3
"MALEIC ANHYDRIDE"	1
"MALEIMIDE FUNCTIONAL POLYURETHANE DISPERSION"	1
"MALEIMIDEDOETHOXYBUTOXYDIMETHYLSILOXY BUTYL ACRYLATE"	1
"MANILA COPAL"	1
"MANILA ELEMI"	1
"MANUSCRIPT ILLUMINATION"	1
"MANUSCRIPTS"	2
"MAPPING"	1
"MAR RESISTANCE"	1
"MARINE BIOLOGY"	1
"MARINE COATING"	1
"MARINE COATINGS"	1
"MARKET STUDY"	1
"MARKOV CHAIN MONTE CARLO"	1
"MASS SPECTROMETRY (MS)"	7
"MASTIC"	1
"MATCH CRITERIA"	1
"MATCHES"	1
"MATERIAL CHARACTERIZATION"	1
"MATERIAL IDENTIFICATION"	1
"MATERIALS"	1
"MATERIALS CHARACTERISATION"	1
"MATHEMATICAL MORPHOLOGY"	1
"MATRIX-ASSISTED LASER DESORPTION/IONISATION TIME OF FLIGHT MASS SPECTROMETRY"	1
"MATRIX EFFECT"	1
"MATRIX MATCHED STANDARD LASER ABLATION LA-ICP-MS"	1
"MAXWELL-WAGNER SILLERS LOSS"	1
"MAYA BLUE"	1
"MC-ICP-MS"	1
"MCMC"	1
"MEASUREMENT METHOD"	1
"MECHANICAL PROPERTIES"	4
"MECHELEN"	1
"MEDIAEVAL"	1
"MEDIAEVAL WALL PAINTINGS"	1
"MEDICINAL PRODUCTS"	1
"MEDIEVAL CODICES"	1
"MEDIEVAL ILLUMINATIONS"	1
"MEDIEVAL SCULPTURE"	1
"MELAMINE"	1
"MELAMINE ENRICHMENT"	1
"MELANORRHOEA USITATE"	1
"MELT GLASS"	2
"MESUA FERREA L. SEED OIL"	1
"METAL"	2
"METAL COATINGS"	2
"METAL OXIDES"	1
"METAL SULPHIDES"	1
"METALLIC COATINGS"	1
"METALLIC FOILS"	1
"METEORA"	1
"METHOD VALIDATION"	1
"METHYL CHLOROFORMATE"	1
"METHYLAMMONIUM HYDROXIDE REAGENTS"	1
"METHYLATING, SILYLATING CONDITIONS"	1
"METHYLATION"	2
"MEXICAN COPAL"	1
"MICRO"	1
"MICRO-ANALYSIS"	1
"MICRO-INFRARED SPECTROSCOPY"	1
"MICRO-IR"	1
"MICRO-LIBS SPECTROSCOPY"	1
"MICRO-ORGANISMS"	1
"MICRO-RAMAN SPECTROSCOPY (MRS)"	1
"MICRO FT-IR"	1
"MICRO FTIR"	1
"MICRO FTIR SPECTROSCOPY"	1
"MICRO RAMAN"	1
"MICRO X-RAY FLUORESCENCE (MXRF)"	1
"MICRO X-RAY FLUORESCENCE ANALYSIS"	1
"MICRO X-RAY SPECTROMETRY"	1
"MICROANALYSIS"	1
"MICROANALYTICAL TECHNIQUE"	2
"MICROCALORIMETER"	1
"MICROCAPSULES"	2
"MICROENCAPSULATION"	2
"MICROFLUORESCENCE SPECTROSCOPY"	2
"MICROINFRARED SPECTROSCOPY"	1
"MICROSCOPY"	5
"MICROSPECTROPHOTOMETRY"	2
"MICROSPHERES"	1
"MICROTOME"	1
"MICROTOMY"	1
"MICROTRACES"	1
"MICROWAVE DECOMPOSITION"	1
"MID-FTIR"	1
"MID INFRARED (MIR) SPECTROSCOPY"	1
"MIGRATION"	1
"MILD STEEL"	2
"MINERAL SCREENER"	1
"MINERALS"	2
"MINERALS AND STONES"	1
"MINIMALISTIC SAMPLE PREPARATION"	1
"MISSING DATA"	1
"MIXTURE MODEL"	1
"MIXTURES"	1
"MOBILE EQUIPMENT"	1
"MOBILE INSTRUMENTATION"	3
"MOBILE RAMAN EQUIPMENT"	1
"MOBILE RAMAN SPECTROSCOPY"	2
"MODERN ART"	2
"MOLECULAR"	1
"MOLYBDENUM IONS"	1
"MONITORING"	1
"MOOLOOITE"	1
"MÖSSBAUER SPECTROMETER"	1
"MUITIVARIATE DATA"	1
"MULLITE"	1
"MULTIBLOCK"	1
"MULTICOMPONENT SAMPLES"	1
"MULTILAYERS"	1
"MULTIPLE COMPARISON"	1
"MULTIPLE FRACTURES"	1
"MULTIPLE LINEAR REGRESSION (MLR)"	1
"MULTIPLE LINEAR REGRESSION ANALYSIS"	1
"MULTIPLE SCATTERING"	1
"MULTISPECTRAL"	1
"MULTIVARIABLE ANALYSIS"	1
"MULTIVARIATE"	1
"MULTIVARIATE ANALYSIS (MVA)"	4
"MULTIVARIATE CLASSIFICATION"	1
"MULTIVARIATE CURVE RESOLUTION"	1
"MULTIVARIATE DATA"	3
"MULTIVARIATE MEASUREMENTS"	1
"MULTIVARIATE PHYSICO-CHEMICAL DATA"	1
"MURAL PAINTING"	3
"MURAL PAINTINGS"	3
"MUSEUM OBJECTS"	3
"MUSICAL INSTRUMENT"	1
"MUSICAL INSTRUMENTS"	1
"N-HALAMINE"	1
"NAIL GUN"	1
"NAÏVE BAYES CLASSIFIERS"	1
"NANO-COATINGS"	1
"NANO-INDENTATION"	1
"NANO-INDENTATION HARDNESS"	1
"NANO-SCRATCH"	1
"NANO-SILICA"	3
"NANO-SIO2"	1
"NANO-STRUCTURED"	1
"NANO-ZNO"	1
"NANO ESI-QTOF-MS"	2
"NANO MECHANICAL PROPERTIES"	1
"NANO ZINC OXIDE"	1
"NANOCOMPOSITE"	2
"NANOCOMPOSITES"	1
"NANOFILLER"	1
"NANOPARTICLE-BASED ADDITIVES"	1
"NANOPARTICLE-BASED PARTICLES"	1
"NANOPARTICLES"	1
"NANOPOLYANILINE"	1
"NANOSECOND"	1
"NANOTECHNOLOGY"	2
"NAPHTHOL RED"	1
"NAPLES YELLOW"	1
"NATURAL BINDING MEDIA"	2
"NATURAL ORGANIC COMPOUNDS"	1
"NATURAL ORGANIC MATERIALS"	1
"NATURAL RESINS"	2
"NATURAL TREE GUM"	1
"ND:YAG LASER ETCHING"	1
"NEAR-FTIR"	1
"NEAR-INFRARED FOURIER TRANSFORM RAMAN SPECTROSCOPY"	1
"NEFERTETE"	1
"NEGATIVE ION"	1
"NEURAL NETWORK"	1
"NEUTRON ACTIVATION ANALYSIS"	1
"NEUTRON ACTIVATION ANALYSIS (NAA)"	1
"NICKEL TITANATE"	1
"NIST GLASS"	1
"NOLI ME TANGERE"	1
"NON-DESTRUCTIVE ANALYSIS"	9
"NON-DESTRUCTIVE INVESTIGATION"	2
"NON-DESTRUCTIVE: PARTICLE INDUCED X-RAY EMISSION"	1
"NON-INVASIVE"	1
"NON-INVASIVE ANALYSIS"	3
"NONINVASIVE ANALYSIS"	1
"NONORTHOGONAL IMPACT"	1
"NONPARAMETRIC PERMUTATION TEST"	1
"NORMAL DISTRIBUTION"	1
"NORMALIZATION"	1
"NORMALIZED BAYES ERROR"	1
"NUCLEAR ANALYTICAL TECHNIQUES"	1
"NUCLEAR FORENSICS"	3
"NUCLEAR WEAPONS"	1
"OAK WOOD"	1
"OCHER"	1
"OCHRE"	1
"OIL"	1
"OIL IDENTIFICATION"	1
"OIL PAINT"	1
"OIL PAINTINGS"	2
"OILS"	1
"OLD KINGDOM"	1
"OLD MASTERS PAINT"	1
"ON-LINE ESTERIFICATION"	1
"ON-SITE ANALYSIS"	1
"ONOUFRIOS"	1
"OPAQUE POLYMER"	1
"OPEN TIME"	2
"OPTICAL AND SCANNING ELECTRON MICROSCOPY"	1
"OPTICAL COHERENCE TOMOGRAPHY"	4
"OPTICAL MICROSCOPE"	1
"OPTICAL MICROSCOPY"	7
"OPTICAL PROPERTIES"	1
"OPTICAL SIMULATION"	1
"ORGANIC AND INORGANIC PIGMENTS"	1
"ORGANIC BINDER"	1
"ORGANIC COATING"	2
"ORGANIC COATINGS"	3
"ORGANIC COLOURANTS"	1
"ORGANIC PIGMENT"	1
"ORGANIC PIGMENTS"	2
"ORGANIC SYNTHETIC PIGMENTS"	1
"ORGANO-CLAY COMPLEX"	1
"ORGANOCLAY"	1
"ORIENTAL LACQUER"	1
"ORTHOGONAL IMPACT"	1
"OUT-OF-BAG ERRORS"	1
"OUTDOOR TESTS"	1
"OXALATE"	2
"OXIDES NORMALIZATION"	1
"PABLO PICASSO"	1
"PAINT"	43
"PAINT-IDENTIFICATION"	1
"PAINT ANALYSIS"	9
"PAINT APPLICATION"	1
"PAINT ARTWORK"	1
"PAINT BINDER"	2
"PAINT BINDING MEDIA"	1
"PAINT CHIPS"	1
"PAINT COMPARISON"	1
"PAINT CROSS-SECTIONS"	1
"PAINT CROSS SECTIONS"	1
"PAINT EVIDENCE"	2
"PAINT EXAMINATION"	4
"PAINT FILM"	1
"PAINT FORMULATION"	1
"PAINT LAYERS"	2
"PAINT MANUFACTURE"	1
"PAINT POT"	1
"PAINT SMEAR"	1
"PAINT SURVEY"	1
"PAINT TRACES"	2
"PAINT TRANSFER"	1
"PAINTED CELL"	1
"PAINTED LAYERS"	1
"PAINTED LEATHERWORK"	1
"PAINTED PLASTER"	1
"PAINTED/POLYCHROME WORKS OF ART"	1
"PAINTING"	4
"PAINTING ANALYSIS"	1
"PAINTING CLEANING"	1
"PAINTING HERITAGE CONSERVATION"	1
"PAINTING MATERIALS"	2
"PAINTING MATERIALS AND METHODS"	1
"PAINTING SAMPLE"	1
"PAINTING SAMPLES"	1
"PAINTINGS"	13
"PAINTINING LAYERS"	1
"PAIRWISE COMPARISONS"	1
"PAKISTAN"	1
"PALMITATE/STEARATE RATIOS"	1
"PANCREATIN"	1
"PARALOID B72"	1
"PARTIAL LEAST SQUARES"	1
"PARTICLE-INDUCED X-RAY EMISSION"	1
"PARTICLE AGGLOMERATION"	1
"PARTICLE ANALYSIS"	2
"PARTICLES"	2
"PATTERN RECOGNITION"	5
"PATTERN RECOGNITION ANALYSIS"	1
"PB CONTENT"	1
"PB15"	1
"PDQ DATABASE"	1
"PEACH GUM"	1
"PEARL INTERFERENCE PIGMENTS"	1
"PEARLESCENT COATINGS"	1
"PEDESTRIAN"	1
"PEG"	1
"PELLET SHAPE"	1
"PENCIL HARDNESS TEST"	1
"PENETRATION"	1
"PERFORATION"	1
"PERUGINO"	1
"PGNAA"	1
"PHASE CONTRAST MICROSCOPY"	1
"PHILATELIC"	1
"PHOSPHATE"	1
"PHOSPHATE GLASS"	1
"PHOSPHATE RESIN ACID COLD CURED AMINO VARNISH"	1
"PHOSPHAZANE"	1
"PHOTO-OXIDATION"	2
"PHOTOACOUSTIC INFRARED"	1
"PHOTOBLEACHING"	2
"PHOTOBLEACHING PRE-TREATMENT"	1
"PHOTOCOPIER TONER"	1
"PHOTOPERMANENCE"	1
"PHTHALIC ACID LOSS"	1
"PHYSICAL DEGRADATION"	1
"PHYSICAL EVIDENCE"	1
"PHYSICAL MATCH"	1
"PHYSICO-CHEMICAL"	1
"PHYSICO-CHEMICAL ANALYSIS"	1
"PHYSICO-CHEMICAL DATA"	1
"PHYSICO-CHEMICAL MULTIVARIATE DATA"	2
"PHYSICOCHEMICAL DATA"	2
"PHYSIOLOGICAL CONCENTRATIONS"	1
"PICASSO"	1
"PICTORIAL MATERIALS"	1
"PIGE"	4
"PIGMENT"	67
"PIGMENT ANALYSIS"	8
"PIGMENT DISPERSIONS"	1
"PIGMENT IDENTIFICATION"	10
"PIGMENT INTERACTION"	1
"PIGMENTS AND BINDERS"	1
"PIGMENTS AND PAINTINGS"	1
"PIGMENTS PARTICLES"	1
"PINE WOOD"	1
"PISTACIA"	1
"PITC-AMINO ACIDS DERIVATIZATION"	1
"PITCH"	1
"PIXE"	10
"PLANT GUM"	1
"PLANT GUMS"	2
"PLASMA PARAMETERS"	1
"PLASTER"	1
"PLASTERS"	1
"PLASTICISERS"	1
"PLASTICIZER"	1
"PLATINUM ANODE"	1
"PLATINUM CATHODE"	1
"PLS-DA"	1
"POLARIZING MICROSCOPE"	1
"POLISHING"	2
"POLY(ETHYLENE GLYCOL)"	2
"POLY(ETHYLENE TERPHATHALATE)"	1
"POLY(VINYL ACETATE)"	1
"POLY(VINYL ACETATE) EMULSION"	1
"POLYCHROMY"	1
"POLYDACTYLY"	1
"POLYESTER"	1
"POLYETHYLENE (PE) PELLETS"	1
"POLYMER"	4
"POLYMER BINDERS"	1
"POLYMER COATINGS"	1
"POLYMORPHISM"	1
"POLYSACCHARIDE"	1
"POLYSILOXAN ADDITIVES"	1
"POLYSILOXANE"	1
"POLYSILOXANE ADDITIVES"	1
"POLYURETHANE"	3
"POLYURETHANE COATING"	1
"POLYURETHANE PAINT"	1
"POLYURETHANE/ACRYLIC COATINGS"	1
"POLYURETHANES"	1
"POLYVINYL ACETATE"	1
"POMPEII"	1
"POPULATION STUDIES"	1
"POPULATION STUDY"	3
"POPULATION SURVEY"	1
"POPULATIONSTUDY"	1
"POROUS SILICA PARTICLES"	1
"PORTABLE EQUIPMENT"	1
"PORTABLE EQUIPMENTS"	1
"PORTABLE RAMAN ANALYSIS"	1
"PORTABLE X-RAY FLUORESCENCE SPECTROMETER"	1
"PORTABLE XRD"	1
"PORTABLE XRF"	3
"POST-BYZANTINE ART"	1
"POST-BYZANTINE ICON PAINTINGS"	1
"POSTERIOR"	1
"POTASH-LIME-SILICA (PLS) GLASS"	1
"POTTERY"	1
"POTTERY FIGURINES"	1
"POUSÃO"	1
"PRE-COMPOSITE POLYMER"	1
"PRECISION"	1
"PREHISTORIC PAINTINGS"	2
"PREHISTORIC ROCK ART"	1
"PRESERVATION"	2
"PRETREATMENT"	1
"PRIMER"	1
"PRIMER SURFACER"	1
"PRIMERS"	1
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	15
"PRIOR"	1
"PROBABILISTIC"	1
"PROBABILITY"	1
"PROBATIVE VALUE"	1
"PRODUCTION TECHNOLOGY"	1
"PROFICIENCY TEST"	1
"PROJECTILES"	1
"PROMPT GAMMA ANALYSIS"	1
"PROPELLANT"	1
"PROPERTIES"	1
"PROTECTIVE COATINGS"	3
"PROTECTIVE PROPERTIES"	1
"PROTEIN BINDERS"	1
"PROTEINACEOUS BINDERS"	3
"PROTEINS"	4
"PROTEOMICS"	1
"PROTON-INDUCED X-RAY EMISSION (PIXE)"	1
"PROTON INDUCED ?-RAY EMISSION (PIGE)"	1
"PROTON INDUCED X-RAY EMISSION (PIXE)"	2
"PROVENANCE ESTABLISHMENT"	1
"PROVENANCING PAINTINGS"	1
"PSEUDOSTIPPLING"	1
"PULPIT"	1
"PULSED RAMAN SPECTROSCOPY"	2
"PVAC"	1
"PVC"	2
"PY-GC/MS"	4
"PYROLYSIS"	9
"PYROLYSIS-GAS CHROMATOGRAPHY"	1
"PYROLYSIS CHROMATOGRAPHY"	1
"QUALITY ASSURANCE"	1
"QUALITY CONTROL"	2
"QUANTIFICATION"	1
"QUANTITATIVE ANALYSIS"	7
"QUANTITATIVE AND QUALITATIVE TECHNIQUES EXPLAINING GLASS FAILURE"	1
"QUASI-STATIC AND DYNAMIC FRACTURE MECHANICS"	1
"QUATERNARY AMMONIUM REAGENTS"	1
"QUATERNARY N-METHYLAMMONIUM SALTS"	1
"QUINACRIDONES"	1
"RABBIT GLUE"	1
"RADIATIVE TRANSFER"	1
"RADIOFREQUENCY GLOW DISCHARGE"	1
"RAMAN"	54
"RAMAN-SEM/EDX"	1
"RAMAN DATABASE"	1
"RAMAN MICROSPEC-TROSCOPY"	1
"RAMAN SCATTERING"	1
"RAMAN SPECTROMETRY"	2
"RAMAN SPECTROSCOPIC ANALYSIS"	1
"RAMAN SPECTROSCOPY"	44
"RANDOM EFFECTS"	1
"RANDOM FOREST"	1
"RANDOM MATCH PROBABILITY"	1
"RAPHAEL"	1
"RARE EARTH ELEMENTS"	1
"RARE EARTH OXIDES"	1
"RBS"	2
"RE-ANNEALING"	1
"RE-ANNEALING REFRACTIVE INDEX"	1
"REACTIVE DILUENT"	1
"RECOVERY"	1
"RED DYE"	1
"RED LAKE PIGMENTS"	1
"RED LAKES"	1
"RED OCHRE"	1
"REFLECTANCE"	1
"REFLECTANCE COLORIMETRY"	1
"REFLECTANCE FOURIER TRANSFORM INFRARED SPECTROSCOPY"	1
"REFLECTANCE FTIR"	2
"REFLECTANCE SPECTROSCOPY"	1
"REFLECTION IR SPECTROSCOPY"	1
"REFLECTION SPECTROSCOPY"	1
"REFLECTION TECHNIQUE"	1
"REFRACTIVE INDEX"	16
"REGULARIZE"	1
"RELATED PERSONNEL"	1
"RELEASE"	1
"RELIABILITY OF RAMAN IDENTIFICATION"	1
"REMBRANDT"	1
"RENAISSANCE"	3
"RENAISSANCE ART"	2
"REPAINTED AUTOMOTIVE PAINT ANALYSIS"	1
"REPLICA PAINTS"	1
"REPRESENTATIVENESS"	1
"RESIDUE ANALYSIS"	1
"RESIN"	1
"RESIN ACIDS"	1
"RESINS"	4
"RHEOLOGY"	1
"RHUS SUCCEDANEA"	1
"RHUS VERNICIFERA"	1
"RICE HUSK ASH"	1
"RIPI-W.B.H. HARDENER"	1
"ROCK"	1
"ROCK ART"	1
"ROCKWELL"	1
"ROMAN"	2
"ROMAN FRESCOES"	1
"ROMAN VILLA"	1
"ROMANO-BRITISH VILLA"	1
"ROUTINE DIAGNOSIS"	1
"RUTHERFORD BACKSCATTERING SPECOMETRY"	1
"RUTHERFORD BACKSCATTERING SPECTROMETRY (RBS)"	1
"RUTILE TITANIUM DIOXIDE PIGMENTS"	1
"SACCHARIDES"	1
"SAILR"	1
"SAM FRANCIS"	1
"SAMPLE PREPARATION"	3
"SAMPLES"	1
"SAMPLING"	1
"SAMPLING STRATEGY"	1
"SAN/BUSHMAN ROCK ART"	1
"SANDARAC"	1
"SCALING ALGORITHM"	1
"SCANNING ELECTRON MICROSCOPE ENERGY DISPERSIVE SPECTROMETER"	1
"SCANNING ELECTRON MICROSCOPY-ENERGY DISPERSIVE X-RAY SPECTROMETRY (SEM-EDX)"	1
"SCANNING ELECTRON MICROSCOPY–ENERGY DISPERSIVE X-RAY SPECTROMETER"	1
"SCANNING ELECTRON MICROSCOPY (SEM)"	14
"SCANNING ELECTRON MICROSCOPY ENERGY DISPERSIVE X-RAY MICROANALYSIS"	1
"SCANNING ELECTRON MICROSCOPY/ENERGY DISPERSIVE SPECTROSCOPY"	2
"SCANNING ELECTRON MICROSCOPY/ENERGY DISPERSIVE X-RAY ANALYSIS (SEM/EDX)"	2
"SCATTERED TUBE LINES"	1
"SCATTERING COEFFICIENT"	1
"SCATTERING MEDIUM"	1
"SCENE OF OCCURRENCE"	1
"SCIENCE"	1
"SCIENTIFIC ANALYSIS"	1
"SCIENTIFIC METHODS AND TOOLS"	1
"SCIENTIFIC TECHNIQUES IN CONSERVATION AND RESTORATION"	1
"SCORE LIKELIHOOD RATIO"	1
"SCRATCH"	2
"SCRATCH RESISTANCE"	1
"SCREENING"	1
"SEARCH PRE-FILTERS"	1
"SEARCH PREFILTERS"	7
"SEARCHING ALGORITHMS"	1
"SEARCHING AND RECOVERY PROCEDURE"	1
"SECM"	1
"SEGMENTATION"	1
"SELF-CLEANING COATING"	1
"SELF-HEALING"	1
"SELF-HEALING COATINGS"	2
"SELF-HEALING PROCESS"	1
"SEM-EDS"	5
"SEM-EDX"	8
"SEM-EDX ANALYSIS"	1
"SEM/EDX"	4
"SEPARATOR MEMBRANE"	1
"SERS"	3
"SERVICE LIFE"	1
"SERVICE LIFE PREDICTION"	1
"SFS"	1
"SHAMAN PAINTINGS"	1
"SHRINKAGE"	1
"SI NANOPARTICLES"	1
"SI/CA"	1
"SICCATIVE OILS"	1
"SILANE"	1
"SILANE MODIFIED BLOCKED ISOCYANATE"	1
"SILICA"	1
"SILICA GEL"	1
"SILICA NANOSPHERES"	1
"SILICA PARTICLE"	1
"SILICATE"	1
"SILICONE"	1
"SILICONE RESINS"	1
"SILICONES"	1
"SILOXANE"	2
"SILVER"	1
"SILVER NANOPARTICLES"	1
"SILVER/WHITE MICA"	1
"SILYLATION"	1
"SIMILARITY METRICS"	1
"SIMS"	1
"SIMULATED CONTACTS"	1
"SINGLE FIBRES"	1
"SIZE EXCLUSION CHROMATOGRAPHY-FOURIER TRANSFORM INFRARED SPECTROSCOPY"	1
"SMALT"	2
"SMEARED AUTOMOTIVE PAINT"	1
"SOIL"	1
"SOLID-STATE NUCLEAR MAGNETIC SPECTROSCOPY"	1
"SOLID PAINT"	1
"SOLUBILITY TEST"	1
"SOLVENT-BORNE PAINT"	1
"SOURCE DETERMINATION"	1
"SOUTH ASIAN ARTWORK"	1
"SPANISH FORGER"	1
"SPANISH MEDIEVAL CRUCIFIX"	1
"SPECIMEN ANALYSIS"	1
"SPECTRA"	1
"SPECTRA VARIABILITY ASSESSMENT"	1
"SPECTRAGRAM"	1
"SPECTRAL IDENTIFICATION"	1
"SPECTRAL INFORMATION"	1
"SPECTRAL LIBRARY"	1
"SPECTRAL LINEAR KERNEL"	1
"SPECTRAL PATTERN RECOGNITION"	1
"SPECTRAL PROCESSING"	1
"SPECTROCHEMICAL IMAGING"	1
"SPECTROCHEMICAL MICROANALYSIS"	1
"SPECTROMETRY"	2
"SPECTROSCOPIC IMAGING"	1
"SPECTROSCOPIC LIBRARY"	2
"SPECTROSCOPIC OPTICAL COHERENT TOMOGRAPHY"	1
"SPECTROSCOPY"	4
"SPM"	1
"SPOT PUTTY ANALYSIS"	1
"SPRAY"	3
"SPRAY PAINT"	6
"SPRAY PAINT CHEMICAL ANALYSIS DATABASE"	1
"SPRAY PAINTS"	3
"SPRAYING"	1
"SPRAYING OF PAINT"	1
"SPRING-8 BL37XU"	1
"SR-XRF"	1
"SRI LANKA"	1
"STABILIZERS"	1
"STABLE ISOTOPE"	1
"STACKED PLS DISCRIMINANT MODELS"	1
"STAINED-GLASS WINDOW"	1
"STAINED GLASS"	1
"STAINING TESTS"	1
"STANDARD"	1
"STARCH"	1
"STATEMENT"	1
"STATEMENT WRITING"	1
"STATIC SIMS"	1
"STATISTICAL METHODOLOGY"	1
"STATISTICAL MODEL"	1
"STATISTICAL TESTS"	1
"STATISTICS"	8
"STEEL"	1
"STEP-SCAN PHOTOACOUSTIC FTIR"	1
"STEREOMICROSCOPY"	3
"STONE CHIPPING"	1
"STRADIVARI"	1
"STRATIFICATION"	1
"STRATIGRAPHIC ANALYSIS"	1
"STRENGTH OF EVIDENCE"	2
"STRUCTURAL CHEMICAL ANALYSER"	1
"STUCCO"	1
"STYRENE-ACRYLIC COPOLYMER"	1
"SUB-SURFACE CHARACTERISTICS"	1
"SUB-VISIBLE PARTICLES"	1
