"Keyword"	"Forensic Geoscience"
"SOIL COMPARISON"	1
"SOIL CONTAMINATION"	1
"SOIL DATABASE"	1
"SOIL DENSITY"	1
"SOIL DNA"	1
"SOIL DRYING"	1
"SOIL ENVIRONMENT"	1
"SOIL ENZYMES"	1
"SOIL EVIDENCE"	4
"SOIL EXAMINATION"	2
"SOIL FORENSICS"	4
"SOIL FUNGI"	2
"SOIL GROUP"	1
"SOIL IRON OXIDES"	1
"SOIL MAP UNIT"	1
"SOIL METAGENOME"	1
"SOIL METAGENOMICS"	1
"SOIL MICROBIAL ECOLOGY"	1
"SOIL MICROBIAL PROFILES"	1
"SOIL MICROBIOLOGY"	2
"SOIL PH"	1
"SOIL POLLUTANTS"	1
"SOIL PROBING"	1
"SOIL PROFILING"	1
"SOIL PROTOZOA"	1
"SOILS AND SEDIMENT"	1
"SOILS VARYING SPATIALLY AT METRE-SCALE, PERTINENT IN FORENSIC CASEWORK"	1
"SOLID-PHASE MICROEXTRACTION (SPME)"	1
"SOOT"	1
"SOURCE"	1
"SOURCE-TO-DUST TRANSFER"	1
"SPANISH FLU"	1
"SPATIAL AND TEMPORAL TRENDS"	1
"SPATIAL DISTRIBUTION"	2
"SPATIAL INTERPOLATION"	1
"SPATIAL VARIATION"	1
"SPECIAL-PURPOSE TECHNICAL SOIL CLASSIFICATION SYSTEMS"	1
"SPECIALIZATION"	1
"SPECIATION"	1
"SPECIFICITY"	1
"SPECTRAL SEARCHING ALGORITHM"	1
"SPECTROMETRY"	1
"SPINDLE STAGE"	1
"SPITSBERGEN"	1
"SPORES"	3
"SSU RRNA GENE V9 REGION"	1
"STABLE ISOTOPE"	3
"STANDARD OPERATIONAL PROCEDURE (SOP)"	1
"STAPHYLINIDAE"	1
"STATE"	1
"STATISTICAL DESIGNS"	1
"STEREO BINOCULAR MICROSCOPE"	1
"STOMACH CONTENTS"	1
"STORMWATER"	1
"STR DNA TYPING"	1
"STRATIGRAPHY"	1
"STRONTIUM-86"	1
"STRONTIUM-87"	1
"STRUVITE"	1
"SUBGENOTYPING"	1
"SUBMERGED BODIES"	1
"SUBMERGED OBJECT SEARCHES"	1
"SUBMERGED SEARCH METHODS"	1
"SUCCESSION"	1
"SULPHUR REDUCTION"	1
"SUNKEN OBJECTS"	1
"SUPERIOR DEL MAGDALENA ESTRATIGRAFIA GABROS LIMOLITAS TECTONICA"	1
"SVALBARD"	1
"SWALE"	1
"SWINE CARCASS"	1
"SYDNEY TAR PONDS"	1
"SYNCHROTRON RADIATION"	2
"SYNCHROTRON RADIATION POWDER X-RAY DIFFRACTION ANALYSIS"	1
"SYNTHETIC QUARTZ CRYSTAL"	1
"SYSTEMATIC PLANNING"	1
"TALAROMYCES UDAGAWAE"	1
"TAPE"	1
"TAPHONOMY"	10
"TAR"	1
"TBS SYSTEM"	1
"TD/GC/TOF-MS"	1
"TEMPERATURE"	2
"TERMINAL RESTRICTION FRAGMENT LENGTH POLYMORPHISM"	3
"TERRAMECHANICS"	1
"TESTATE AMOEBAE"	2
"TEXAS"	1
"TEXTILE"	1
"TEXTILE DEGRADATION"	1
"TG"	1
"THANATOCHEMISTRY"	1
"THEFTS OF CARGOES"	1
"THERMAL DESORPTION"	2
"THERMAL IMAGES"	1
"THERMAL IMAGING"	1
"THERMAL MATURITY"	1
"THERMOGRAPHY"	1
"THIN SECTION LIGHT MICROSCOPY"	1
"THIVA"	1
"TIME-OF-FLIGHT MASS SPECTROMETRY"	1
"TIME SINCE DEATH"	2
"TMAH"	1
"TOLUENE"	1
"TOTAL BODY SCORE"	2
"TOTAL ELEMENT ANALYSIS"	1
"TOTAL MERCURY"	1
"TOXICITY MECHANISM"	1
"TRABAJOS DE GRADO"	1
"TRACE"	1
"TRACE ELEMENT"	3
"TRACE ELEMENT COMPOSITION"	1
"TRACE EVIDENCE"	7
"TRACE EVIDENCE PROTOCOLS"	1
"TRACE HEAVY ELEMENTS"	1
"TRACKING"	1
"TRAFFIC-RELATED ELEMENTS"	1
"TRAFFIC VOLUME"	1
"TRANSFER"	2
"TRANSFER COEFFICIENT"	1
"TRANSFERENCE"	1
"TRENCHES"	1
"TRICLOSAN"	1
"TURBINATES"	1
"TWINE AND ROPE"	1
"TWO-DIMENSIONAL GAS CHROMATOGRAPHY"	1
"TYRE MARKS"	1
"ULTRAMAFIC/OPHIOLITIC ROCK"	1
"UNDERGROUND STORAGE TANK (UST)"	1
"UNITED KINGDOM"	1
"UNITED STATES"	1
"UNMARKED BURIALS"	1
"URANIUM"	1
"URBAN"	1
"URBAN ENVIRONMENT"	1
"URBAN PAH MAP"	1
"URBAN POLLUTION"	2
"URBAN SOIL"	1
"URBAN SOILS"	2
"URINE"	1
"UV-VIS SPECTROPHOTOMETRY"	1
"VALIDATION"	1
"VALLE"	1
"VEGETATED FILTER STRIP"	1
"VEHICLE FIRE TEMPERATURES"	1
"VEHICLE HISTORY"	1
"VEHICLES"	1
"VERTICAL LOAD"	1
"VICTIM RECOVERY DOGS"	1
"VIOLENCE"	1
"VISIBLE IMAGES"	1
"VIVIANITE"	1
"VOCS"	1
"VOLATILE ORGANIC COMPOUNDS"	4
"WAR CRIMES"	1
"WATER"	1
"WATER PENETRATING RADAR"	1
"WATER SEARCH METHODS"	1
"WAXMARKERS"	1
"WEATHERING"	1
"WEIGHT"	1
"WILDLIFE FORENSICS"	1
"WILDLIFE MANAGEMENT"	1
"X-RAY DIFFRACTION (XRD)"	7
"X-RAY FLUORESCENCE (XRF)"	1
"X-RAY POWDER DIFFRACTION"	2
"XYLENES (BTEX)"	1
"YANGZHOU"	1
"YERSINIA PESTIS"	1
