"Keyword"	"Explosives"
"BURN RATE"	3
"BURN TIME"	1
"BURN TUBE"	1
"BURNING CHARACTERISTICS"	3
"BURNING PROPERTIES"	2
"BURNING RATE"	8
"BURNING SMELL"	1
"BURNUP"	1
"BUTYL CHLOROFORMATE"	1
"BY-PRODUCTS ANALYSIS"	1
"C-4"	3
"C. RAMAN SPECTROSCOPY"	1
"C4"	1
"C60-PGN MALEIC ACID COPOLYMER LEAD SALTS"	1
"C80 CALORIMETRY"	1
"CA(H2O)6·(HZTO·2H2O)2"	1
"CA(H2O)6Á(HZTOÁ2H2O)2"	1
"CABBAGE"	1
"CABBAGE LEAF EXTRACT"	1
"CADMIUM"	1
"CADMIUM(II)"	1
"CAGE COMPOUND"	1
"CAGE STRAIN ENERGY"	1
"CALCIUM AMMONIUM NITRATE FERTILIZERS"	1
"CALCIUM CARBONATE"	1
"CALCIUM CARBONATE (CACO3)"	1
"CALCIUM IMAGING"	1
"CALCIUM IODATE"	1
"CALCIUM SULFATE"	1
"CALIX[4]PYRROLE"	2
"CALIX[4]PYRROLES"	1
"CALIXARENE"	1
"CALIXARENES"	3
"CALORIMETRY"	2
"CAN-BD"	1
"CANCER"	1
"CANINE"	5
"CANINE DETECTION"	5
"CANINE DISCRIMINATION"	1
"CANINE OLFACTION"	2
"CANINE TEAMS"	1
"CANINE TRAINING AID"	2
"CANTILEVER"	1
"CANTILEVER SENSOR"	1
"CANTILEVERS"	1
"CAPACITANCE MEASUREMENTS"	2
"CAPACITIVE-TRANSIMPEDANCE AMPLIFIER"	1
"CAPACITIVE MICROSENSORS"	1
"CAPILLARY-ELECTROPHORESIS"	1
"CAPILLARY ELECTROPHORESIS"	14
"CAPILLARY ELECTROPHORESIS, PORTABLE"	1
"CAPILLARY MICROEXTRACTION OF VOLATILES (CMV)"	3
"CAPILLARY ZONE ELECTROPHORESIS"	1
"CAPILLARY ZONE ELECTROPHORESIS (CZE)"	1
"CAPTURE ?-RAY"	1
"CAPTURE PROMPT GAMMA"	1
"CAR-PARRINELLO MOLECULAR DYNAMICS (CPMD)"	1
"CARBAZOLE"	3
"CARBAZOLES"	1
"CARBIDES"	1
"CARBOHYDRATES"	1
"CARBON"	3
"CARBON-COATED COPPER"	1
"CARBON BLACKS"	1
"CARBON COATED NICKEL"	1
"CARBON DOTS"	1
"CARBON ISOTOPE FRACTIONATION"	1
"CARBON ISOTOPE RATIO"	1
"CARBON ISOTOPES"	2
"CARBON NANODOTS (CNDS)"	1
"CARBON NANOTUBE"	3
"CARBON NANOTUBE-BASED SENSOR"	1
"CARBON NANOTUBE-GRAPHENE NETWORK"	1
"CARBON NANOTUBE (CNT)"	1
"CARBON NANOTUBES"	9
"CARBON PASTE"	1
"CARBON PERNITRIDE"	1
"CARBON QUANTUM DOTS"	2
"CARBON SUBMICROSPHERES"	1
"CARBON/SILICA GEL COMPOSITES"	1
"CARBONACEOUS MATERIALS"	1
"CARBONACEOUS NANOMATERIAL"	1
"CARBOPACK B"	1
"CARBOWAX"	2
"CARCINOGENESIS"	1
"CARGO"	1
"CARGO CONTAINER"	1
"CARGO SCREENING"	2
"CARRIER GAS"	1
"CARRY-ON BAGGAGE"	1
"CARS"	2
"CAS NO. 932-64-9"	1
"CASE HISTORIES"	1
"CASED"	1
"CASING THICKNESS"	1
"CASUALTIES"	1
"CATABOLIC GENES"	1
"CATABOLIC POTENTIAL"	1
"CATALYST"	2
"CATALYTIC ACTIVITY"	1
"CATALYTIC COMBUSTION"	1
"CATALYTIC DECOMPOSITION"	1
"CATALYTIC EFFECT"	2
"CATALYTIC EFFICIENCY"	1
"CATALYTIC THERMAL DECOMPOSITION"	1
"CATALYZED DECOMPOSITION"	1
"CATION EXCHANGERS AS ELECTROLYTIC MEDIA"	1
"CATIONIC PILLAR[6]ARENE"	1
"CATIONIC SURFACTANT"	1
"CATIONS"	3
"CAVITY ENHNACED SECTROSCY."	1
"CAVITY RING-DOWN SPECTROSCOPY (CRDS)"	1
"CAVITY RING DOWN LASER SPECTROSCOPY"	1
"CAVITY RINGDOWN SPECTROSCOPY"	1
"CBRNE DETECTION"	2
"CBS-4M"	1
"CCD"	1
"CD-BASED MOF"	1
"CDSE QUANTUM DOTS"	2
"CDTE QUANTUM DOTS"	1
"CE-MS"	2
"CEAS"	2
"CEAS SENSORS"	1
"CELLULAR STRUCTURE"	1
"CELLULOSE"	1
"CELLULOSE ACETATE"	1
"CELLULOSE NANOFIBRIL"	1
"CENTRAL AUDITORY PROCESSING"	1
"CENTRAL COMPOSITE DESIGN"	1
"CEO2 NANOPARTICLES"	1
"CFD SIMULATION"	1
"CFRP STRENGTHENING"	1
"CHARACTERISTIC CURVE"	1
"CHARACTERIZATION"	4
"CHARACTERIZATION OF EXPLOSIVES"	1
"CHARACTERIZATION TOOLS"	1
"CHARGE-TRANSFER"	2
"CHARGE DENSITIES"	1
"CHARGE TRANSFER"	4
"CHARGE TRANSFER (CT)"	1
"CHARGE TRANSPORT"	1
"CHEMICAL"	3
"CHEMICAL-REACTION PROFILE"	1
"CHEMICAL AGENT"	1
"CHEMICAL AGENTS"	1
"CHEMICAL ANALYSIS"	3
"CHEMICAL AND BIOLOGICAL THREAT AGENTS"	1
"CHEMICAL AND EXPLOSIVE DETECTION"	1
"CHEMICAL ASSEMBLY"	1
"CHEMICAL ATTRIBUTE SIGNATURES"	1
"CHEMICAL ATTRIBUTION SIGNATURES"	1
"CHEMICAL COMPOSITION"	1
"CHEMICAL DETECTION"	5
"CHEMICAL EXPLOSIONS"	1
"CHEMICAL EXPLOSIVE MODE ANALYSIS"	1
"CHEMICAL FORENSICS"	1
"CHEMICAL HAZARDS"	1
"CHEMICAL IMAGING"	2
"CHEMICAL IMMOBILIZATION"	1
"CHEMICAL IONIZATION"	2
"CHEMICAL KINETICS"	1
"CHEMICAL MECHANICAL POLISHING"	2
"CHEMICAL MICROSENSORS"	1
"CHEMICAL MODIFICATION"	2
"CHEMICAL PARTICULATES"	1
"CHEMICAL PRECONCENTRATOR"	1
"CHEMICAL PROFILING"	2
"CHEMICAL RESIDUES"	1
"CHEMICAL SAFETY"	1
"CHEMICAL SENSING"	6
"CHEMICAL SENSORS"	9
"CHEMICAL STABILITY"	2
"CHEMICAL TESTS"	1
"CHEMICAL WARFARE"	1
"CHEMICAL WARFARE AGENT DETECTION"	1
"CHEMICAL WARFARE AGENTS"	7
"CHEMICAL WARFARE AGENTS (CWAS)"	2
"CHEMICAL WARFARE SIMULANTS"	1
"CHEMICALS"	1
"CHEMICAPACITOR"	1
"CHEMILUMINESCENCE"	11
"CHEMILUMINESCENCE DETECTION"	1
"CHEMIRESISTIVE"	1
"CHEMIRESISTIVE SENSING"	1
"CHEMIRESISTOR"	1
"CHEMIRESISTOR GAS SENSOR"	1
"CHEMIRESISTOR SENSOR"	1
"CHEMIRESISTORS"	2
"CHEMISORPTION"	1
"CHEMISTRY"	5
"CHEMO-SELECTIVE COMPOUNDS"	1
"CHEMOMETRICS"	10
"CHEMOMETRICS / STATISTICS"	1
"CHEMORESISTORS"	1
"CHEMORHEOLOGY"	1
"CHEMOSEN"	1
"CHEMOSENSING"	1
"CHEMOSENSOR"	5
"CHEMOSENSOR MATERIAL"	1
"CHEMOSENSORS"	4
"CHEMOSTAT"	1
"CHEONAN SINKING"	1
"CHIP-SCALE CALORIMETERS"	1
"CHITIN"	1
"CHITOSAN"	1
"CHLORATES"	2
"CHLORIDES"	1
"CHLORINATED HYDROCARBONS"	1
"CHLOROPHYLL FLUORESCENCE"	1
"CHLORPYRIFOS"	1
"CHNO EXPLOSIVE"	1
"CHNOAL EXPLOSIVE"	1
"CHNOFCLAL EXPLOSIVE"	1
"CHROMATOGRAPHY"	6
"CHROMITE"	1
"CHROMOSORB"	1
"CHRONIC EXPOSURE"	1
"CHRONOAMPEROMETY"	1
"CHT"	1
"CIRCULAR ARC"	1
"CIRCULAR DICHROISM"	1
"CIS-1,3,4,6-TETRANITROOCTAHYDROIMIDAZO-[4,5-D]IMIDAZOLE"	1
"CITIZEN PROTECTION"	1
"CIVILIAN"	1
"CJ PRESSURE"	1
"CL-20"	14
"CL-20 BASED EXPLOSIVE INK"	1
"CL-20/HMX CO-CRYSTAL"	1
"CL-20/NTO COCRYSTAL EXPLOSIVE"	1
"CL20"	3
"CLANDESTINE LABORATORY"	1
"CLASS-D POWER AMPLIFIER"	1
"CLASSIFICATION"	6
"CLASSIFICATION MODEL"	1
"CLASSIFICATION OF LIQUIDS"	1
"CLASSIFIED ORGANISATIONS"	1
"CLAUSIUS-CLAPEYRON"	1
"CLAUSIUS-CLAPEYRON EQUATION"	1
"CLEAN-UP PROTOCOL"	1
"CLEANUP"	2
"CLICK CHEMISTRY"	2
"CLINICAL ANALYSIS"	1
"CLOSED-HEAD INJURY"	1
"CLOSED-LOOP OPTIMIZATION"	2
"CLOSED CONDITIONS"	1
"CLOSED VESSEL TEST"	2
"CLOTHING"	1
"CLOTHING TEXTILES"	1
"CLOTRIMAZOLE"	1
"CLOUD POINT EXTRACTION"	1
"CLUSTER ANALYSIS"	1
"CLUSTERING"	1
"CLUSTERS"	1
"CMP"	2
"CN MOLECULAR EMISSION"	1
"CN4"	1
"CNBN"	1
"CNBNN+"	1
"CNTFET"	1
"CNTS"	1
"CO-CRYSTAL"	2
"CO-SPUTTERING"	1
"CO-SUBSTRATE"	1
"CO2 LASER"	1
"COAL"	1
"COASTAL SECURITY"	1
"COATING"	3
"COATING METHOD"	1
"COBALT"	1
"COBALT-DOPED (COD) ZNS QDS"	1
"COBALT ALGINATE/AMMONIUM PERCHLORATE COMPOSITE"	1
"COCAINE AND DERIVATIVES"	1
"COCRYSTAL"	6
"COCRYSTAL EXPLOSIVE"	1
"CODED APERTURE"	3
"COEFFICIENT OF FRICTION"	1
"COEFFICIENT OF THERMAL EXPANSION"	1
"COEFFICIENT OF VARIATION"	1
"COELOMOCYTES"	1
"COGNITION"	1
"COGNITIVE DYSFUNCTION"	1
"COGNITIVE FUNCTION"	1
"COHERENT CONTROL"	3
"COHERENT DETECTION"	1
"COHERENT RAMAN"	1
"COHESIVE FRAMEWORK"	1
"COLD MARINE SEDIMENT"	1
"COLD TRAP"	1
"COLLECTION"	1
"COLLECTOR"	1
"COLLODION"	1
"COLLOID"	1
"COLLOIDAL NANOPARTICLES"	1
"COLORIMETRIC"	1
"COLORIMETRIC ARRAYS"	1
"COLORIMETRIC CHEMOSENSORS"	1
"COLORIMETRIC DETECTION"	3
"COLORIMETRIC IMMUNOASSAY"	1
"COLORIMETRIC PAPER SENSOR"	1
"COLORIMETRIC SENSOR"	4
"COLORIMETRIC SENSOR ARRAY"	1
"COLORIMETRIC SENSORS"	1
"COLORIMETRIC TEST"	1
"COLORIMETRIC TESTING"	1
"COLORIMETRY"	4
"COLUMN"	1
"COLUMN STUDIES"	1
"COMBAT-RELATED INJURY"	1
"COMBAT SPINE INJURY"	1
"COMBAT TRAUMA"	1
"COMBINATION OF EQUIPMENT"	1
"COMBINATION REGION"	1
"COMBINED PARTICLE"	1
"COMBINED PROCESS"	1
"COMBUSTION"	8
"COMBUSTION AND IGNITION OF SOLID PROPELLANTS"	1
"COMBUSTION CATALYSTS"	1
"COMBUSTION HEAT"	1
"COMBUSTION MECHANISM"	2
"COMBUSTION MODELING"	1
"COMBUSTION PERFORMANCE"	2
"COMBUSTION PROPERTIES"	1
"COMET ASSAY"	2
"COMMAND DETONATION"	1
"COMMERCIAL EXPLOSIVES"	1
"COMMON CARP"	1
"COMMON EXPLOSIVES"	1
"COMMUNITY COMPOSITION"	1
"COMMUNITY DYNAMICS"	1
"COMPACT"	1
"COMPACT GAMMA-RAY SOURCE"	1
"COMPACT NEUTRON/PROTON SOURCE"	1
"COMPACTION"	2
"COMPATIBILITY"	7
"COMPENSATION EFFECT"	1
"COMPENSATION VOLTAGE"	1
"COMPETITIVE IMMUNOASSAY"	1
"COMPLEMENTARITY DETERMINING REGION"	1
"COMPLEX NATURAL RESONANCE"	1
"COMPLEX REFRACTIVE INDEX"	1
"COMPLEXES WITH TRANSFER OF A CHARGE"	1
"COMPONENT SEPARATION"	2
"COMPONENTS DETERMINATION"	1
"COMPOSITE CHARGE"	1
"COMPOSITE EXPLOSIVE"	1
"COMPOSITE EXPLOSIVES"	1
"COMPOSITE MATERIALS"	1
"COMPOSITE METHODS"	1
"COMPOSITE NANOMATERIALS"	1
"COMPOSITE POWDER"	1
"COMPOSITE PROPELLANT"	2
"COMPOSITE PROPELLANTS"	1
"COMPOSITE SOLID PROPELLANT"	4
"COMPOSITE SOLID PROPELLANTS"	1
"COMPOSITES"	5
"COMPOSITION B"	3
"COMPOSITION C-4"	2
"COMPOSITION C4"	1
"COMPOSITIONAL ANALYSIS"	2
"COMPOST"	1
"COMPOUND-SPECIFIC"	1
"COMPOUND-SPECIFIC ISOTOPE ANALYSIS"	1
"COMPOUND EXPLOSIVE"	1
"COMPOUNDS"	1
"COMPREHENSIVE MULTIDIMENSIONAL GC (GC <U+25CA> GCÑMS)"	1
"COMPRESS AND SHEAR LOAD"	1
"COMPRESSED BALLOON METHOD"	1
"COMPRESSIBLE FLOW"	1
"COMPRESSIBLE FLOWS"	1
"COMPRESSION-SHEAR"	1
"COMPRESSIVE BEHAVIOR"	1
"COMPRESSIVE EXPANSION BEHAVIOUR"	1
"COMPRESSIVE SENSING"	2
"COMPUTATIONAL ANALYSES"	1
"COMPUTATIONAL CHEMISTRY"	2
"COMPUTATIONAL FLUID DYNAMICS (CFD)"	2
"COMPUTATIONAL MODELING"	1
"COMPUTATIONAL SIMULATION"	1
"COMPUTED TOMOGRAPHY"	1
"COMPUTER-AIDED DESIGN"	1
"COMPUTER CODE"	2
"COMPUTER SIMULATION"	1
"COMSOL"	1
"CONCEALED BULK EXPLOSIVE"	1
"CONCEALED EXPLOSIVE"	1
"CONCEALED EXPLOSIVES"	1
"CONCEALED TARGET"	1
"CONCEALED WEAPONS"	1
"CONCENTRATOR OF EXPLOSIVE MATERIAL VAPOURS"	1
"CONCRETE"	1
"CONCRETE GRAVITY DAM"	1
"CONCURRENT DETERMINATION"	1
"CONCUSSION"	1
"CONDENSED-PHASE"	1
"CONDENSED-PHASE EXPLOSIVES"	1
"CONDENSED DETONATION"	1
"CONDENSED EXPLOSIVES"	1
"CONDENSED PHASE EXPLOSION"	1
"CONDITIONAL INDEPENDENCE"	1
"CONDITIONAL REDUCED MOBILITY"	1
"CONDITIONING"	1
"CONDUCTING POLYMER"	1
"CONDUCTING POLYMERS"	1
"CONDUCTIVE BURNING"	1
"CONDUCTIVE GRID"	1
"CONDUCTIVE POLYMER"	1
"CONDUCTOMETRIC"	1
"CONE-BEAM"	1
"CONFINED EXPLOSIONS"	1
"CONFINED FOAMING PROCESS"	1
"CONFINEMENT"	2
"CONFINEMENT-INDUCED ENHANCEMENT"	1
"CONFINER"	1
"CONFIRMATORY TESTS"	1
"CONFOCAL RAMAN MICROSCOPY"	2
"CONFOCAL SCANNING LASER MICROSCOPY"	1
"CONFORMERS"	1
"CONJUGATED NITRO-ALKENE"	1
"CONJUGATED POLYMER"	11
"CONJUGATED POLYMERS"	12
"CONJUGATION"	1
"CONSTANT RATE OF SUBLIMATION"	1
"CONSTRUCTED WETLAND"	2
"CONSTRUCTED WETLANDS"	2
"CONSUMER FIREWORK"	1
"CONTACT"	1
"CONTACT RESIDUES"	1
"CONTACT TRACES"	1
"CONTACTLESS CONDUCTIVITY DETECTION"	3
"CONTAMINANTS"	1
"CONTAMINATED SOIL"	1
"CONTAMINATION"	4
"CONTAMINATION PREVENTION"	1
"CONTENT VALIDITY"	1
"CONTINUOUS VELOCITY PROBE"	1
"CONTINUOUS WAVE MODE OPERATION"	1
"CONTINUOUS WAVE OPERATION"	1
"CONTRABAND"	3
"CONTRABAND CONTAINER INSPECTIONS"	1
"CONTRABAND DETECTION"	1
"CONTRACTING CUBE EQUATION"	1
"CONTROL WITH X-RAYS"	1
"CONTROLLED RELEASE"	1
"CONVECTIVE BURNING"	2
"CONVOLUTIONAL NEURAL NETWORK"	1
"COOK-OFF"	1
"COOKOFF"	1
"COOPERATIVE EFFECTS"	1
"COORDINATION CHEMISTRY"	1
"COORDINATION POLYMER"	6
"COORDINATION POLYMERS"	3
"COPOLYMERS"	1
"COPPER"	1
"COPPER (II) OXIDE"	1
"COPPER AZIDE"	1
"COPPER CHROMITE"	1
"COPPER COMPLEXES"	1
"COPPER COMPOUNDS"	1
"COPPER ELECTRODE"	1
"COPPER NANOCLUSTER"	1
"COPPER NANOCLUSTERS"	1
"COPPER OXIDE"	1
"CORE-SHELL STRUCTURE"	2
"CORE-SHELL STRUCTURES"	1
"CORELLATION INDEX"	1
"CORONA DISCHARGE"	3
"CORRELATION"	5
"CORRELATIONS AND PREDICTIONS"	1
"CORTISOL"	1
"COSMO-RS"	2
"COUNTER-IMPROVISED EXPLOSIVE DEVICES (IEDS)"	1
"COUNTER-TERRORISM"	3
"COUNTERFEIT DRUGS"	1
"COUNTERMEASURE"	1
"COUNTERPOISE (CP) CORRECTION"	1
"COUPLED CHROMATOGRAPHY"	1
"COUPLED MODEL"	1
"COVALENT-ORGANIC FRAMEWORKS"	1
"COVALENT-ORGANIC POLYMERS"	2
"COVALENT ORGANIC FRAMEWORKS"	1
"COWARDÍS DIAGRAM"	1
"CPBN"	1
"CPBNN+"	1
"CRAB SHELL"	1
"CRATER"	1
"CRDS"	1
"CREEP PROPERTIES"	1
"CREEP STRAIN"	1
"CRIME"	1
"CRIME-SCENE PRESENCE"	1
"CRIME SCENE INVESTIGATION"	2
"CRIMINAL MISUSE OF EXPLOSIVES"	1
"CRIMINALISTICS"	1
"CRITERION ANALYSIS"	1
"CRITICAL BODY BURDEN"	1
"CRITICAL BODY RESIDUE"	2
"CRITICAL DETONATION SIZE"	1
"CRITICAL DIAMETER"	1
"CRITICAL INFRASTRUCTURE ELEMENT"	1
"CRITICAL RADIUS"	1
"CRITICAL SIZE OF DETONATION"	1
"CRITICAL SWIMMING SPEED"	1
"CRITICAL TEMPERATURE"	3
"CRITICAL TEMPERATURE OF THERMAL EXPLOSION"	2
"CROP PLANTS"	1
"CROSS-CONTAMINATION"	1
"CROSS-LINKED ?-CYCLODEXTRIN"	1
"CROSS-REACTIVE ARRAY"	1
"CROSS-REACTIVE SENSORY ARRAY"	1
"CROSS-SECTION"	1
"CROSSVALIDATION METHODS"	1
"CROWDED METROPOLITAN ENVIRONMENT"	1
"CROWN ETHERS"	1
"CRREL METHOD"	1
"CRYO-CMV"	1
"CRYO-FOCUSING"	2
"CRYOGEL"	1
"CRYSTAL"	1
"CRYSTAL DEFECT"	1
"CRYSTAL DENSITY"	1
"CRYSTAL ENGINEERING"	1
"CRYSTAL GROWTH"	1
"CRYSTAL ORIENTATION"	1
"CRYSTAL PACKING"	1
"CRYSTAL PLASTICITY"	1
"CRYSTAL STRUCTURE"	18
"CRYSTALLINE NANOAGGREGATES"	1
"CRYSTALLIZATION"	2
"CSIA"	1
"CT COMPLEXES"	2
"CTIA"	1
"CU NANOPARTICLES"	1
"CU2+"	1
"CUPROUS OXIDE"	1
"CURCUMIN"	2
"CURVED DETONATION WAVE"	1
"CUTTP"	1
"CW AGENTS"	1
"CWA"	1
"CWA PRECURSORS"	1
"CYANOACRYLATE FUMING"	2
"CYANOGEN AZIDE"	1
"CYANURIC CHLORIDE"	1
"CYCLIC AMINES"	1
"CYCLIC NITRAMINE"	1
"CYCLIC NITRAMINE EXPLOSIVES"	1
"CYCLIC NITRAMINES"	1
"CYCLIC ORGANIC PEROXIDES"	1
"CYCLIC PEROXIDE"	1
"CYCLIC VOLTAMMETRY"	4
"CYCLIZATION"	1
"CYCLODEXTRINS"	1
"CYCLOHEXANONE"	1
"CYCLOTETRAMETHYLENE-TETRANITRAMINE (HMX)"	52
"CYCLOTRIMETHYLENE-TRINITRAMINE (RDX)"	124
"CYLINDER TEST"	4
"CYLINDRICAL CHARGES"	1
"CYLINDRICAL RING"	1
"CYLINDRICAL SHELL"	1
"CYP2B11"	1
"CYPRINODON VARIEGATUS"	3
"CYTOCHROME B5"	1
"CYTOCHROME P450"	3
"D-OPTIMAL DESIGN"	1
"D-T NEUTRON GENERATOR"	1
"D. MICROSTRUCTURE"	1
"D. PHOTOELECTRON SPECTROSCOPY (XPS)"	1
"DAAF"	2
"DAAN"	1
"DADP"	2
"DAM-1"	1
"DAMAGE"	2
"DAMAGE EFFECT"	1
"DAMAGE OBSERVABLES"	1
"DAMAGE PREDICTION"	1
"DANGEROUS GOODS"	1
"DANIO RERIO"	1
"DAPHNIA SIMILIS"	1
"DART"	1
"DART-MASS SPECTROMETRY"	1
"DART-TOFMS"	1
"DAT"	1
"DATA ANALYSIS"	1
"DATA FUSION"	2
"DAYTIME RAMAN"	1
"DAYTIME RAMAN SPECTROSCOPY"	1
"DBD"	1
"DD-110 NEUTRON GENERATOR"	1
"DDER"	1
"DEA"	1
"DEBRIS ANALYSIS"	1
"DECAY TIME"	1
"DECISION-LEVEL FUSION"	1
"DECISION SUPPORT METHODOLOGY"	1
"DECISION TREE"	1
"DECOMPOSITION"	9
"DECOMPOSITION KINETIC THERMAL STABILITY"	1
"DECOMPOSITION KINETICS"	3
"DECOMPOSITION MECHANISM"	2
"DECOMPOSITION MECHANISMS"	1
"DECOMPOSITION OF UREA NITRATE"	2
"DECOMPOSITION PATHWAY"	1
"DECOMPOSITION PATHWAYS"	1
"DECOMPOSITION PRODUCTS"	2
"DECOMPOSITION PROPERTIES"	1
"DECOMPOSITION REACTION"	1
"DECOUPLING"	1
"DEEP DESTRUCTION"	1
"DEEP LEARNING"	2
"DEEP RAMAN"	1
"DEEP RAMAN SPECTROSCOPY"	1
"DEEP ULTRA VIOLET"	2
"DEEP ULTRAVIOLET"	2
"DEEP ULTRAVIOLET LASERS"	1
"DEEP UV RAMAN"	1
"DEEP UV RAMAN AND NATIVE FLUORESCENCE"	1
"DEFECT"	1
"DEFECTIVE CRYSTALS"	1
"DEFENCE"	1
"DEFLAGRATING COMPOSITION"	1
"DEFLAGRATION"	3
"DEFLAGRATION-TO-DETONATION TRANSITION"	1
"DEFLAGRATION-TO-DETONATION TRANSITION (DDT)"	1
"DEFLAGRATION TEMPERATURE"	1
"DEFLAGRATION TO DETONATION TRANSITION"	2
"DEFORMATION AND FRACTURE"	1
"DEGENERATE FOUR WAVE MIXING"	1
"DEGRADATION"	12
"DEGRADATION EFFICIENCY"	1
"DEGRADATION MECHANISM"	1
"DEGRADATION PATHWAY"	1
"DEGRADATION PATHWAYS"	2
"DEGRADATION PRODUCTS"	2
"DEGRADATION REDUCTION"	1
"DEHYDRATION"	1
"DELAYED GAMMA RAYS"	1
"DEMILITARIZATION"	2
"DEMINING"	1
"DENDRIMER"	2
"DENDRIMERS"	3
"DENDRON"	1
"DENITRATION"	1
"DENITRIFICATION"	2
"DENSITIES"	1
"DENSITY"	10
"DENSITY FUNCTIONAL THEORETICAL APPROACH"	1
"DENSITY FUNCTIONAL THEORY (DFT)"	44
"DENSITY FUNCTIONAL THEORY METHOD"	1
"DENSITY FUNCTIONAL TIGHT BINDING"	1
"DENSITY OF STATES"	2
"DEPTH PROFILING"	1
"DEPTH RESOLUTION"	1
"DERIVATIVE SPECTROSCOPY"	1
"DERIVATIVES OF HNS"	1
"DERIVATIZATION"	3
"DESENSITIZATION"	3
"DESENSITIZATION OF EXPLOSIVES"	1
"DESENSITIZED ENERGETIC MATERIALS"	1
"DESI MS"	1
"DESIGN OF EXPERIMENTS"	1
"DESORPTION"	3
"DESORPTION ELECTROSPRAY IONISATION MASS SPECTROMETRY (DESI-MS)"	1
"DESORPTION ELECTROSPRAY IONIZATIONÒMASS SPECTROMETRY"	1
"DESORPTION IONIZATION"	1
"DESORPTION MECHANISMS"	1
"DESORPTION/IONIZATION"	1
"DESTEX"	1
"DESTINATION MANAGEMENT ORGANIZATIONS"	1
"DESTRUCTION"	1
"DESTRUCTIVE CRIME SCENES"	1
"DETAILED CHEMICAL KINETICS"	1
"DETASHEET"	1
"DETECTING AND IDENTIFYING"	1
"DETECTING EXPLOSIVE VAPORS"	1
"DETECTION"	58
"DETECTION ALGORITHM"	2
"DETECTION ALGORITHMS"	1
"DETECTION AND ESTIMATION"	1
"DETECTION AND IDENTIFICATION"	1
"DETECTION AND IDENTIFICATION OF SUBSTANCES"	3
"DETECTION AND IDENTIFICATION OF SUBSTANCES AT LONG DISTANCES"	1
"DETECTION CAPACITY"	1
"DETECTION DOG"	2
"DETECTION DOGS"	2
"DETECTION IN AQUEOUS MEDIA"	1
"DETECTION LIMITS"	3
"DETECTION OF CONTRABAND"	1
"DETECTION OF CONTRABAND AND DRUGS"	3
"DETECTION OF DETECTS"	1
"DETECTION OF EXPLOSIVE TRACES IN THE FORM OF PARTICLES"	1
"DETECTION OF EXPLOSIVE VAPOURS"	1
"DETECTION OF ILLICIT MATERIAL"	1
"DETECTION OF TAGGANTS IN EXPLOSIVES"	1
"DETECTION OF VAPOR TRACES"	1
"DETECTION PERFORMANCE"	2
"DETECTION TAGGANTS"	1
"DETECTION TECHNIQUES"	1
"DETECTION TECHNOLOGIES"	2
"DETECTOR"	2
"DETECTOR CANINE"	1
"DETECTOR DOGS"	2
"DETECTOR MODELLING AND SIMULATIONS I (INTERACTION OF RADIATION WITH MATTER, INTERACTION OF PHOTONS WITH MATTER, INTERACTION OF ADRONS WITH MATTER, ETC)"	1
"DETECTOR MODELLING AND SIMULATIONS I (INTERACTION OF RADIATION WITH MATTER, INTERACTION OF PHOTONS WITH MATTER, INTERACTION OF HADRONS WITH MATTER, ETC)"	2
"DETERMINATION"	1
"DETERMINATION WITH LC-ESI-MS/MS"	1
"DETERMINISTIC SIMULATION"	1
"DETONATION"	33
"DETONATION-CONFINER INTERACTION"	1
"DETONATION AND BALLISTIC PROPERTIES"	1
"DETONATION CHARACTERISTIC"	1
"DETONATION CHARACTERISTICS"	1
"DETONATION FAILURE"	2
"DETONATION HEAT"	1
"DETONATION LIMITS"	1
"DETONATION PARAMETER"	1
"DETONATION PARAMETERS"	3
"DETONATION PERFORMANCE"	12
"DETONATION PRESSURE"	6
"DETONATION PROPERTIES"	17
"DETONATION PROPERTY"	3
"DETONATION RESIDUES"	1
"DETONATION VELOCITY"	10
"DETONATION WAVE / CONFINEMENT INTERACTION"	1
"DETONATION WAVES"	1
"DEUTERIUM"	1
"DEUTERIUM-DEUTERIUM REACTION"	1
"DEUTERIUM TRITIUM REACTION"	1
"DEVELOPMENT"	1
"DEVICES"	1
"DEWATERABILITY"	1
"DFA"	1
"DFT CALCULATIONS"	4
"DFT METHOD"	1
"DFT METHODS"	1
"DFT TREATMENT"	1
"DFTB"	1
"DGGE"	2
"DI(N,N-DI(2,4,6-TRINITROPHENYL)AMINO)-ETHYLENEDIAMINE"	1
"DIACETONE DIPEROXIDE"	4
"DIACETONE DIPEROXIDE (DADP)"	1
"DIAMETER EFFECT"	1
"DIAMINO-DINITROPYRIMIDINES"	1
"DIAMINO AZOXYFURAZAN (DAAF)"	1
"DIAMINOTOLUENE"	1
"DIAMOND NANO-PARTICLES"	1
"DIATOM"	1
"DIATOM BIOSILICA"	1
"DIATOMITE"	1
"DIAZO COMPOUNDS"	1
"DIBENZOTHIOPHENE"	1
"DIBUTYLPHTHALATE"	1
"DICYCLOHEXYLAMINE"	1
"DIELECTRIC-BARRIER DISCHARGE"	1
"DIELECTRIC BARRIER DISCHARGE"	1
"DIELECTRIC BARRIER DISCHARGE IONIZATION (DBDI)"	1
"DIELECTRIC DETECTION"	1
"DIELECTRIC HEATING"	1
"DIELECTRIC MEASUREMENT"	3
"DIELECTRIC PERMITTIVITY"	1
"DIELECTRIC PROPERTIES"	1
"DIELECTRIC RESPONSE"	1
