"Keyword"	"Toxicology"
"CAMFETAMINE"	1
"CAMP ASSAY"	1
"CAMPING STOVE"	1
"CANADA"	1
"CANNABICYCLOHEXANOL"	1
"CANNABIDIOL (CBD)"	3
"CANNABIMIMETIC"	3
"CANNABIMIMETICS"	1
"CANNABINOID ANALOG"	1
"CANNABINOIDS AND DERIVATIVES"	77
"CANNABINOL"	2
"CANNABIS AND DERIVATIVES"	45
"CANNABIS CHRONIC USE"	1
"CANNABIS DOPING"	1
"CANNABIS INFLUENCE FACTOR"	1
"CANNABITRIOL"	1
"CAOWU"	1
"CAPILLARY BLOOD"	1
"CAPILLARY COLUMN"	2
"CAPILLARY ELECTROCHROMATOGRAPHY"	1
"CAPILLARY ELECTROPHORESIS"	14
"CAPILLARY ELECTROPHORESIS-MASS SPECTROMETRY"	1
"CAPILLARY ELECTROPHORESIS COUPLED TO TIME-OF-FLIGHT MASS SPECTROMETRY"	1
"CAPILLARY HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY"	2
"CAPILLARY SAMPLING"	1
"CAPILLARY ZONE ELECTROPHORESIS"	3
"CAPTOPRIL"	1
"CAR DRIVERS"	1
"CARBAZOLE DERIVATIVE"	1
"CARBOFURAN"	1
"CARBOHYDRATE-DEFICIENT TRANSFERRIN"	2
"CARBOHYDRATE-DEFICIENT TRANSFERRING (CDT)"	1
"CARBOHYDRATE DEFICIENT TRANSFERRIN"	1
"CARBOHYDRATE DEFICIENT TRANSFERRIN (CDT)"	1
"CARBON-13"	1
"CARBON MONOXIDE"	12
"CARBON MONOXIDE INTOXICATION"	3
"CARBON MONOXIDE POISONING"	5
"CARBON MONOXIDE POISONINGM"	1
"CARBONIZATION"	1
"CARBOXY-THC"	1
"CARBOXY THC"	1
"CARBOXYHEMOGLOBIN"	6
"CARBOXYHEMOGLOBIN RATIO"	1
"CARCINOGENICITY"	1
"CARDIAC ARREST"	1
"CARDIAC BIOMARKERS"	1
"CARDIAC BLOOD"	1
"CARDIAC TROPONIN I"	1
"CARDIAC TROPONIN I (CTNI)"	1
"CARDIAC TROPONINS"	1
"CARDIOTOXICITY"	1
"CARDIOVASCULAR"	2
"CARDIOVASCULAR DISEASE"	1
"CARDIOVASCULAR TOXICITY"	1
"CARFENTANIL"	7
"CARFENTANYL"	1
"CARS"	1
"CAS 314-19-2"	1
"CASE-CONTROL"	1
"CASE-CONTROL DESIGN"	1
"CASE-CONTROL STUDY"	3
"CASE CONTROL"	1
"CASE REPORT"	1
"CASE STUDY"	1
"CATHINE"	1
"CATHINONE"	10
"CATHINONE DERIVATIVE"	1
"CATHINONE DERIVATIVES"	3
"CATHINONE IN HAIR"	1
"CATION-EXCHANGE CARTRIDGES"	1
"CATION-SELECTIVE EXHAUSTIVE INJECTION"	1
"CAUSE OF DEATH"	7
"CBL-2201"	1
"CBRN"	1
"CDT"	2
"CE-ESI/MS"	1
"CE/MS/MS"	1
"CEC"	1
"CEES"	1
"CELL-DISINTEGRATED BLOOD"	1
"CELL AUTOLYSIS"	1
"CELL DEATH"	1
"CELL MEMBRANE FLUIDITY"	1
"CELL PHONES"	1
"CELL TOXICOLOGY"	1
"CENTRAL BLOOD"	3
"CENTRAL COMPOSITE DESIGN"	3
"CENTRAL NERVOUS SYSTEM STIMULANTS"	1
"CENTRE OF PORTUGAL"	1
"CEREBELLUM"	1
"CERTIFIED REFERENCE MATERIAL"	1
"CERTIFIED REFERENCE MATERIALS"	2
"CERUMEN"	2
"CETYL ALCOHOL"	1
"CHAN SU"	1
"CHANGES DURING THE POSTMORTEM INTERVAL"	1
"CHANSU"	2
"CHARCOAL"	1
"CHARCOAL BURNING"	2
"CHARCOAL GRILLS"	1
"CHEMICAL-IONIZATION GAS-CHROMATOGRAPHYMASS-SPECTROMETRY"	1
"CHEMICAL ANALYSIS"	1
"CHEMICAL BLEACHING"	1
"CHEMICAL CASUALTIES"	1
"CHEMICAL SUBMISSION"	3
"CHEMICAL TERRORISM"	1
"CHEMICAL WARFARE AGENT"	4
"CHEMICAL WARFARE AGENTS"	8
"CHEMICAL WEAPON"	1
"CHEMICAL WEAPONS"	1
"CHEMICALS WEAPONS CONVENTION"	1
"CHEMISTRY"	6
"CHEMSEX"	1
"CHILD"	4
"CHILD DEATH"	1
"CHILDREN'S HAIR"	2
"CHILDREN FATAL"	1
"CHILEAN FJORDS"	1
"CHINA"	1
"CHINESE MEDICINE"	3
"CHIRAL CHROMATOGRAPHY"	1
"CHIRAL MEASUREMENT"	1
"CHIRAL SEPARATION"	2
"CHLORAL HYDRATE"	1
"CHLORINATED WATER"	2
"CHLORMETHIAZOLE"	1
"CHLOROFORMATES"	1
"CHLORPHENIRAMINE"	1
"CHOLINE"	1
"CHOLINESTERASE INHIBITORS"	1
"CHORIONIC GONADOTROPIN"	1
"CHROMATOGRAPHY"	14
"CHROMATOMEMBRANE"	1
"CHRONIC ABUSE"	1
"CHRONIC ALCOHOL USE MARKERS"	1
"CHRONIC ALCOHOLISM"	1
"CHRONIC CANNABIS USE"	1
"CHRONIC DOSAGE"	1
"CHRONIC DRUG INTAKE"	1
"CHRONIC PAIN"	3
"CHRONIC USE"	3
"CHUANWU"	1
"CIGARETTE LIGHTER FUEL"	1
"CIMBI-5"	1
"CIMETIDINE"	1
"CINOBUFAGIN"	3
"CINOBUFOTALIN"	1
"CIRCULATING MICRORNAS"	1
"CITALOPRAM"	5
"CITRIC ACID"	1
"CITRULLINE"	1
"CIVIL SERVANT"	1
"CLANDESTINE SYNTHESIS"	1
"CLEANSING SHAMPOO"	1
"CLEANUP"	1
"CLEARANCE"	1
"CLENBUTEROL"	3
"CLEPHEDRONE"	1
"CLINICAL ANALYSIS"	2
"CLINICAL AND FORENSIC TOXICOLOGY"	1
"CLINICAL DIAGNOSIS"	1
"CLINICAL EFFECTS"	1
"CLINICAL SAMPLE"	1
"CLINICAL SAMPLES"	1
"CLINICAL TEST FOR IMPAIRMENT"	1
"CLINICAL TOXICOLOGY"	6
"CLINICAL TOXICOLOGY.3"	1
"CLINICAL TRIAL"	2
"CLINICAL VALIDATION"	1
"CLINICAL/BIOMEDICAL ANALYSIS"	2
"CLOBUTINOL"	1
"CLOMIPHENE"	1
"CLONAZEPAM"	6
"CLONAZOLAM"	1
"CLONED ENZYME DONOR IMMUNO ASSAY"	1
"CLOSTEBOL"	1
"CLOSTRIDIUM BOTULINUM"	1
"CLOZAPINE"	2
"CLUB DRUGS"	2
"CLUSTER ANALYSIS"	1
"CO-CONSUMPTION"	1
"CO-CULTURE"	2
"CO-INGESTION"	1
"COAGULATION"	1
"COATINGS"	2
"COBRA VENOM"	1
"COBRATOXIN"	1
"COCA ALKALOIDS"	1
"COCA CHEWER"	1
"COCA CHEWING"	1
"COCAETHYLENE"	6
"COCAINE-RELATED CASES"	1
"COCAINE ABUSE"	2
"COCAINE AND DERIVATIVES"	61
"COCAINE AND METABOLITES"	3
"COCAINE MARKERS"	1
"COCAINE METABOLITES"	2
"COCAINE USE MEASURES"	1
"COCAINE, CANNABIS"	1
"COCAINE/CRACK"	2
"CODEINE"	10
"CODEINE GLUCURONIDE"	1
"COGNITION"	2
"COGNITIVE"	1
"COGNITIVE DETERIORATION"	1
"COGNITIVE PERFORMANCE"	1
"COHB"	3
"COLLAGEN"	1
"COLLECTION DEVICES"	2
"COLLECTION PROTOCOLS"	1
"COLLISION-INDUCED DISSOCIATION"	4
"COLLISION-INDUCED DISSOCIATIONS"	1
"COLORIMETRIC"	1
"COLORIMETRIC TEST"	1
"COLORING"	1
"COLUMN-SWITCHING"	2
"COLUMN-SWITCHING LC-MS"	1
"COLUMN SWITCHING"	2
"COMA"	1
"COMBINED BOTTOM UP/IN-HOUSE VALIDATION APPROACH"	1
"COMBINED CONCENTRATION"	1
"COMBINED EXTRACTION"	1
"COMBINED STANDARD UNCERTAINTY"	1
"COMBUSTION"	1
"COMMUTERS"	1
"COMORBIDITIES"	1
"COMPARING NORDIC COUNTRIES"	1
"COMPARISON"	1
"COMPETITIVE ENZYME-LINKED IMMUNOSORBENT ASSAY"	1
"COMPLEMENTARY AND ALTERNATIVE MEDICINE"	1
"COMPLEX MATRIX"	2
"COMPLIANCE ASSESSMENT"	2
"COMPLIANCE TESTING"	1
"COMPLICATED MATRICES"	1
"COMPREHENSIVE DRUG SCREENING"	1
"COMPREHENSIVE TWO-DIMENSIONAL GAS CHROMATOGRAPHY"	2
"CONCENTRATION"	3
"CONCENTRATION-EFFECT RELATIONSHIP"	1
"CONCENTRATION DEPENDENCY"	1
"CONCENTRATION RATIO"	1
"CONCENTRATIONS"	3
"CONCOMITANT DRUG USE"	1
"CONFIDENCE INTERVALS"	1
"CONFIRMATION"	3
"CONFIRMATION ASSAY"	1
"CONFIRMATORY ANALYSIS"	1
"CONJUGATION"	1
"CONSENT"	1
"CONSUMPTION"	1
"CONSUMPTION MARKER"	2
"CONSUMPTION PATTERNS"	1
"CONTACTLESS"	1
"CONTACTLESS MEASUREMENT"	1
"CONTAMINATION"	8
"CONTEXTUAL INFORMATION"	1
"CONTINUOUS-FLOW MICROEXTRACTION (CFME)"	1
"CONTROLLED ADMINISTRATION"	1
"CONTROLLED DOSE"	1
"CONTROLLED DRUGS"	1
"CONTROLLED STUDY"	1
"CONVERSION FACTOR"	1
"CONVERSION FACTOR (Q)"	1
"COORDINATION"	1
"COPPER NANOPARTICLES-DECORATED HOLLOW FIBERS"	1
"CORE-SHELL"	1
"CORICIDIN"	1
"CORONARY ARTERY DISEASE"	1
"CORONER'S VERDICT"	1
"CORTICOSTEROIDS"	2
"CORTISOL"	1
"CORTISONE"	1
"COSMETIC"	1
"COSMETIC TREATMENT"	2
"COSMETICS"	1
"COTININE"	3
"COUGH SUPPRESSANT"	1
"COUNTERFEIT"	1
"COUNTERFEIT PILLS"	1
"COUNTERMEASURES"	1
"COUPLING"	1
"COURT"	2
"COVALENT FUNCTIONALIZATION"	1
"COVERAGE FACTOR"	1
"COVERT DRUG ADMINISTRATION"	2
"COZART DDS"	1
"CP-47,497"	1
"CP 47,497-C8"	1
"CP 47497"	1
"CRACK"	1
"CRASH CULPABILITY"	2
"CRASH RISK"	1
"CRASH STATISTICS"	1
"CREATININE"	4
"CREATININE NORMALIZATION"	1
"CRIMINAL ASSAULTS"	1
"CRIMINAL CASES"	1
"CRIMINAL INTENT"	1
"CRIMINAL LAW"	1
"CRIMINAL OFFENCES"	1
"CRIMINAL PROCEEDINGS"	1
"CRITERIA FOR METHOD EVALUATION"	1
"CROSS-REACTIVITY"	3
"CROSS-SECTION"	1
"CROTONYLFENTANYL"	1
"CT-GUIDED BIOPSIES"	1
"CT CORONARY ANGIOGRAPHY"	1
"CTHC-GLUCURONIDE"	1
"CUCURBITACIN B"	1
"CULPABILITY"	1
"CULTIVARS"	1
"CUMYL-4CN-BINACA"	4
"CUMYL-PICA"	1
"CUMYL-PINACA"	1
"CUSCOHYGRINE"	1
"CUT-OFF"	4
"CUT-OFF LEVELS"	1
"CUT-OFF OF FAEE"	1
"CUT OFF LEVEL FOR EXOGENOUS ADMINISTRATION OF GHB"	1
"CUTOFF"	1
"CUTOFFS"	1
"CVAA"	1
"CXCR4"	1
"CYANIDE"	10
"CYCLIC PEPTIDE"	1
"CYCLOPENTYLFENTANYL"	1
"CYCLOPHOSPHAMIDE"	1
"CYCLOPROP-2-ENE CARBOXYLIC ACID"	1
"CYCLOPROPYLFENTANYL"	4
"CYCLOSPORIN A"	1
"CYP"	3
"CYP 2D6"	1
"CYP ISOENZYMES"	1
"CYP KINETICS"	1
"CYP POLYMORPHISM"	1
"CYP2C19"	1
"CYP2C19 GENE"	1
"CYP2D6 GENE"	2
"CYSTEIC ACID"	1
"CYSTEINE"	2
"CYSTEINYLGLYCINE"	1
"CYTOCHROME-P450"	4
"CYTOCHROME P450"	5
"CYTOCHROME P450 ISOENZYMES"	1
"CYTOCHROME P450 PHENOTYPING"	1
"CYTOSOLIC FRACTIONS"	1
"CYTOTOXICITY"	4
"D-AMPHETAMINE"	1
"D1-LIKE RECEPTORS"	1
"D9-TETRAHYDROCANNABINOL"	1
"DALT"	1
"DANAZOL"	1
"DARK WEB"	1
"DATA-DEPENDENT ACQUISITION"	1
"DATA-INDEPENDENT ACQUISITION"	1
"DATA ANALYSIS"	1
"DATA MANAGEMENT SYSTEM"	1
"DATABASE SEARCHING"	1
"DATE-RAPE DRUGS"	2
"DATE RAPE"	3
"DATE RAPE DRUGS"	2
"DBS"	3
"DBS LC-MS/MS"	1
"DEATH"	7
"DEATH BY FIRE"	1
"DEATH CERTIFICATES"	1
"DEATH CERTIFICATION"	2
"DEATH DUE TO PESTICIDE POISONING"	1
"DEATH SUDDEN"	1
"DECISION RULES"	1
"DECOMPRESSION SICKNESS"	1
"DECONTAMINATION"	2
"DECONTAMINATION PROCEDURES"	1
"DEFENCE ARGUMENTS"	1
"DEGRADATION"	1
"DEGRADATION KINETICS"	1
"DELAYED CLEARANCE IN VIVO"	1
"DELTA-9-TETRAHYDROCANNABINOL"	1
"DELTA-9-TETRAHYDROCANNABINOLIC ACID A"	1
"DELTA 9-TETRAHYDROCANNABINOL"	1
"DEMETHYLENATION"	1
"DEMOGRAPHICS"	1
"DERIVATIZATION, GC"	1
"DESB30 INSULIN"	1
"DESCHLORO-N-ETHYL-KETAMINE"	1
"DESCHLOROETIZOLAM"	1
"DESIGNER BENZODIAZEPINES"	8
"DESIGNER DRUGS"	59
"DESIGNER OPIOIDS"	1
"DESIGNER STIMULANT"	1
"DESMETHYLSELEGILINE"	1
"DETECTION"	5
"DETECTION METHOD"	1
"DETECTION TIME"	1
"DETECTION WINDOW"	2
"DETERGENT SUICIDE"	1
"DETERMINATION"	3
"DETERRENCE"	2
"DETOX AGENTS"	1
"DEUTERIUM-LABELED INTERNAL STANDARD"	1
"DEVELOPMENT"	1
"DEVELOPMENTAL FOLLOW-UP"	2
"DEXAMETHASONE"	1
"DEXAMPHETAMINE"	1
"DEXTROMETHORPHAN"	4
"DFSA"	4
"DI-SPME, GC-MS"	1
"DIABETES"	2
"DIAGNOSIS"	2
"DIAGNOSTIC"	1
"DIAGNOSTIC KITS"	1
"DIAGNOSTIC MARKER"	1
"DIAGNOSTIC UNCERTAINTY"	1
"DIAGNOSTICS"	1
"DIAZEPAM"	6
"DIAZINON"	1
"DIAZONIUM SALT"	1
"DICLAZEPAM"	1
"DICLOFENAC"	1
"DIESEL FUEL EXHAUST"	1
"DIET"	1
"DIETARY SUPPLEMENT"	1
"DIFFERENTIAL LC-LC GRADIENT"	1
"DIFFERENTIAL PULSE VOLTAMMETRY"	1
"DIFFERENTIATION BETWEEN AM-2201 AND JWH-018 ABUSE"	1
"DIHYDROARTEMISININ"	1
"DILUTE-AND-SHOOT"	2
"DILUTED URINE SAMPLE"	1
"DIMETHYL SULFOXIDE (DMSO)"	1
"DIMETHYL TRISULFIDE"	1
"DIMETHYLAMPHETAMINE"	1
"DIMETHYLAMPHETAMINE N-OXIDE"	1
"DIMETHYLPHOSPHATE"	1
"DIODE-ARRAY DETECTION"	1
"DIODE ARRAY DETECTOR"	1
"DIOS"	1
"DIPHASIC DIALYSIS"	1
"DIPHENHYDRAMINE"	1
"DIPHENIDINE"	3
"DIPHENYLETHYLAMINES"	1
"DIRECT ANALYSIS"	1
"DIRECT DETECTION"	2
"DIRECT ETHANOL METABOLITES"	1
"DIRECT IMMERSION SOLID-PHASE MICROEXTRACTION"	1
"DIRECT INJECTION"	7
"DIRECT INJECTION ANALYSIS"	2
"DIRECT MS"	1
"DIRECTLY-SUSPENDED DROPLET MICROEXTRACTION (DSDME)"	1
"DISAPPEARANCE RATE (�-SLOPE)"	1
"DISCRIMINANT ANALYSIS"	1
"DISINFECTION BY-PRODUCTS"	1
"DISPERSION LIQUID-PHASE MICROEXTRACTION"	1
"DISPERSION MODES"	1
"DISPERSIVE DERIVATIZATION LIQUID-LIQUID MICROEXTRACTION"	1
"DISPERSIVE LIQUID-LIQUID MICROEXTRACTION"	5
"DISPERSIVE LIQUID-LIQUID MICROEXTRACTION (DLLME)"	2
"DISPERSIVE LIQUID-LIQUID MICROEXTRACTION BASED ON SOLIDIFICATION OF FLOATING ORGANIC DROP"	1
"DISPERSIVE LIQUID LIQUID MICROEXTRACTION"	1
"DISPERSIVE LIQUIDñLIQUID MICROEXTRACTION"	1
"DISPERSIVE MICRO-SOLID PHASE EXTRACTION"	1
"DISPLACEMENT CHROMATOGRAPHY"	1
"DISPLACER"	1
"DISPOSABLE CHARCOAL BARBEQUES"	1
"DISPOSABLE PIPETTE EXTRACTION"	1
"DISSECTION/CLAMPING"	2
"DISSOCIATION"	1
"DISSOCIATIVE DRUGS"	2
"DISTRIBUTION"	2
"DISTRIBUTION COEFFICIENT"	1
"DISTRIBUTION IN HUMAN ORGANS"	1
"DISULFIDE ADDUCT"	1
"DITERPENOID ALKALOID"	1
"DIURETICS"	4
"DIZOCILPINE"	1
"DKAP"	1
"DLLME"	2
"DMSO"	1
"DNA DAMAGE"	1
"DOA DETECTION TECHNIQUE"	1
"DOB"	1
"DOPAMINE"	1
"DOPAMINE AND SEROTONINE"	1
"DOPAMINE TRANSMISSION"	1
"DOPING"	49
"DOPING AGENTS"	3
"DOPING ANALYSIS"	5
"DOPING CONTROL"	23
"DOPING CONTROL ANALYSIS"	4
"DOPING DETECTION"	1
"DOPING SUBSTANCES"	1
"DOSE PROPORTIONALITY"	1
"DOUBLE ANTIBODY SANDWICH ENZYME-LINKED IMMUNOSORBENT ASSAY"	1
"DOUBLE DERIVATIZATION"	1
"DOXEPIN"	2
"DOXYCYCLINE"	1
"DPX"	2
"DR�GER 7110 EVIDENTIAL"	1
"DR�GER ALCOTEST 7110 MKIII"	1
"DRE"	1
"DRIED BLOOD ANALYSIS"	1
"DRIED BLOOD SPOT"	12
"DRIED BLOOD SPOT (DBS)"	2
"DRIED BLOOD SPOTS"	15
"DRIED BLOOD SPOTS (DBS)"	3
"DRIED PLASMA SPOTS"	2
"DRINK-DRIVE LIMIT"	1
"DRINK-SPIKING"	2
"DRINK SPIKING"	1
"DRINKING AND DRIVING LAW"	1
"DRINKING BEHAVIOR"	1
"DRIVE"	1
"DRIVER"	19
"DRIVER'S LICENCE REGRANTING"	1
"DRIVER BEHAVIOUR"	1
"DRIVER BELIEFS"	1
"DRIVER EXPERIENCE"	1
"DRIVER FITNESS"	1
"DRIVER INJURY RISK"	1
"DRIVING ABILITY"	2
"DRIVING ABILITY EXAMINATION"	1
"DRIVING IMPAIRMENT"	7
"DRIVING INABILITY"	1
"DRIVING LICENCE"	2
"DRIVING LICENCE RE-GRANTING"	1
"DRIVING PERFORMANCE"	1
"DRIVING SIMULATOR"	4
"DRIVING SIMULATORS"	2
"DRIVING SUITABILITY"	1
"DRIVING UNDER THE INFLUENCE"	78
"DRIVING UNDER THE INFLUENCE OF DRUGS (DUID)"	71
"DROWNING"	1
"DROWSY DRIVING"	1
"DRUG"	82
"DRUG-BLOOD-LEVEL"	1
"DRUG-DRUG INTERACTIONS"	2
"DRUG-FACILITATED"	1
"DRUG-FACILITATED ASSAULT"	2
"DRUG-FACILITATED CRIME"	7
"DRUG-FACILITATED CRIMES"	2
"DRUG-FACILITATED SEXUAL ASSAULT"	25
"DRUG-FACILITATED SEXUAL ASSAULT (DFSA)"	1
"DRUG-RELATED DEATH"	2
"DRUG-RELATED DEATHS"	2
"DRUG-TOXICITY"	1
"DRUG-WITHDRAWAL THERAPY"	2
"DRUG ABUSE DEATH"	1
"DRUG ADDICT DEATHS"	1
"DRUG ADDICTS"	1
"DRUG ADMINISTRATION"	1
"DRUG ADULTERATION"	1
"DRUG ANALYSIS"	9
"DRUG ANALYSIS BY SOLID-PHASE MICROEXTRACTION"	1
"DRUG ANALYSIS IN ORAL FLUID"	1
"DRUG BLOOD LEVEL"	1
"DRUG COMBINATION"	1
"DRUG CONCENTRATION"	2
"DRUG CONFIRMATION"	1
"DRUG DETECTION"	2
"DRUG DEVELOPMENT"	1
"DRUG DIVERSION"	1
"DRUG EVALUATION AND CLASSIFICATION (DEC) PROGRAM"	1
"DRUG EXPOSURE"	1
"DRUG FACILITATED CRIMES"	2
"DRUG FACILITATED SEXUAL ASSAULT"	8
"DRUG FACILITATED SEXUAL ASSAULT (DFSA)"	2
"DRUG IMPAIRMENT"	1
"DRUG INCORPORATION"	1
"DRUG INFLUENCE"	1
"DRUG INTELLIGENCE"	1
"DRUG INTERACTION"	1
"DRUG METABOLITE QUANTIFICATION"	1
"DRUG MISUSE"	3
"DRUG MONITORING"	1
"DRUG MONITORING/DRUG SCREENING"	1
"DRUG OF ABUSE"	84
"DRUG OVERDOSE"	1
"DRUG POISONING"	1
"DRUG PROFILING"	1
"DRUG RAPE"	2
"DRUG RECOGNITION EXPERT"	3
"DRUG RECOGNITION EXPERT (DRE)"	1
"DRUG REDISTRIBUTION"	1
"DRUG RESERVOIRS"	1
"DRUG SCENE"	1
"DRUG SCREENING"	15
"DRUG SCREENING ASSAYS"	1
"DRUG STABILITY"	1
"DRUG STABILITY AND RECOVERY"	1
"DRUG SURVEILLANCE"	1
"DRUG TEST"	2
"DRUG TEST ADULTERATION"	1
"DRUG TESTING"	17
"DRUG TOXICITY/EPIDEMIOLOGY/MORTALITY"	1
"DRUG TOXICOLOGY TESTING"	1
"DRUG UPTAKE"	1
"DRUG USE"	5
"DRUG USERS"	1
"DRUGGING"	1
"DRUGS-OF-ABUSE"	2
"DRUGS AND METABOLITES"	1
"DRUGS AND PHARMACEUTICAL COMPOUNDS"	1
"DRUGS AND POISONS"	1
"DRUGS OF ABUSE ANALYSIS"	1
"DRUGS OF ABUSE TESTING"	1
"DRUGS SCREENING"	1
"DRUGS, FORENSIC"	1
"DRUGWIPE"	1
"DRUI"	1
"DRUID"	1
"DRUID PROJECT"	1
"DRUNK DRIVERS"	3
"DRUNKEN DRIVING"	1
"DSPE"	1
"DUAL COLUMN"	1
"DUI-CHECKPOINTS"	1
"DUI OFFENDERS"	1
"DUIC"	1
"DV1"	1
"DVI"	1
"DYEING"	1
"DYNAMIC BACKGROUND SUBTRACT"	1
"DYNAMIC DOUBLY COATED CAPILLARIES"	1
"DYNAMIC LIQUID PHASE MICROEXTRACTION"	2
"DYNAMIC MRM"	1
"E-LIQUIDS"	1
"EAM-2201"	1
"EARLY WARNING SYSTEM"	21
"EARWAX"	1
"EAST GERMANY"	1
"ECD"	1
"ECGONINE METHYL ESTER"	2
"ECSTASY"	16
"EFFECTIVENESS"	1
"EFFECTS"	1
"EFFERVESCENCE DISPERSIVE LIQUID-LIQUID MICROEXTRACTION"	1
"EG-018"	1
"ELDER ABUSE"	1
"ELDERLY"	1
"ELDERLY PERSONS"	1
"ELECTRO MEMBRANE EXTRACTION"	1
"ELECTRO MEMBRANE ISOLATION"	1
"ELECTROCARDIOGRAPHY"	1
"ELECTROCHEMISTRY"	2
"ELECTROKINETIC MEMBRANE EXTRACTION (EME)"	1
"ELECTROMEMBRANE"	1
"ELECTROMEMBRANE EXTRACTION"	8
"ELECTROMEMBRANE MICROEXTRACTION"	1
"ELECTROSPINNING"	1
"ELECTROSPRAY"	1
"ELECTROSPRAY IONISATION"	1
"ELECTROSPRAY IONIZATION"	2
"ELIMINATION"	2
"ELIMINATION RATE"	4
"ELIMINATION RATES"	1
"ELISA"	9
"ELUCIDATION"	1
"EMERGENCY DEPARTMENTS"	1
"EMERGENCY MEDICINE"	1
"EMERGING DRUGS"	1
"EMIT"	2
"EMIT ASSAY"	1
"EMIT II"	1
"EMITÆ"	1
"EMODIN"	1
"EMPLOYMENT SCREENING"	1
"ENANTIOMERIC RATIOS"	1
"ENANTIOMERIC SCREENING"	1
"ENDOCRINE DISRUPTORS"	1
"ENDOGENOUS"	5
"ENDOGENOUS BIOMOLECULE"	1
"ENDOGENOUS COMPOUND"	1
"ENDOGENOUS METABOLITES"	1
"ENDOGENOUS STEROIDS"	1
"ENDOPEP-MS"	1
"ENDOPEPTIDASE ACTIVITY ASSAY"	1
"ENDOSULFAN ISOMERS/METABOLITES"	1
"ENFORCEMENT"	5
"ENHANCE PEAK LIST"	1
"ENTEROHEPATIC CIRCLE"	1
"ENTRAPPED VICTIMS"	1
"ENVIRONMENTAL ANALYSIS"	2
"ENVIRONMENTAL AND BIOLOGICAL SAMPLES"	1
"ENVIRONMENTAL APPLICATIONS"	2
"ENVIRONMENTAL CONTAMINATION"	1
"ENVIRONMENTAL EXPOSURE"	1
"ENVIRONMENTAL SAMPLES"	1
"ENZYME-CATALYTIC PRECIPITATION"	1
"ENZYME-LINKED IMMUNOSORBENT ASSAY"	1
"ENZYME IMMUNOASSAY"	1
"EPHEDRINE"	5
"EPHEDRONE"	1
"EPIDEMIOLOGY"	17
"EPILEPSY"	3
"EPITESTOSTERONE"	2
"EPO"	1
"EPO-FC"	1
"EPO DOPING"	1
"EQCM"	1
"EQUINE"	2
"ERECTILE DYSFUNCTION DRUGS"	1
"ERROR METHODS"	1
"ERROR PROPAGATION"	1
"ERRORS"	1
"ERYTHROPOIETIN"	5
"ESCITALOPRAM"	1
"ESCULETIN MATRIX"	1
"ESI-LC-MS/MS"	1
"ESSENTIAL OILS"	1
"ESTERS"	1
"ESTRAGOLE"	1
"ETAAS"	1
"ETANERCEPT"	1
"ETG"	4
"ETHANOL"	37
"ETHANOL AND DRUGS OF ABUSE"	1
"ETHANOL DAILY INTAKE"	1
"ETHANOL DISAPPEARANCE"	1
"ETHANOL ELIMINATION"	1
"ETHANOL FORMATION"	1
"ETHANOL IN BLOOD"	1
"ETHANOL IN WATER"	1
"ETHANOL METABOLISM"	1
"ETHANOL POISONING DEATHS"	1
"ETHICS"	1
"ETHINYLESTRADIOL"	1
"ETHISTERONE"	1
"ETHNOGRAPHIC"	1
"ETHYL-GLUCURONIDE"	1
"ETHYL GLUCURONIDE"	42
"ETHYL GLUCURONIDE (ETG)"	2
"ETHYL GLUCURONIDE IN HAIR"	2
"ETHYL SULFATE"	6
"ETHYL SULPHATE"	3
"ETHYLBENZOYLECGONINE"	1
"ETHYLONE"	1
"ETIOLOGY"	1
"ETS"	1
"EUROPOL"	1
"EVIDENTIARY STANDARDS"	1
"EVOCARPINE"	1
"EVODIA RUTAECARPA (JUSS.) BENTH"	1
"EVODIAMINE"	1
"EWDTS"	2
"EXABREATH�"	1
"EXACT MASS DATABASE"	1
"EXACT MOLECULAR FORMULA"	1
"EXACTIVE"	2
"EXCISION"	1
"EXCITED DELIRIUM"	1
"EXCITED DELIRIUM SYNDROME"	1
"EXCRETION"	3
"EXCRETION STUDY"	2
"EXERCISE"	4
"EXHALED BREATH"	2
"EXHALED BREATH ANALYSIS"	1
"EXHALED BREATH AS A NEW MATRIX"	1
"EXHALED BREATH CONDENSATE"	2
"EXHAUST"	1
"EXHAUSTION"	1
"EXHUMATION"	1
"EXOGENOUS ANABOLIC STEROIDS"	1
"EXPANDED UNCERTAINTY"	1
"EXPECTANCY EFFECTS"	1
"EXPERIENCE"	1
"EXPERIMENTAL CONDITIONS"	1
"EXPERIMENTAL DESIGN"	4
"EXPLOSION"	1
"EXPLOSIVE"	1
"EXPOSURE"	7
"EXPOSURE BIOMARKERS"	1
"EXTENDED STEROID PROFILES"	1
"EXTERNAL CONTAMINATION"	2
"EXTERNAL PROFICIENCY TESTING"	1
"EXTERNAL QUALITY ASSESSMENT SCHEME"	1
"EXTRACTION"	4
"EXTRACTION APPARATUS"	1
"EXTRACTION EFFICIENCY"	1
"EXTRACTION SPRAY"	1
"EXTRAPOLATION"	1
"EYE MOVEMENTS"	1
"EZETIMIBE AND SIMVASTATIN"	1
"FAEE"	2
"FAKE URINE"	1
"FALSE-POSITIVE"	4
"FALSE-POSITIVE RATES"	1
"FALSE NEGATIVE"	1
"FALSE POSITIVE"	1
