"Keyword"	"Fire Investigation"
"HUMAN ODOR"	1
"HUMAN SCENT"	1
"HUMAN SURVIVABILITY"	1
"HYDROCARBON"	2
"HYDROCARBON ANALYSIS"	1
"HYDROCARBONS ANALYSIS"	1
"HYDROELECTRIC POWER PLANT"	1
"HYDROGEN"	3
"HYDROGEN CYANIDE"	4
"HYDROGEN ISOTOPE RATIO (?D) ANALYSIS"	1
"HYDROGEN SAFETY"	2
"HYDROPEROXIDE"	1
"HYPERGOLIC MIXTURE"	1
"HYPERTHERMIA"	1
"HYPOTHESIS EVALUATION"	1
"HYPOTHESIS TESTING"	1
"IDENTIFICATION"	3
"IGNITABILITY"	1
"IGNITABLE LIQUID (IL)"	57
"IGNITABLE LIQUID ANALYSIS"	4
"IGNITABLE LIQUID DETECTION"	1
"IGNITABLE LIQUID IDENTIFICATION"	1
"IGNITABLE LIQUID RECOVERY"	1
"IGNITABLE LIQUID RESIDUE (ILR)"	24
"IGNITION"	10
"IGNITION ENERGY"	1
"IGNITION PROBABILITY"	1
"IGNITION SENSITIVITY"	1
"IGNITION TIME"	1
"ILA"	1
"ILLEGAL FUEL"	1
"ILLEGAL FUELS"	1
"ILLICIT DRUG"	2
"ILRS EXTRACTION AND DETECTION"	1
"IMAGE BACKGROUND REMOVAL"	1
"IMAGING"	1
"IMMERSION HEATER"	1
"IMMOLATION"	2
"IMPLICIT THEORIES"	1
"IMPORTANCE ANALYSIS"	1
"IMPROVISED INCENDIARY DEVICE"	2
"INCAPACITATION"	1
"INCENDIARISM"	1
"INCENDIARY DEVICE"	2
"INCENDIARY TOOL"	1
"INCIDENT ASSESSMENT AND MANAGEMENT"	1
"INCIDENTS AT WORK"	1
"INCINERATED HUMAN REMAINS"	1
"INCINERATION"	2
"INDOOR SHOOTING RANGE"	1
"INDUSTRIAL RISK"	1
"INERTING"	1
"INFORMATION PROCESSING"	1
"INFRARED RADIATION"	1
"INFRARED SPECTROSCOPY (IR)"	1
"INFRARED THERMAL IMAGE"	1
"INHALATIVE FIRE FUMES"	1
"INJURY"	1
"INN FIRE ACCIDENT"	1
"INSANITY"	1
"INSPECTION OF THE SCENE"	1
"INSTINCTIVE INSANITY"	1
"INSTRUMENTATION"	2
"INSULATION"	2
"INSULATION LAYER"	1
"INTEGRAL MODEL"	1
"INTEGRATED SCENARIO"	1
"INTEGRATION OF HUMAN AND PHYSICAL SYSTEMS RESPONSES"	1
"INTEGRATION TEMPLATE"	1
"INTELLIGENCE-LED POLICING"	2
"INTELLIGENCE CIRCLE"	1
"INTELLIGENCE CYCLE"	1
"INTELLIGENCE LED-POLICING"	1
"INTENTIONAL FIRES"	1
"INTER-RATER RELIABILITY"	1
"INTERFACES, GC×GC"	1
"INTERNAL STANDARD METHOD"	1
"INTERNAL VALIDITY"	1
"INTERVENTION"	1
"INTERVIEW"	1
"INVERSE FIRE MODELING"	1
"INVERSE GAS CHROMATOGRAPHY"	2
"INVERSE PROBLEMS"	1
"INVESTIGATIONS"	1
"IODINE VALUE"	1
"ION CYCLOTRON RESONANCE"	1
"ION MOBILITY SPECTROMETRY (IMS)"	2
"ION MOBILITY SPECTROMETRY SUM SPECTRUM"	1
"ION PREPARATION METHOD (IPM)"	1
"ION RATIOS"	1
"ION SOURCES"	1
"IRAN"	1
"IRMGCMS"	1
"IRMS"	1
"IRRESISTIBLE IMPULSE"	1
"ISO/TS 19700 STEADY-STATE TUBE FURNACE"	1
"ISOCYANATES"	1
"ISOMER ABUNDANCE ANALYSIS"	1
"ISOTHERMAL CALORIMETRY"	1
"ISOTOPE RATIO"	1
"ISOTOPE RATIO MASS SPECTROMETRY"	1
"ISOVOLATILITY PLOTS"	1
"IT-EQUIPMENT"	1
"JET FANS"	1
"JET FIRE"	1
"JET FUEL"	2
"JUVENILE DELINQUENCY"	1
"JUVENILE FIRE INVOLVEMENT"	1
"JUVENILE FIRE SETTERS (JFS)"	1
"JUVENILE FIRESETTING"	5
"K-NEAREST NEIGHBORS"	1
"KAPAK"	1
"KEROSENE"	5
"KETONES"	2
"KINETIC PARAMETERS"	1
"KLEPTOMANIA"	1
"LABORATORY FIRE TESTS"	1
"LACUNAR STROKE"	1
"LARGE-SCALE EXPERIMENTS"	1
"LARGE ENCLOSURE"	1
"LARGE OPEN-PLAN COMPARTMENT"	1
"LARGE SCALE TESTING"	1
"LASER"	1
"LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)"	1
"LASER-INDUCED THERMAL DESORPTION"	1
"LATEX"	1
"LAW ENFORCEMENT"	1
"LEACHING"	1
"LEAKAGE CURRENT"	2
"LETHALITY"	1
"LIFE SAFETY"	1
"LIGHT VOLATILE ORGANIC COMPONENTS"	1
"LIGHTNING"	1
"LIKELIHOOD RATIO"	5
"LIME STREET FIRE"	1
"LIMIT OF DETECTION (LOD)"	1
"LINEAR ALKYLBENZENES"	1
"LINEAR DISCRIMINANT ANALYSIS"	1
"LINSEED OIL"	1
"LIPID"	1
"LIQUID CRYSTALS"	1
"LIQUID FUEL"	2
"LIQUID GASOLINE"	1
"LIQUID HYDROGEN"	1
"LIQUID LIQUID EXTRACTION"	3
"LIQUID METALLIC ALLOYS"	1
"LIQUID PATTERN ANALYSIS"	1
"LIQUID SPILL"	1
"LITHIUM-ION BATTERY"	2
"LITHIUM ION BATTERY"	1
"LIVE BURN"	1
"LIVING CONDITIONS"	1
"LOCAL EQUIVALENCE RATIO"	1
"LOCAL ION SIGNATURE (LIS)"	1
"LOCALIZED FIRE"	1
"LOCALLY WEIGHTED REGRESSION"	1
"LOCATION OF REINFORCEMENT"	1
"LODD"	3
"LOGISTIC REGRESSION MODEL"	1
"LONDON"	1
"LONGITUDINAL PROFILE"	1
"LONGITUDINAL VENTILATION"	5
"LONGITUDINAL VENTILATION SYSTEMS"	1
"LOW-ENERGY IGNITION FIRES"	1
"LOW-TEMPERATURE OXIDATION"	1
"LOW MACH NUMBER FLOW"	1
"LOWER EXPLOSION LIMIT"	1
"LPG"	1
"LUMINOL"	3
"LUMPED HEAT CAPACITY METHOD"	1
"LUNG TISSUE"	1
"LUST MURDER"	1
"LWR"	1
"MACHINE LEARNING"	1
"MAGNESIUM DUST EXPLOSION"	1
"MAINTENANCE"	1
"MAJOR ACCIDENT HAZARD"	1
"MALMÖ"	1
"MALTREATMENT"	1
"MANNER"	1
"MANUAL FLASH POINT"	1
"MASS BURNING RATE"	2
"MASS DISASTER"	1
"MASS SPECTROMETRY (MS)"	15
"MASS SPECTROMETRY PLASMA MASS SPECTROMETRY"	1
"MATERIAL EVIDENCE ANALYSIS"	1
"MATERIAL IDENTIFICATION"	1
"MATERIALS IDENTIFICATION"	1
"MATHEMATICAL MODEL"	1
"MATRIX INTERFERENCE"	1
"MATRIX INTERFERENCES"	1
"MDF"	1
"MEASUREMENT TECHNIQUES"	1
"MECHANICAL IMPACT"	1
"MECHANICAL SPARKS"	1
"MEDICOLEGAL"	1
"MELTED MARKS"	1
"MELTING"	1
"MEMBRANE INTRODUCTION MASS SPECTROMETRY"	1
"METAL DRYERS"	1
"METALLOGRAPHIC ANALYSIS"	2
"METALLOGRAPHIC STRUCTURE"	1
"METALLURGICAL AND COMPOSITION ANALYSIS"	1
"METALLURGICAL EVIDENCE"	1
"METALLURGY"	1
"METALS AND ALLOYS"	2
"METHANOLYSIS"	1
"METHEMOGLOBIN"	1
"METHODOLOGY"	1
"METHODS OF SUICIDE"	1
"METHYL"	1
"METHYL METHACRYLATE"	1
"METHYL TERT-BUTYL ETHER"	1
"MICELLE ENCAPSULATOR"	1
"MICRO-BORE GC"	1
"MICRO-SAMPLE"	1
"MICROARRAY"	1
"MICROBIAL DEGRADATION"	8
"MICROCOMBUSTION CALORIMETRY"	1
"MICROEXTRACTION"	1
"MICROSENSOR ARRAY"	1
"MICROSTRUCTURE"	1
"MICROTRACES"	2
"MIDDLE INFRARED"	1
"MINE FIRES"	1
"MINERAL SPIRITS"	1
"MINIMAL IGNITION TEMPERATURE"	1
"MINIVAN"	1
"MIXED HALOGENATED"	1
"MODEL EVALUATION"	1
"MODEL SELECTION"	1
"MODEL VALIDATION"	1
"MODELING"	2
"MODELLING"	3
"MODELS"	3
"MODIFICATION EFFECT"	1
"MODULATION"	1
"MODULATOR"	2
"MODULATORS"	1
"MOLAR ENTHALPY OF ADSORPTION"	1
"MOLOTOV COCKTAIL"	3
"MOLOTOV COCKTAILS"	1
"MOLTEN BEAD"	1
"MONITORS"	1
"MONOMANIA"	1
"MONTE CARLO METHOD"	1
"MORAL INSANITY"	1
"MORTUARY"	1
"MOTIVE"	1
"MOTOR OIL"	1
"MOTOR VEHICLES"	3
"MTBE"	3
"MULTI-AGENCY CO-OPERATION"	1
"MULTI-COMPONENT LIQUID"	1
"MULTI-DIMENSIONAL GAS CHROMATOGRAPHY"	1
"MULTI-ELEMENT ISOTOPE RATIO ANALYSIS"	1
"MULTICRITERIA DECISION-MAKING MODEL"	1
"MULTIDIMENSIONAL GAS CHROMATOGRAPHY"	3
"MULTIVARIATE"	1
"MULTIVARIATE ANALYSIS (MVA)"	10
"MULTIVARIATE DISTRIBUTIONS"	1
"MURDER"	1
"MURDER-SUICIDE"	1
"N-PERCENTAGE RULE"	1
"N-PLS"	1
"NANOPARTICLES"	1
"NARCISSISTIC"	1
"NARROW-BORE GC"	1
"NATECH"	1
"NATIONAL EPIDEMIOLOGIC SURVEY ON ALCOHOL AND RELATED CONDITIONS"	1
"NATURAL AND SYNTHETIC TEXTILES"	1
"NATURAL FUELS"	1
"NATURAL GAS"	1
"NATURAL VENTILATION"	1
"NEAR-INFRARED SPECTROSCOPY"	1
"NEAR REPEAT"	1
"NEAREST NEIGHBOR"	1
"NEAREST NEIGHBOR CLASSIFICATION OF PCA SCORES"	1
"NEUROGENIC DEATH"	1
"NFPA"	1
"NFPA 499"	1
"NFPA 654"	1
"NFPA 921"	2
"NITROGEN-CONTAINING MATERIALS"	1
"NON-INJURY HOUSE FIRES"	1
"NON-LINEAR"	1
"NON-RESONANT EXCITATION"	1
"NON-SAMPLE VARIANCE"	1
"NORMALIZATION"	1
"NORTHERN IRELAND"	1
"NUCLEAR MAGNETIC RESONANCE (NMR)"	1
"NULL DISTRIBUTION ANALYSIS"	1
"NUMERICAL INVESTIGATION"	1
"NUMERICAL MODEL"	3
"NUMERICAL SIMULATION"	4
"NURSING HOME FIRE"	1
"NYLON BAG"	1
"NYLON CARPET"	1
"OAKLAND FIRE"	1
"OCCURRENCE PROBABILITY"	1
"OCTANE ENHANCER"	1
"ODOR DISCRIMINATION"	1
"OFFICE"	1
"OIL"	1
"OIL-SPILL FORENSICS"	1
"OIL SPLASH"	1
"OIL TANKS"	1
"OLFACTION"	1
"OLFACTORY RECEPTORS"	1
"ON-SITE ANALYSIS"	1
"OPEN FLAME IGNITION FIRES"	1
"OPTICAL FIBER"	1
"OPTIMIZATION"	2
"ORGANIC COMPOUNDS"	1
"ORGANIC SPECIES"	2
"ORIGIN"	1
"ORIGIN DETERMINATION"	1
"ORTHOGONAL ARRAY EXPERIMENTAL DESIGN"	1
"ORTHOGONAL SEPARATION"	1
"OSTEOPOROSIS"	1
"OUTCOME"	1
"OVEN"	1
"OVERCHARGE"	1
"OVERDRIVEN STAPLE"	1
"OXIDATION"	2
"OXIDATION STABILITY"	1
"OXYGENATED COMPOUNDS"	1
"OXYGENATED SOLVENTS"	1
"OXYGENATES"	1
"OZONE FORMATION POTENTIAL"	1
"PACK"	1
"PACKAGING"	2
"PAINT ANALYSIS"	1
"PAINT THINNER"	1
"PANTING"	1
"PARALLEL ARC"	1
"PARALLEL PROCESSING"	1
"PARAMETER ESTIMATION"	1
"PARAPHILIA"	1
"PARENT IONS"	1
"PARTIAL INSANITY"	1
"PARTIAL LEAST SQUARES-DISCRIMINANT ANALYSIS"	1
"PARTIAL LEAST SQUARES—DISCRIMINANT ANALYSIS"	1
"PARTIAL LEAST SQUARES DISCRIMINANT ANALYSIS"	1
"PARTICIPATING MEDIUM"	1
"PARTICLE COMBUSTION"	1
"PARTICLES"	1
"PARTITION COEFFICIENT"	1
"PASSENGER CAR FIRE"	1
"PASSENGER RAIL VEHICLES"	1
"PASSENGER VEHICLES"	1
"PASSIVE ADSORPTION"	3
"PASSIVE HEADSPACE"	1
"PASSIVE HEADSPACE ANALYSIS"	1
"PASSIVE HEADSPACE CONCENTRATION"	3
"PASSIVE HEADSPACE EXTRACTION"	1
"PATTERN CLASSIFICATION"	1
"PATTERN RECOGNITION"	5
"PATTERN RECOGNITION ANALYSIS"	1
"PATTERN RECOGNITION TECHNIQUES"	1
"PATTERNED THERMAL DESTRUCTION"	1
"PEAK CAPACITY"	1
"PEAK MELTING TEMPERATURE"	1
"PEAK SHAPE"	1
"PEARSON PRODUCT MOMENT CORRELATION"	5
"PEARSON PRODUCT MOMENT CORRELATION COEFFICIENTS"	1
"PELLETS"	1
"PENSKY-MARTENS CLOSED CUP"	1
"PERFORMANCE-BASED APPROACH"	1
"PERFORMANCE-BASED CODES"	1
"PERMANENT GASES"	1
"PERMEABILITY"	1
"PEROXIDE CHEMISTRY"	1
"PEROXIDE VALUE"	1
"PERSISTENCE"	1
"PERSISTENT ORGANIC POLLUTANTS"	1
"PERSONNEL EVACUATION TIME"	1
"PETRI NETS"	1
"PETROCHEMICALS"	1
"PETROL"	8
"PETROLEUM"	3
"PETROLEUM-DERIVED PRODUCTS"	1
"PETROLEUM DERIVATIVE"	3
"PETROLEUM PRODUCTS"	2
"PETROLEUM SOLVENTS"	1
"PHENOLPHTHALEIN TETRAMETHYLBENZIDINE"	1
"PHYSICAL ANTHROPOLOGY"	1
"PHYSICAL PROPERTIES"	1
"PHYSICAL SHORT"	2
"PHYSICAL TRACES"	1
"PHYSICOCHEMICAL DATA"	1
"PICKUP TRUCKS"	1
"PINCHED CABLE"	1
"PINCHED CORD"	1
"PLANT FIBERS"	1
"PLASTIC"	3
"PLASTIC EVIDENCE BAG"	1
"PLATFORM SCREEN DOOR (PSD)"	1
"PLOT-CRYOADSORPTION"	3
"PLS-DA"	4
"POINT-OF-CARE TESTING"	1
"POINT SOURCE"	1
"POLICE"	1
"POLLEN"	1
"POLYCHLORINATED BIPHENYLS"	1
"POLYCYCLIC AROMATIC HYDROCARBONS"	8
"POLYDIMETHYLSILOXANE (PDMS)"	1
"POLYETHYLENE"	1
"POLYMER"	5
"POLYMERISATION"	1
"POLYPROPYLENE"	1
"POLYSTYRENE"	1
"POLYURETHANE COMBUSTION"	1
"POLYURETHANE SOUND ABSORBER"	1
"POOL CHLORINATOR"	1
"POOL FIRE"	4
"POPULATION DISTRIBUTION"	1
"POROUS MEDIA"	2
"POROUS SILICA"	1
"PORTABLE ANALYSIS"	1
"PORTABLE E-NOSE"	1
"PORTABLE GAS CHROMATOGRAPHY-MASS SPECTROMETRY"	1
"PORTABLE INSTRUMENTATION"	2
"POSITIONAL ISOMERS"	1
"POST-FLASHOVER"	1
"POST FIRE"	1
"POSTMORTEM BURNING"	1
"POUR PATTERNS"	1
"POWDER TRANSFER"	1
"PRECONDITIONING"	1
"PREDICTION MODEL"	1
"PREMIUM GASOLINE"	1
"PREPAREDNESS"	1
"PRESCRIPTIVE APPROACH"	1
"PRESERVATION"	1
"PRESSURE GRADIENT"	1
"PRESTIGE OIL SPILL"	1
"PRESUMPTIVE SCREENING"	1
"PREVENTION"	2
"PRIMARY DEFLAGRATION"	1
"PRINCIPAL COMPONENT ANALYSIS (PCA)"	23
"PRINTER"	1
"PRISON FIRE"	1
"PROBABILISTIC MODEL"	1
"PROCESS EVALUATION"	1
"PROCESS SAFETY"	1
"PRODUCTS OF COMBUSTION"	1
"PROFICIENCY TEST"	1
"PROJECTED DIFFERENCE RESOLUTION"	1
"PROJECTED DIFFERENCE RESOLUTION MAPPING"	1
"PROTECTION OF WOOD"	1
"PROTRUSION OF TONGUE"	1
"PSEUDOMONAS"	1
"PSYCHOPATHOLOGY"	2
"PSYCHOSIS"	1
"PTR-MS"	1
"PU FOAM"	1
"PUBERTY"	1
"PUBLIC"	1
"PVC"	4
"PVC-INSULATED CABLE"	1
"PXDD/F"	1
"PYRE"	1
"PYROLYSIS"	9
"PYROLYSIS KINETICS"	1
"PYROLYSIS PRODUCTS"	2
"PYROLYTIC PRODUCTS"	1
"PYROMANIA"	4
"QUADRATIC DISCRIMINANT ANALYSIS"	1
"QUADRUPOLE ION TRAP MASS SPECTROMETRY"	1
"QUALITATIVE"	1
"QUALITATIVE ANALYSIS"	1
"QUALITY CONTROL"	2
"QUANTITATIVE INTERPRETATION"	1
"QUARTZ"	1
"RACING CAR"	1
"RADIANT IGNITION"	1
"RAILCAR"	1
"RAMAN"	1
"RAMAN MAPPING"	1
"RAMAN SPECTROSCOPY"	2
"RANCIMAT"	1
"RATE OF HEAT RELEASE"	1
"RATIONAL CHOICE"	1
"RE-IGNITION"	1
"REACTION CONDITIONS"	1
"REACTION TO FIRE"	1
"REAL-SCALE TESTS"	1
"REAL FIRE"	1
"RECOVERY"	1
"RECYCLING"	1
"REFINED PRODUCTS"	1
"REFINERY"	1
"REFORMULATED GASOLINE"	1
"REFRESHER TRAINING"	1
"REFRIGERATOR"	1
"REFUSE-DERIVED FUEL"	1
"REFUSE-DERIVED FUELS"	1
"REGULATIONS"	1
"RELATIONSHIP"	1
"RELATIVE COMPOSITION"	1
"RELIABILITY"	1
"RENEWABLE ENERGY"	1
"REPETITION"	3
"REPRODUCIBILITY"	1
"REQUIRED SAFE EGRESS TIME (RSET)"	1
"RESIDUAL OIL"	1
"RESIDUE SEPARATION"	3
"RESISTANCE WIRE"	1
"RESONANT EXCITATION"	1
"RESULTS INTERPRETATION"	1
"RETENTION-TIME ALIGNMENT"	1
"RETENTION ANCHOR"	1
"RETENTION CORRELATION"	1
"RETENTION TIME"	1
"REVIEW"	1
"RICE HUSK"	1
"RING POOL FIRE"	1
"RISK"	1
"RISK ASSESSMENT"	6
"RISK FACTOR"	2
"ROAD TUNNELS"	2
"ROCK-STRIKES"	1
"RON AND MON OCTANE NUMBERS"	1
"ROOF VENT"	1
"ROOM AIR PRESSURE"	1
"ROOM FIRE TEST"	1
"ROOM FIRES"	1
"ROUTINE ACTIVITIES"	1
"RUNAWAY"	1
"RUPTURE DISK"	1
"SAMPLE ENRICHMENT"	1
"SAMPLE HANDLING"	1
"SAMPLE INTRODUCTION"	1
"SAMPLE PREPARATION"	4
"SAMPLE PRESERVATION"	1
"SAMPLING"	2
"SAMPLING IGNITABLE LIQUID RESIDUES"	1
"SAMPLING SYSTEM"	1
"SAMPLING TECHNIQUES"	1
"SATURATION"	1
"SCANNING ELECTRON MICROSCOPY (SEM)"	2
"SCENE RECONSTRUCTION"	1
"SCENTED OILS"	1
"SCHEMA"	1
"SCHIZOAFFECTIVE DISORDER"	1
"SCHIZOPHRENIA"	1
"SCHIZOPHRENIA SPECTRUM DISORDER"	1
"SCIENTIFIC METHOD"	1
"SECONDARY DEFLAGRATION"	1
"SECTION FACTOR"	1
"SECURITY-RELEVANT SUBSTANCES"	1
"SEDIMENT CONTAMINATION"	1
"SEGMENTED TOTAL ION SPECTRUM"	1
"SELF-HEATING"	5
"SELF-IGNITION"	3
"SELF-IMMOLATION"	4
"SELF-INCINERATION"	1
"SELF-ORGANIZING FEATURE MAPS"	1
"SELF-POISONING"	1
"SELF HEATING"	1
"SELF IGNITION"	1
"SELF IMMOLATION"	1
"SEM-EDX"	1
"SEMENOV"	1
"SEMI TRUCKS"	1
"SENSOR"	1
"SENSOR ARRAY"	2
"SENSOR STEERED SIMULATION"	1
"SEPARATION AND DETECTION TECHNIQUES"	1
"SEPARATION AND PURIFICATION"	3
"SEPARATION CAPACITY"	1
"SEPARATION POWER"	1
"SEQUELAE"	1
"SERIAL CRIMINALACTIVITIES"	1
"SERIES ARC"	1
"SERIES DETECTION"	1
"SERVICING"	1
"SEXUAL"	1
"SEXUAL ASSAULT"	1
"SHOCK REFLECTION"	1
"SHOES"	1
"SHOOTING IGNITION"	1
"SHORT CIRCUIT"	2
"SIMCA"	1
"SIMCA MODEL"	1
"SIMS"	1
"SIMULATED COMBUSTION"	1
"SIMULATED IGNITABLE LIQUID RESIDUES"	1
"SINGED HAIRS"	1
"SINGLE BURNING ITEM"	1
"SINGLE GLAZING"	1
"SIZE DISTRIBUTION"	1
"SKIN BURNS"	1
"SMOKE"	5
"SMOKE ALARM"	2
"SMOKE CONTROL"	1
"SMOKE DENSITY CHAMBER"	1
"SMOKE DETECTOR"	1
"SMOKE INHALATION"	1
"SMOKE INHALATION INJURY"	2
"SMOKE LAYER"	1
"SMOKE LAYER HEIGHT"	1
"SMOKE MOVEMENT"	1
"SMOKE PROPAGATION"	1
"SMOKE TEMPERATURE"	1
"SMOKE TOXICITY"	2
"SMOKING"	1
"SMOKING MATERIALS IGNITION FIRES"	1
"SMOLDERING"	1
"SMOOTHING"	1
"SMOULDERING FIRE"	1
"SNIFFING"	1
"SOCIAL STRESS"	1
"SOCIOECONOMIC FACTORS"	1
"SOFT INDEPENDENT MODELING OF CLASS ANALOGY"	2
"SOIL"	7
"SOIL CHEMISTRY"	1
"SOL-GEL"	1
"SOLID-PHASE MICROEXTRACTION (SPME)"	20
"SOLID PHASE COMBUSTION"	1
"SOLID PHASE EXTRACTION (SPE)"	2
"SOLIDE PHASE MICROEXTRACTION"	1
"SOLUBILITY"	1
"SOLVENT EXTRACTION"	3
"SOLVENT YELLOW 124"	1
"SONIC DEPOSITION"	1
"SOOT"	4
"SOOT DEPOSIT"	1
"SOOT DEPOSITION"	1
"SOOT INHALATION"	1
"SOOT SOURCE"	1
"SOURCE INFERENCE"	2
"SOUTH AFRICA"	1
"SPANDREL"	1
"SPATIAL ANALYSIS"	1
"SPATIO-TEMPORAL ANALYSIS"	1
"SPECIALIST SEARCH DOG"	1
"SPECIATION"	1
"SPECIMEN PREPARATION"	1
"SPECTRAL LIBRARY SEARCHING"	1
"SPECTROFLUORIMETRY"	1
"SPECTROSCOPY"	1
"SPILLED BIODIESEL"	1
"SPIRIT"	1
"SPME-GC-MS"	1
"SPME PROTECTOR"	1
"SPONTANEOUS COMBUSTION"	9
"SPONTANEOUS COMBUSTION OF DUST"	1
"SPONTANEOUS HUMAN COMBUSTION"	2
"SPONTANEOUS IGNITION"	10
"SPRINKLERS"	2
"STABLE ISOTOPE"	3
"STABLE ISOTOPE PROFILING"	1
"STAINLESS STEEL"	1
"STANDARD"	2
"STANDARD PRACTICE"	1
"STANDARDIZED SOFTWARE"	1
"STATIC ELECTRICITY"	1
"STATIC MODEL"	1
"STATISTICAL ANALYSIS"	1
"STATISTICAL DATA PROCESSING"	1
"STATISTICAL LEARNING METHODS"	1
"STATISTICAL TESTS"	1
"STATISTICS"	1
"STEEL"	1
"STEEL MEMBER"	1
"STERANES"	1
"STEROL"	1
"STOCHASTIC MODEL"	1
"STRAY BULLET"	1
"STRUCTURAL FIRE ANALYSIS"	1
"STYRENE"	1
"SUBBITUMINOUS COAL"	1
"SUBSTRATE INTERFERENCES"	3
"SUBSTRATES"	1
"SUBWAY STATION FIRE"	1
"SUGAR DUST"	1
"SUICIDE"	11
"SULFIDE CONCENTRATES"	2
"SULFUR"	1
"SUMMED-ION MASS SPECTRUM"	1
"SUNFLOWER OIL"	1
"SUPERCRITICAL FLUID EXTRACTION"	1
"SUPERHEAT LIMIT TEMPERATURE"	1
"SUPEROXIDE"	1
"SUPERSONIC MOLECULAR BEAMS"	1
"SUPPORT VECTOR MACHINES"	1
"SURFACE FIRE"	1
"SURFACE MORPHOLOGY AND ELEMENTAL COMPOSITIONS"	1
"SURROGATE MODELING"	1
"SURVIVORS"	1
"SUSTAINED IGNITION"	1
"SWAB"	1
"SYMMETRIC/ASYMMETRIC CASE"	1
"SYNCHRONOUS"	1
"TAG CLOSED CUP"	1
"TALL BUILDINGS"	1
"TAPHONOMY"	2
"TARGETED ANALYSIS"	1
"TASER®"	1
"TEMPERATURE"	3
"TEMPERATURE RISE"	1
"TEMPORAL ANALYSIS"	1
"TEMPORAL REPRESENTATION"	1
"TENABILITY"	1
"TENAX TA®"	1
"TEST BURN"	1
"TGA"	1
"THEORY"	2
"THERMAL ANALYSIS"	3
"THERMAL ANALYSIS EXPERIMENT"	1
"THERMAL BEHAVIOR"	1
"THERMAL CALCULATION"	1
"THERMAL DECOMPOSITION"	1
"THERMAL DEGRADATION"	2
"THERMAL DESORPTION-GAS CHROMATOGRAPHY-MASS SPECTROMETRY (TD-GC-MS)"	1
"THERMAL DESTRUCTION OF CORPSES"	1
"THERMAL MODEL"	1
"THERMAL RADIATION"	1
"THERMAL RESISTANCE"	1
"THERMAL RUNAWAY"	1
"THERMAL STABILITY"	1
"THERMALLY INDUCED PLUMES"	1
"THERMODYNAMICS"	1
"THERMOGRAVIMETRIC ANALYSIS (TGA)"	1
"THERMOGRAVIMETRY (TG) ANALYSIS"	1
"THINNER"	1
"THRESHOLD"	1
"TILE-BASED F-RATIO"	1
"TIME-OF-FLIGHT MASS SPECTROMETRY"	1
"TIME TO IGNITION"	1
"TIRE FIRE"	1
"TITANIUM ALLOY"	1
"TITANIUM GOLF ALLOY ABRASION"	1
"TO COVER A CRIME"	1
"TOF-MS"	1
"TOFMS"	1
"TONGUE PROTRUSION"	1
"TOTAL ION CURRENT CHROMATOGRAM"	1
"TOTAL ION SPECTRUM"	3
"TOXICITY"	6
"TOXICOLOGY"	2
"TRACE"	1
"TRACE ANALYSIS"	4
"TRACE EVIDENCE"	11
"TRAFFIC FLOW"	1
"TRAIN CAR FIRES"	1
"TRANSESTERIFICATION"	2
"TRANSFER"	2
"TRANSIENT FLOW"	1
"TRANSITION ANALYSIS"	1
"TRANSITION METAL SALTS"	1
"TRANSPORTATION"	1
"TRANSPORTATION FIRES"	1
"TRANSVERSELY VENTILATED TUNNEL"	1
"TREADMILL"	1
"TREATMENT"	3
"TREATMENT OF ARSONISTS"	1
"TRIACYLGLYCEROLS"	1
"TRICLOSAN"	1
"TRIGEMINO-CARDIAC REFLEX"	1
"TRITERPANES"	1
"TRUCK"	1
"TUBE FURNACE"	1
"TUNNEL"	3
"TUNNEL FIRE"	3
"TUNNEL FIRE RECONSTRUCTION"	1
"TUNNEL FIRES"	5
"TUNNEL GEOMETRY"	1
"TUNNEL SAFETY"	1
"TUNNELS"	1
"TURKEY"	1
"TURKISH LIGNITES"	1
"TV-SETS"	1
"TV FIRES"	1
"TWO-DIMENSIONAL COMPREHENSIVE GAS CHROMATOGRAPHY"	1
"TWO-DIMENSIONAL GAS CHROMATOGRAPHY"	1
"TWO-WAY CLASSIFICATION"	1
"TWO ZONE MODEL"	1
"TYPOLOGY"	1
"ULP"	1
"ULTRAVIOLET LIGHT"	1
"UNCERTAINTY"	1
"UNCERTAINTY QUANTIFICATION"	1
"UNCONFINED WATER-VAPOUR EXPLOSIONS"	1
"UNEVAPORATED AUTOMOTIVE GASOLINE"	1
"UNEVAPORATED AUTOMOTIVE SAMPLES"	1
"UNIGNITED RELEASES"	1
"UNIVERSAL NOVEL ADSORBENT"	1
"UNPROTECTED SECONDARY BEAM"	1
"UPWARD FLAME SPREAD MODELLING"	1
"URBAN FIRE"	1
"USED FRYING OIL"	1
"UTILITY TUNNEL"	1
"UV SENSOR"	1
"VACUUM GAS OILS"	1
"VALIDATION"	1
"VAPOR"	1
"VAPOR PRESSURE"	2
"VAPOR SAMPLING"	2
"VAPOR SENSING"	1
"VAPOUR"	1
"VAPOUR CLOUD EXPLOSION"	1
"VAPOUR PHASE ULTRA-VIOLET SPECTROSCOPY"	1
"VARIABLE HEAT FLUX"	3
"VARIABLE SELECTION"	2
"VEGETABLE FATS AND OILS"	2
"VEGETABLE OIL"	11
"VEHICLE"	1
"VEHICLE FIRE TEMPERATURES"	1
"VEHICLES"	1
