TitleAbrevated	Fulltitle
BOT. HELV.	BOTANICA HELVETICA
BOT. GAZ.	BOTANICAL GAZETTE
BOT. J. LINN. SOC.	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY
BOT. MAG. TOKYO	BOTANICAL MAGAZINE TOKYO
BOT. REV.	BOTANICAL REVIEW
BOTAN. ORIENT.	BOTANICA ORIENTALIS
BOT. JAHRB. SYST. PFLANZENGESCH. PFLANZENGEOGR.	BOTANISCHE JAHRBÜCHER FÜR SYSTEMATIK, PFLANZENGESCHICHTE UND PFLANZENGEOGRAPHIE
BOT. CENT.BL.	BOTANISCHES CENTRALBLATT
BOT. ZTG.	BOTANISCHE ZEITUNG
BOUND.-LAYER METEOROL.	BOUNDARY-LAYER METEOROLOGY
BRENESIA	BRENESIA
BRIEFE BOTAN. GART. ZÜRICH	BRIEFE AUS DEM BOTANISCHEN GARTEN ZÜRICH
BR. ARCHAEOL. REP., BR. SER.	BRITISH ARCHAEOLOGICAL REPORTS, BRITISH SERIES
BR. BIRDS	BRITISH BIRDS
BR. J. POLIT. SCI	BRITISH JOURNAL OF POLITICAL SCIENCE
BR. J. SPORTS MED.	BRITISH JOURNAL OF SPORTS MEDICINE
BR. LICHEN SOC. BULL.	BRITISH LICHEN SOCIETY BULLETIN
BR. PHYCOL. J.	BRITISH PHYCOLOGICAL JOURNAL
BRYOLOGIST	BRYOLOGIST
BULL. ANGEW. GEOL.	BULLETIN ANGEWANDTE GEOLOGIE
BULL. BODENKD. GES. SCHWEIZ	BULLETIN BODENKUNDLICHE GESELLSCHAFT DER SCHWEIZ
BULL. MURITHIENNE	BULLETIN DE LA MURITHIENNE
BULL. SOC. BOT. FR.	BULLETIN DE LA SOCIÉTÉ BOTANIQUE DE FRANCE
BULL. SOC. ENTOMOL. FR.	BULLETIN DE LA SOCIÉTÉ ENTOMOLOGIQUE DE FRANCE
BULL. SOC. ENTOMOL. SUISSE	BULLETIN DE LA SOCIÉTÉ ENTOMOLOGIQUE SUISSE
BULL. SOC. FR. PHOTOGRAMM. TÉLÉDÉTECT.	BULLETIN DE LA SOCIÉTÉ FRANÇAISE DE PHOTOGRAMMÉTRIE ET TÉLÉDÉTECTION
BULL. SOC. FRIBG. SCI. NAT.	BULLETIN DE LA SOCIÉTÉ FRIBOURGEOISE DES SCIENCES NATURELLES
BULL. SOC. GÉOL. FR.	BULLETIN DE LA SOCIÉTÉ GÉOLOGIQUE DE FRANCE
BULL. SOC. MYCOL. FR.	BULLETIN DE LA SOCIÉTÉ MYCOLOGIQUE DE FRANCE
BULL. SOC. NEUCHÂTEL. SCI. NAT.	BULLETIN DE LA SOCIÉTÉ NEUCHÂTELOISE DES SCIENCES NATURELLES
BULL. SOC. R. BELG. ENTOMOL.	BULLETIN DE LA SOCIÉTÉ ROYAL BELGE DENTOMOLOGIE
BULL. SOC. R. SCI. LIÈGE	BULLETIN DE LA SOCIÉTÉ ROYALE DES SCIENCES DE LIÉGE
BULL. SOC. R. FOR. BELG.	BULLETIN DE LA SOCIÉTÉ ROYALE FORESTIÈRE DE BELGIQUE
BULL. SOC. VAUD. SCI. NAT.	BULLETIN DE LA SOCIÉTÉ VAUDOISE DES SCIENCES NATURELLES
BULL. ASSOC. DÉF. INTÉRÊTS JURA	BULLETIN DE L'ASSOCIATION POUR LA DÉFENSE DES INTÉRÊTS DU JURA
BULL. RECH. AGRON. GEMBLOUX	BULLETIN DES RECHERCHES AGRONOMIQUES DE GEMBLOUX
BULL. VULG. FOR.	BULLETIN DE VULGARISATION FORESTIÈRE
BULL. INF. OFF. NATL. FOR.	BULLETIN D'INFORMATION OFFICE NATIONAL DES FORÊTS
BULL. INF. TECH.	BULLETIN D'INFORMATIONS TECHNIQUES
BULL. CERCLE VAUDOIS BOT.	BULLETIN DU CERCLE VAUDOIS DE BOTANIQUE
BULL. E-GEO.CH	BULLETIN E-GEO.CH
BULL. FOR. COMM.	BULLETIN FORESTRY COMMISSION
BULL. GEOL. SOC. AM.	BULLETIN GEOLOGICAL SOCIETY OF AMERICA
BULL. GEOL. SURV. CAN.	BULLETIN GEOLOGICAL SURVEY OF CANADA
BULL. MENS. SOC. LINN. LYON	BULLETIN MENSUEL DE LA SOCIÉTÉ LINNÉENNE DE LYON
BULL. MYCOL. BOT.	BULLETIN MYCOLOGIQUE ET BOTANIQUE
BULL. ANIM. BEHAV.	BULLETIN OF ANIMAL BEHAVIOUR
BULL. ENG. GEOL. ENVIRON.	BULLETIN OF ENGINEERING GEOLOGY AND THE ENVIRONMENT
BULL. ENVIRON. CONTAM. TOXICOL.	BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY
BULL. INDONES. ECON. STUD.	BULLETIN OF INDONESIAN ECONOMIC STUDIES
BULL. AM. METEOROL. SOC.	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
BULL. AM. PHYS. SOC.	BULLETIN OF THE AMERICAN PHYSICAL SOCIETY
BULL. BIOGEOGR. SOC. JPN.	BULLETIN OF THE BIOGEOGRAPHICAL SOCIETY OF JAPAN
BULL. BR. MUS. NAT. HIST., BOT.	BULLETIN OF THE BRITISH MUSEUM OF NATURAL HISTORY, BOTANY
BULL. BR. MYCOL. SOC.	BULLETIN OF THE BRITISH MYCOLOGICAL SOCIETY
BULL. BR. ORNITHOL. CLUB	BULLETIN OF THE BRITISH ORNITHOLOGISTS CLUB
BULL. CALIF. AGRIC. EXP. STN.	BULLETIN OF THE CALIFORNIA AGRICULTURAL EXPERIMENT STATION
BULL. GEOBOT. INST. ETH	BULLETIN OF THE GEOBOTANICAL INSTITUTE ETH
BULL. GEOL. SOC. FINL.	BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND
BULL. INT. ASSOC. SCI. HYDROL.	BULLETIN OF THE INTERNATIONAL ASSOCIATION OF SCIENTIFIC HYDROLOGY
BULL. VOLCANOL.	BULLETIN OF VOLCANOLOGY
BULL. PEABODY MUS. NAT. HIST., YALE UNIV.	BULLETIN PEABODY MUSEUM OF NATURAL HISTORY, YALE UNIVERSITY
BULL. ROMAND ENTOMOL.	BULLETIN ROMAND D'ENTOMOLOGIE
BULL. SUISSE MYCOL.	BULLETIN SUISSE DE MYCOLOGIE
BULL. TECH. SUISSE ROMANDE	BULLETIN TECHNIQUE DE LA SUISSE ROMANDE
BÜNDNER JÄGER	BÜNDNER JÄGER
BÜNDNER MON.BL.	BÜNDNER MONATSBLATT
BÜNDNERWALD	BÜNDNERWALD
BÜNDNERWALD, BEIH.	BÜNDNERWALD, BEIHEFT
BÜRG. STAAT	BÜRGER IM STAAT
CAH. CENT. TECH. BOIS	CAHIER DU CENTRE TECHNIQUE DU BOIS
CALIF. AGRIC.	CALIFORNIA AGRICULTURE
CAN. ENTOMOL.	CANADIAN ENTOMOLOGIST
CAN. GEOGR.	CANADIAN GEOGRAPHER
CAN. GEOTECH. J.	CANADIAN GEOTECHNICAL JOURNAL
CAN. J. BOT.	CANADIAN JOURNAL OF BOTANY
CAN. J. EARTH SCI.	CANADIAN JOURNAL OF EARTH SCIENCES
CAN. J. FOR. RES.	CANADIAN JOURNAL OF FOREST RESEARCH
CAN. J. MICROBIOL.	CANADIAN JOURNAL OF MICROBIOLOGY
CAN. J. PLANT PATHOL.	CANADIAN JOURNAL OF PLANT PATHOLOGY
CAN. J. PLANT SCI.	CANADIAN JOURNAL OF PLANT SCIENCE
CAN. J. REMOTE SENS.	CANADIAN JOURNAL OF REMOTE SENSING
CAN. J. SOIL SCI.	CANADIAN JOURNAL OF SOIL SCIENCE
CAN. J. ZOOL.	CANADIAN JOURNAL OF ZOOLOGY
CANCER RES.	CANCER RESEARCH
CANDOLLEA	CANDOLLEA
CARBON MANAG.	CARBON MANAGEMENT
CARINTHIA II	CARINTHIA II
CARPATHIAN J. EARTH ENVIRON. SCI.	CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES
CARTOGR. GEOGR. INF. SCI.	CARTOGRAPHY AND GEOGRAPHIC INFORMATION SCIENCE
CATENA	CATENA
CELL BIOCHEM. BIOPHYS.	CELL BIOCHEMISTRY AND BIOPHYSICS
CELL. MOL. LIFE SCI.	CELLULAR AND MOLECULAR LIFE SCIENCE
CELL. MICROBIOL.	CELLULAR MICROBIOLOGY
CEM. CONCR. RES.	CEMENT AND CONCRETE RESEARCH
CENT.BL. GESAMTE FORSTWES.	CENTRALBLATT FÜR DAS GESAMTE FORSTWESEN
CENT. EUR. FOR.	CENTRAL EUROPEAN FORESTS
CEYLON FOR.	CEYLON FORESTER
CHEM. GEOL.	CHEMICAL GEOLOGY
CHEMOSPHERE	CHEMOSPHERE
CHIMIA	CHIMIA
CH-WILDINFO	CH-WILDINFO
CITIES ENVIRON.	CITIES AND THE ENVIRONMENT
CLAY MINER.	CLAY MINERALS
CLAYS CLAY MINER.	CLAYS AND CLAY MINERALS
CLIM. DYN.	CLIMATE DYNAMICS
CLIM. PAST	CLIMATE OF THE PAST
CLIM. POLICY	CLIMATE POLICY
CLIM. RES.	CLIMATE RESEARCH
CLIM. RISK MANAG.	CLIMATE RISK MANAGEMENT
CLIM. CHANG.	CLIMATIC CHANGE
CLIN. INFECT. DIS.	CLINICAL INFECTIOUS DISEASES
COENOSES	COENOSES
COGN. AFFECT. BEHAV. NEUROSCI.	COGNITIVE AFFECTIVE AND BEHAVIORAL NEUROSCIENCE
COLD REG. SCI. TECHNOL.	COLD REGIONS SCIENCE AND TECHNOLOGY
COLLOQ. PHYTOSOCIOL.	COLLOQUES PHYTOSOCIOLOGIQUES
COLON. PLANT ANIM. PROD.	COLONIAL PLANT AND ANIMAL PRODUCTS
COLON. WATERBIRDS	COLONIAL WATERBIRDS
COMMONW. FOR. REV.	COMMONWEALTH FORESTRY REVIEW
COMMUN. INST. FOR. FENN.	COMMUNICATIONES INSTITUTI FORESTALIS FENNIAE
COMMUN. SOIL SCI. PLANT ANAL.	COMMUNICATIONS IN SOIL SCIENCE AND PLANT ANALYSIS
COMMUN. STAT. THEORY METHODS	COMMUNICATIONS IN STATISTICS - THEORY AND METHODS
COMMUNIST POST-COMMUNIST STUD.	COMMUNIST AND POST-COMMUNIST STUDIES
COMMUNITY ECOL.	COMMUNITY ECOLOGY
COMP. BIOCHEM. PHYSIOL.	COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY
COMPTES RENDUS SÉANCE ACAD. AGRIC. FR.	COMPTES RENDUS DES SÉANCES DE L'ACADÉMIE D'AGRICULTURE DE FRANCE
COMPTES RENDUS HEBD. SÉANCES ACAD. SCI. PARIS	COMPTES RENDUS HEBDOMADAIRES DES SÉANCES DE L'ACADÉMIE DES SCIENCES, PARIS
COMPTES RENDUS PHYS.	COMPTES RENDUS PHYSIQUE
COMPUT. GEOSCI.	COMPUTATIONAL GEOSCIENCES
COMPUT. STAT. DATA ANAL.	COMPUTATIONAL STATISTICS AND DATA ANALYSIS
COMPUT. APPL. BIOSCI.	COMPUTER APPLICATIONS IN THE BIOSCIENCES
COMPUT. GRAPH. FORUM	COMPUTER GRAPHICS FORUM
COMPUT. PHYS. COMMUN.	COMPUTER PHYSICS COMMUNICATIONS
COMPUT. ELECTRON. AGRIC.	COMPUTERS AND ELECTRONICS IN AGRICULTURE
COMPUT. GEOTECH.	COMPUTERS AND GEOTECHNICS
COMPUT. ENVIRON. URBAN SYST.	COMPUTERS ENVIRONMENT AND URBAN SYSTEMS
COMPUT. SCI. ENG.	COMPUTING IN SCIENCE AND ENGINEERING
CONDOR	CONDOR
CONSERV. BIOL.	CONSERVATION BIOLOGY
CONSERV. GENET.	CONSERVATION GENETICS
CONSERV. GENET. RESOUR.	CONSERVATION GENETICS RESOURCES
CONSERV. LETT.	CONSERVATION LETTERS
CONTIN. MECH. THERMODYN.	CONTINUUM MECHANICS AND THERMODYNAMICS
CONTRIB. CENT. RES. INST. AGRIC. BOGOR	CONTRIBUTIONS FROM THE CENTRAL RESEARCH INSTITUTE FOR AGRICULTURE BOGOR
CONTRIB. U. S. NATL. HERB.	CONTRIBUTIONS FROM THE UNITED STATES NATIONAL HERBARIUM
COORD. CHEM. REV.	COORDINATION CHEMISTRY REVIEWS
CORAX	CORAX
CORNELL PLANT.	CORNELL PLANTATIONS
COURR. ENVIRON. INRA	COURRIER DE L'ENVIRONNEMENT DE L'INRA
COURR. EXPLOIT. SCIEUR	COURRIER DE L'EXPLOITANT ET DU SCIEUR
CRATSCHLA	CRATSCHLA
CROAT. J. FOR. ENG.	CROATIAN JOURNAL OF FOREST ENGINEERING
CRYOSPHERE	CRYOSPHERE
CRYPTOGAM. BOT.	CRYPTOGAMIC BOTANY
CURR. ISSUES TOUR.	CURRENT ISSUES IN TOURISM
CURR. OPIN. ENVIRON. SUSTAINABILITY	CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY
CURR. OPIN. PLANT BIOL.	CURRENT OPINION IN PLANT BIOLOGY
CURR. SCI.	CURRENT SCIENCE
DAVOS. REV.	DAVOSER REVUE
DEEP-SEA RES. II	DEEP-SEA RESEARCH II
DENDROCHRONOLOGIA	DENDROCHRONOLOGIA
DENDRONATURA	DENDRONATURA
DENKSCHR. SCHWEIZ. NAT.FORSCH. GES.	DENKSCHRIFTEN DER SCHWEIZERISCHEN NATURFORSCHENDEN GESELLSCHAFT
DTSCH. BAUMSCH.	DEUTSCHE BAUMSCHULE
DTSCH. GEWÄSSERKDL. MITT.	DEUTSCHE GEWÄSSERKUNDLICHE MITTEILUNGEN
DTSCH. HYDROGR. Z.	DEUTSCHE HYDROGRAPHISCHE ZEITSCHRIFT
DTSCH. JÄGER-ZTG.	DEUTSCHE JÄGER-ZEITUNG
DEV. CHANG.	DEVELOPMENT AND CHANGE
DISS. BOT.	DISSERTATIONES BOTANICAE
DIVERSITY	DIVERSITY
DIVERS. DISTRIB.	DIVERSITY AND DISTRIBUTIONS
DOC. FAUN. HELV.	DOCUMENTA FAUNISTICA HELVETIAE
DOC. MYCOL.	DOCUMENTS MYCOLOGIQUES
DOC. PHYTOSOCIOL., NOUV. SÉR.	DOCUMENTS PHYTOSOCIOLOGIQUES, NOUVELLE SÉRIE
DOK. BODENKD. GES. SCHWEIZ	DOKUMENT BODENKUNDLICHE GESELLSCHAFT DER SCHWEIZ
DOK. INF. SCHWEIZ. ORTS- REG.- LANDESPLAN., DISP	DOKUMENTE UND INFORMATIONEN ZUR SCHWEIZERISCHEN ORTS-, REGIONAL- UND LANDESPLANUNG, DISP
DOMEST. ANIM. ENDOCRINOL.	DOMESTIC ANIMAL ENDOCRINOLOGY
DROSERA	DROSERA
EARTH PLANET. SCI. LETT.	EARTH AND PLANETARY SCIENCE LETTERS
EARTH INTERACT.	EARTH INTERACTIONS
EARTH-SCI. REV.	EARTH-SCIENCE REVIEWS
EARTH SURF. DYN.	EARTH SURFACE DYNAMICS
EARTH SURF. PROCESS. LANDF.	EARTH SURFACE PROCESSES AND LANDFORMS
ECLOGAE GEOL. HELV.	ECLOGAE GEOLOGICAE HELVETIAE
ECOGRAPHY	ECOGRAPHY
ECOHYDROL. HYDROBIOL.	ECOHYDROLOGY AND HYDROBIOLOGY
ECOHYDROLOGY	ECOHYDROLOGY
ECOL. MEDITERR.	ECOLOGIA MEDITERRANEA
ECOL. APPL.	ECOLOGICAL APPLICATIONS
ECOL. COMPLEXITY	ECOLOGICAL COMPLEXITY
ECOL. ECON.	ECOLOGICAL ECONOMICS
ECOL. ENG.	ECOLOGICAL ENGINEERING
ECOL. ENTOMOL.	ECOLOGICAL ENTOMOLOGY
ECOL. INDIC.	ECOLOGICAL INDICATORS
ECOL. MANAGE. RESTOR.	ECOLOGICAL MANAGEMENT AND RESTORATION
ECOL. MODEL.	ECOLOGICAL MODELLING
ECOL. MONOGR.	ECOLOGICAL MONOGRAPHS
ECOL. RES.	ECOLOGICAL RESEARCH
ECOL. STUD.	ECOLOGICAL STUDIES
ECOL. ENVIRON. SCI.	ECOLOGY AND ENVIRONMENTAL SCIENCE
ECOL. EVOL.	ECOLOGY AND EVOLUTION
ECOL. SOC.	ECOLOGY AND SOCIETY
ECOL. LETT.	ECOLOGY LETTERS
ECOLOGY	ECOLOGY
ECON. BOT.	ECONOMIC BOTANY
ECON. GEOGR.	ECONOMIC GEOGRAPHY
ECON. AGRIC.	ECONOMIE AGRICOLE
ECOSPHERE	ECOSPHERE
ECOSYST. SERV.	ECOSYSTEM SERVICES
ECOSYSTEMS	ECOSYSTEMS
ECOTOXICOL. ENVIRON. SAF.	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY
EISZEITALT. GGW.	EISZEITALTER UND GEGENWART
EKOLOGIA (CSSR)	EKOLOGIA (CSSR)
ELECTRON MICROSC.	ELECTRON MICROSCOPY
ENDANGER. SPECIES RES.	ENDANGERED SPECIES RESEARCH
ENERGY BUILD.	ENERGY AND BUILDINGS
ENERGY POLICY	ENERGY POLICY
ENG. GEOL.	ENGINEERING GEOLOGY
ENG. STRUCT.	ENGINEERING STRUCTURES
ENTOMOFAUNA	ENTOMOFAUNA
ENTOMO HELV.	ENTOMO HELVETICA
ENTOMOL. EXP. APPL.	ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA
ENTOMOL. GEN.	ENTOMOLOGIA GENERALIS
ENTOMOL. BER. LUZERN	ENTOMOLOGISCHE BERICHTE LUZERN
ENTOMOL. NACHR. BERL.	ENTOMOLOGISCHE NACHRICHTEN BERLIN
ENTOMOL. Z.	ENTOMOLOGISCHE ZEITSCHRIFT
ENTREP. REG. DEV.	ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT
ENVIRON. ECOL. STAT.	ENVIRONMENTAL AND ECOLOGICAL STATISTICS
ENVIRON. EXP. BOT.	ENVIRONMENTAL AND EXPERIMENTAL BOTANY
ENVIRON. RESOUR. ECON.	ENVIRONMENTAL AND RESOURCE ECONOMICS
ENVIRON. CONSERV.	ENVIRONMENTAL CONSERVATION
ENVIRON. ENTOMOL.	ENVIRONMENTAL ENTOMOLOGY
ENVIRON. ETHICS	ENVIRONMENTAL ETHICS
ENVIRON. GEOCHEM. HEALTH	ENVIRONMENTAL GEOCHEMISTRY AND HEALTH
ENVIRON. GEOL. WATER SCI.	ENVIRONMENTAL GEOLOGY AND WATER SCIENCES
ENVIRON. GEOL.	ENVIRONMENTAL GEOLOGY
ENVIRON. HEALTH PERSPECT.	ENVIRONMENTAL HEALTH PERSPECTIVES
ENVIRON. HIST. NEWSL.	ENVIRONMENTAL HISTORY NEWSLETTER
ENVIRON. IMPACT ASSESS. REV.	ENVIRONMENTAL IMPACT ASSESSMENT REVIEW
ENVIRON. MANAGE.	ENVIRONMENTAL MANAGEMENT
ENVIRON. MICROBIOL.	ENVIRONMENTAL MICROBIOLOGY
ENVIRON. MICROBIOL. REP.	ENVIRONMENTAL MICROBIOLOGY REPORTS
ENVIRON. MODEL. ASSESS.	ENVIRONMENTAL MODELING AND ASSESSMENT
ENVIRON. MODEL. SOFTW.	ENVIRONMENTAL MODELLING AND SOFTWARE[R]
ENVIRON. MONIT. ASSESS.	ENVIRONMENTAL MONITORING AND ASSESSMENT
ENVIRON. POLICY GOVERNANCE	ENVIRONMENTAL POLICY AND GOVERNANCE
ENVIRON. POLICY LAW	ENVIRONMENTAL POLICY AND LAW
ENVIRON. POLLUT.	ENVIRONMENTAL POLLUTION
ENVIRON. RES. LETT.	ENVIRONMENTAL RESEARCH LETTERS
ENVIRON. REV.	ENVIRONMENTAL REVIEW
ENVIRON. SCI. POLICY	ENVIRONMENTAL SCIENCE AND POLICY
ENVIRON. SCI. POLLUT. RES.	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH
ENVIRON. SCI. TECHNOL.	ENVIRONMENTAL SCIENCE AND TECHNOLOGY
ENVIRON. TOXICOL. CHEM.	ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY
ENVIRON. VALUES	ENVIRONMENTAL VALUES
ENVIRON. BEHAV.	ENVIRONMENT AND BEHAVIOR
ENVIRON. DEV. ECON.	ENVIRONMENT AND DEVELOPMENT ECONOMICS
ENVIRON. HIST.	ENVIRONMENT AND HISTORY
ENVIRON. PLAN. B - PLAN. DES.	ENVIRONMENT AND PLANNING B - PLANNING AND DESIGN
ENVIRON. PLAN. C GOV. PRACT.	ENVIRONMENT AND PLANNING C: GOVERNMENT AND PRACTICE
ENVIRON. INT.	ENVIRONMENT INTERNATIONAL
ENVIRONMETRICS	ENVIRONMETRICS
ENZYM. MICROB. TECHNOL.	ENZYME AND MICROBIAL TECHNOLOGY
EOS, TRANS. AM. GEOPHYS. UNION	EOS, TRANSACTIONS, AMERICAN GEOPHYSICAL UNION
EPL	EPL
ERDKUNDE	ERDKUNDE
ERDKUND. WISSEN	ERDKUNDLICHES WISSEN
ERGEB. WISS. UNTERS. SCHWEIZ. NATL.PARK	ERGEBNISSE DER WISSENSCHAFTLICHEN UNTERSUCHUNGEN IM SCHWEIZERISCHEN NATIONALPARK
ESPER. RIC.	ESPERIENZE E RICERCHE
ES +T	ES + T
ETFRN NEWSLETTER	ETFRN (EUROPEAN TROPICAL FOREST RESEARCH NETWORK) NEWSLETTER
ETHIK GES.	ETHIK UND GESELLSCHAFT
ETHOLOGY	ETHOLOGY
ETUD. GEST. SOLS	ETUDE ET GESTION DES SOLS
EURASIAN SOIL SCI.	EURASIAN SOIL SCIENCE
EUR. J. CELL BIOL.	EUROPEAN JOURNAL OF CELL BIOLOGY
EUR. J. ENTOMOL.	EUROPEAN JOURNAL OF ENTOMOLOGY
EUR. J. FOR. PATHOL.	EUROPEAN JOURNAL OF FOREST PATHOLOGY
EUR. J. FOR. RES.	EUROPEAN JOURNAL OF FOREST RESEARCH
EUR. J. PLANT PATHOL.	EUROPEAN JOURNAL OF PLANT PATHOLOGY
EUR. J. SOC. THEORY	EUROPEAN JOURNAL OF SOCIAL THEORY
EUROP. J. SOIL BIOL.	EUROPEAN JOURNAL OF SOIL BIOLOGY
EUR. J. SOIL SCI.	EUROPEAN JOURNAL OF SOIL SCIENCE
EUR. J. WILDL. RES.	EUROPEAN JOURNAL OF WILDLIFE RESEARCH
EUR. MOL. BIOL. ORGAN. J.	EUROPEAN MOLECULAR BIOLOGY ORGANIZATION JOURNAL
EUR. PLAN. STUD.	EUROPEAN PLANNING STUDIES
EVOL. BIOL.	EVOLUTIONARY BIOLOGY
EVOL. ECOL.	EVOLUTIONARY ECOLOGY
EVOL. ECOL. RES.	EVOLUTIONARY ECOLOGY RESEARCH
EVOLUTION	EVOLUTION
EXP. APPL. ACAROL.	EXPERIMENTAL AND APPLIED ACAROLOGY
EXP. BOT.	EXPERIMENTAL BOTANY
EXP. MYCOL.	EXPERIMENTAL MYCOLOGY
EXTREMOPHILES	EXTREMOPHILES
FAN AGENDA	FACHLEUTE NATURGEFAHREN SCHWEIZ AGENDA
FALKE	FALKE
FAO FOR. DEV. PAP.	FAO FORESTRY DEVELOPMENT PAPER
FEDDES REPERT.	FEDDES REPERTORIUM
FED. EUR. BIOCHEM. SOC. LETT.	FEDERATION OF EUROPEAN BIOCHEMICAL SOCIETIES LETTERS
FEEM - NOTA LAV.	FEEM - NOTA DI LAVORO
FELSBAU MAG.	FELSBAU MAGAZIN
FEMS MICROBIOL. ECOL.	FEMS MICROBIOLOGY ECOLOGY
FERNERKUND. PHOTOGRAMM.	FERNERKUNDUNG UND PHOTOGRAMMETRIE
FERTIL. RES.	FERTILIZER RESEARCH
FIELD STUD.	FIELD STUDIES
FIRE ECOL.	FIRE ECOLOGY
FIS-BULL.	FIS-BULLETIN
FISH. AQUAT. SCI.	FISHERIES AND AQUATIC SCIENCES
FLEDERMAUS- ANZ.	FLEDERMAUS-ANZEIGER
FLORA	FLORA
FLA. SCI.	FLORIDA SCIENTIST
FLORIST. RD.BR.	FLORISTISCHE RUNDBRIEFE
FOLIA CRYPTOGAM. EST.	FOLIA CRYPTOGAMICA ESTONICA
FOLIA FOR. POL.	FOLIA FORESTALIA POLONICA
FOLIA GEOBOT. PHYTOTAXON.	FOLIA GEOBOTANICA ET PHYTOTAXONOMICA
FOLIA ZOOL.	FOLIA ZOOLOGICA
FOOD NUTR. BULL.	FOOD AND NUTRITION BULLETIN
FOOD QUAL. PREFER.	FOOD QUALITY AND PREFERENCE
FOR. LANDSC. RES.	FOREST AND LANDSCAPE RESEARCH
FORESTAVIVA	FORESTAVIVA
FOR. ECOL. MANAGE.	FOREST ECOLOGY AND MANAGEMENT
FOR. ECOSYST.	FOREST ECOSYSTEMS
FOR. GENET.	FOREST GENETICS
FOR. IND.	FOREST INDUSTRIES
FOR. INSECT DIS. LEAFL.	FOREST INSECT & DISEASE LEAFLET
FOR. PATHOL.	FOREST PATHOLOGY
FOR. POLICY ECON.	FOREST POLICY AND ECONOMICS
FOR. PROD. J.	FOREST PRODUCTS JOURNAL
FOR. RES. INF. PAP.	FOREST RESEARCH INFORMATION PAPER
FOR. ABSTR.	FORESTRY ABSTRACTS
FOR. CHRON.	FORESTRY CHRONICLE
FORESTRY	FORESTRY
FOR. TECH. REP.	FORESTRY TECHNICAL REPORT
FOR. SCI.	FOREST SCIENCE
FOR. SNOW LANDSC. RES.	FOREST SNOW AND LANDSCAPE RESEARCH
FORESTS	FORESTS
FORÊT	FORÊT
FOR. MÉDITERR.	FORÊT MÉDITERRANÉENNE
FOR. FR.	FORÊTS DE FRANCE
FOR. FR. ACTION FOR.	FORÊTS DE FRANCE ET ACTION FORESTIÈRE
FORÊT SUISSE	FORÊT SUISSE
FORSCH. KOMPLEMENTÄRMED.	FORSCHENDE KOMPLEMENTÄRMEDIZIN
FORSCH.BER. FORSTL. FORSCH.ANST. MÜNCH.	FORSCHUNGSBERICHT FORSTLICHE FORSCHUNGSANSTALT MÜNCHEN
FORSTARCHIV	FORSTARCHIV
FORSTL. FORSCH.BER. MÜNCH.	FORSTLICHE FORSCHUNGSBERICHTE MÜNCHEN
FORSTL. RUNDSCH.	FORSTLICHE RUNDSCHAU
FORSTL. UMSCH.	FORSTLICHE UMSCHAU
FORSTL.-NAT.WISS. Z.	FORSTLICH-NATURWISSENSCHAFTLICHE ZEITSCHRIFT
FORSTL. FORSØGSVAES. DAN.	FORSTLIGE FORSØGSVAESEN I DANMARK
FORSTSCHUTZ BULL.	FORSTSCHUTZ BULLETIN
FORSTTECH. INF.	FORSTTECHNISCHE INFORMATIONEN
FORST HOLZ	FORST UND HOLZ
FORST- HOLZWIRT	FORST- UND HOLZWIRT
FORSTWISS. CENT.BL.	FORSTWISSENSCHAFTLICHES CENTRALBLATT
FORSTZTG.	FORSTZEITUNG
FORUM HYDROL. WASSERBEWIRTSCH.	FORUM FÜR HYDROLOGIE UND WASSERBEWIRTSCHAFTUNG
FRAGM. FLOR. GEOBOT.	FRAGMENTA FLORISTICA ET GEOBOTANICA
FREIBG. BODENKD. ABH.	FREIBURGER BODENKUNDLICHE ABHANDLUNGEN
FREIBG. GEOGR. HEFTE	FREIBURGER GEOGRAPHISCHE HEFTE
FREIBG. SCHR. HYDROL.	FREIBURGER SCHRIFTEN ZUR HYDROLOGIE
FRESHWATER BIOL.	FRESHWATER BIOLOGY
FRONT. ECOL. EVOL.	FRONTIERS IN ECOLOGY AND EVOLUTION
FRONT. ECOL. ENVIRON.	FRONTIERS IN ECOLOGY AND THE ENVIRONMENT
FRONT. MICROBIOL.	FRONTIERS IN MICROBIOLOGY
FRONT. PLANT SCI.	FRONTIERS IN PLANT SCIENCE
FRONT. BIOGEOGR.	FRONTIERS OF BIOGEOGRAPHY
FRONT. EARTH SCI.	FRONTIERS OF EARTH SCIENCE
FRUTTICOLTURA	FRUTTICOLTURA
FUNCT. ECOL.	FUNCTIONAL ECOLOGY
FUNCT. PLANT BIOL.	FUNCTIONAL PLANT BIOLOGY
