Original,Corrected
CASTINGS OF COMPLEX STEREOMETRIC SAMPLES FOR PROFICIENCY TESTS IN FIREARM AND TOOL MARK EXAMINATIONS,CASTINGS OF COMPLEX STEREOMETRIC SAMPLES FOR PROFICIENCY TESTS IN FIREARM AND TOOL MARK EXAMINATION
CHEMISTRY PHARMACOLOGY TOXICOLOGY AND HEPATIC METABOLISM OF DESIGNER DRUGS OF THE AMPHETAMINE ECSTASY  PIPERAZINE AND PYRROLIDINOPHENONE TYPES A SYNOPSIS,CHEMISTRY PHARMACOLOGY TOXICOLOGY AND HEPATIC METABOLISM OF DESIGNER DRUGS OF THE AMPHETAMINE ECSTASY PIPERAZINE AND PYRROLIDINOPHENONE TYPES A SYNOPSIS
COMPARISON SCANNING ELECTRON MICROSCOPY IN FORENSIC SCIENCE FROM THE BEGINNING OF THE ELECTRON MICROSCOPY TOWARDS COMPARISON VARIABLE PRESSURE SEM IMAGING IN FIREARMS AND TOOL MARKS EXAMINATIONS,COMPARISON SCANNING ELECTRON MICROSCOPY IN FORENSIC SCIENCE FROM THE BEGINNING OF ELECTRON MICROSCOPY TOWARDS COMPARISON VARIABLE PRESSURE SEM IMAGING IN FIREARMS AND TOOL MARKS EXAMINATIONS
CROSS REACTIVITIES AND STRUCTURE REACTIVITY RELATIONSHIPS OF SIX BENZODIAZEPINES TO EMITA A IMMUNOASSAY,CROSS REACTIVITIES AND STRUCTURE REACTIVITY RELATIONSHIPS OF SIX BENZODIAZEPINES TO EMIT IMMUNOASSAY
DESIGNER DRUGS 2 5 DIMETHOXY 4 BROMO AMPHETAMINE DOB AND 2 5 DIMETHOXY 4 BROMO METHAMPHETAMINE MDOB  STUDIES ON THEIR METABOLISM AND TOXICOLOGICAL DETECTION IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES,DESIGNER DRUGS 2 5 DIMETHOXY 4 BROMO AMPHETAMINE DOB AND 2 5 DIMETHOXY 4 BROMO METHAMPHETAMINE MDOB STUDIES ON THEIR METABOLISM AND TOXICOLOGICAL DETECTION IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES
DETERMINING THE NUMBER OF TEST FIRES NEEDED TO REPRESENT THE VARIABILITY PRESENT WITHIN 9 MM LUGER FIREARMS,DETERMINING THE NUMBER OF TEST FIRES NEEDED TO REPRESENT THE VARIABILITY PRESENT WITHIN 9MM LUGER FIREARMS
DEVELOPMENT OF METHODS IN CE CE MS AND MS  MS APPLICATIONS IN PHARMACEUTICAL BIOMEDICAL AND FORENSIC SCIENCES,DEVELOPMENT OF METHODS IN CE CE MS AND MS MS APPLICATIONS IN PHARMACEUTICAL BIOMEDICAL AND FORENSIC SCIENCES
DEVELOPMENT OF SIMULTANEOUS GAS CHROMATOGRAPHY MASS SPECTROMETRIC AND LIQUID CHROMATOGRAPHY ELECTROSPRAY IONIZATION MASS SPECTROMETRIC DETERMINATION METHOD FOR THE NEW DESIGNER DRUGS N BENZYLPIPERAZINE BZP  1 3 TRIFLUOROMETHYLPHENYL PIPERAZINE TFMPP AND THEIR MAIN METABOLITES IN URINE,DEVELOPMENT OF SIMULTANEOUS GAS CHROMATOGRAPHY MASS SPECTROMETRIC AND LIQUID CHROMATOGRAPHY ELECTROSPRAY IONIZATION MASS SPECTROMETRIC DETERMINATION METHOD FOR THE NEW DESIGNER DRUGS N BENZYLPIPERAZINE BZP 1 3 TRIFLUOROMETHYLPHENYL PIPERAZINE TFMPP AND THEIR MAIN METABOLITES IN URINE
DIAGNOSTIC EFFICIENCY OF DIFFERENT AMPHETAMINE SCREENING TESTS  THE SEARCH FOR AN OPTIMAL CUTOFF,DIAGNOSTIC EFFICIENCY OF DIFFERENT AMPHETAMINE SCREENING TESTS THE SEARCH FOR AN OPTIMAL CUTOFF
HOW UNIQUE ARE IMPRESSED TOOLMARKS  AN EMPERICAL STUDY OF 20 WORN HAMMER FACES,HOW UNIQUE ARE IMPRESSED TOOLMARKS AN EMPIRICAL STUDY OF 20 WORN HAMMER FACES
IDENTIFICATION OF PRODUCTION TOOLMAKRS INSIDE CARTRIDGE CASES,IDENTIFICATION OF PRODUCTION TOOLMARKS INSIDE CARTRIDGE CASES
IDENTIFICATION OF TWO NEW TYPE SYNTHETIC CANNABINOIDS N 1 ADAMANTYL 1 PENTYL 1H INDOLE 3 CARBOXAMIDE APICA AND N 1 ADAMANTYL 1 PENTYL 1H INDAZOLE 3 CARBOXAMIDE APINACA  AND DETECTION OF FIVE SYNTHETIC CANNABINOIDS AM 1220 AM 2233 AM 1241 CB 13 CRA 13  AND AM 1248 AS DESIGNER DRUGS IN ILLEGAL PRODUCTS,IDENTIFICATION OF TWO NEW TYPE SYNTHETIC CANNABINOIDS N 1 ADAMANTYL 1 PENTYL 1H INDOLE 3 CARBOXAMIDE APICA AND N 1 ADAMANTYL 1 PENTYL 1H INDAZOLE 3 CARBOXAMIDE APINACA AND DETECTION OF FIVE SYNTHETIC CANNABINOIDS AM 1220 AM 2233 AM 1241 CB 13 CRA 13 AND AM 1248 AS DESIGNER DRUGS IN ILLEGAL PRODUCTS
INCREASES IN FENTANYL RELATED OVERDOSE DEATHS A A A  FLORIDA AND OHIO 2013 2015,INCREASES IN FENTANYL RELATED OVERDOSE DEATHS A FLORIDA AND OHIO 2013 2015
LC HIGH RESOLUTION MS MS FOR IDENTIFICATION OF 69 METABOLITES OF THE NEW PSYCHOACTIVE SUBSTANCE 1 4 ETHYLPHENYL  N  2 METHOXYPHENYL METHYL PROPANE 2 AMINE 4 EA NBOME IN RAT URINE AND HUMAN LIVER S9 INCUBATES AND COMPARISON OF ITS SCREENING POWER WITH FURTHER MS TECHNIQUES,LC HIGH RESOLUTION MS MS FOR IDENTIFICATION OF 69 METABOLITES OF THE NEW PSYCHOACTIVE SUBSTANCE 1 4 ETHYLPHENYL N 2 METHOXYPHENYL METHYL PROPANE 2 AMINE 4 EA NBOME IN RAT URINE AND HUMAN LIVER S9 INCUBATES AND COMPARISON OF ITS SCREENING POWER WITH FURTHER MS TECHNIQUES
LIQUID CHROMATOGRAPHY MASS SPECTROMETRY IN ANABOLIC STEROID ANALYSIS  OPTIMIZATION AND COMPARISON OF THREE IONIZATION TECHNIQUES ELECTROSPRAY IONIZATION ATMOSPHERIC PRESSURE CHEMICAL IONIZATION AND ATMOSPHERIC PRESSURE PHOTOIONIZATION,LIQUID CHROMATOGRAPHY MASS SPECTROMETRY IN ANABOLIC STEROID ANALYSIS OPTIMIZATION AND COMPARISON OF THREE IONIZATION TECHNIQUES ELECTROSPRAY IONIZATION ATMOSPHERIC PRESSURE CHEMICAL IONIZATION AND ATMOSPHERIC PRESSURE PHOTOIONIZATION
LIQUID CHROMATOGRAPHIC MASS SPECTROMETRY IN FORENSIC TOXICOLOGY,LIQUID CHROMATOGRAPHY MASS SPECTROMETRY IN FORENSIC TOXICOLOGY
MDPV AND AZA PVP USE IN HUMANS THE TWISTED SISTERS,MDPV AND PVP USE IN HUMANS THE TWISTED SISTERS
METACHLOROPHENYLPIPERAZINE MCPP  A NEW DESIGNER DRUG LA M TACHLOROPH NYLPIP RAZINE MCPP  UNE NOUVELLE DROGUE DE SYNTH SE,METACHLOROPHENYLPIPERAZINE MCPP A NEW DESIGNER DRUG LA METACHLOROPHENYLPIPERAZINE MCPP UNE NOUVELLE DROGUE DE SYNTHESE
MORPHOLOGICAL IMPRINT  DETERMINATION OF THE INJURY CAUSING WEAPON FROM THE WOUND MORPHOLOGY USING FORENSIC 3D CAD SUPPORTED PHOTOGRAMMETRY,MORPHOLOGICAL IMPRINT DETERMINATION OF THE INJURY CAUSING WEAPON FROM THE WOUND MORPHOLOGY USING FORENSIC 3D CAD SUPPORTED PHOTOGRAMMETRY
NEW DESIGNER DRUG AZA PYRROLIDINOVALEROPHENONE PVP  STUDIES ON ITS METABOLISM AND TOXICOLOGICAL DETECTION IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES,NEW DESIGNER DRUG A PYRROLIDINOVALEROPHENONE PVP STUDIES ON ITSMETABOLISM AND TOXICOLOGICAL DETECTION IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES
NEW DESIGNER DRUG N 1 PHENYLCYCLOHEXYL 3 ETHOXYPROPANAMINE PCEPA  STUDIES ON ITS METABOLISM AND TOXICOLOGICAL DETECTION IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES,NEW DESIGNER DRUG N 1 PHENYLCYCLOHEXYL 3 ETHOXYPROPANAMINE PCEPA STUDIES ON ITS METABOLISM AND TOXICOLOGICAL DETECTION IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES
NEW  PARTY PILL COMPONENTS IN NEW ZEALAND THE SYNTHESIS AND ANALYSIS OF SOME  KETONE ANALOGUES OF 3 4 METHYLENEDIOXYMETHAMPHETAMINE MDMA INCLUDING K DMBDB  KETONE N N DIMETHYL 1 1 3 BENZODIOXOL 5 YL 2 BUTANAMINE,NEW PARTY PILL COMPONENTS IN NEW ZEALAND THE SYNTHESIS AND ANALYSIS OF SOME AY KETONE ANALOGUES OF 3 4 METHYLENEDIOXYMETHAMPHETAMINE MDMA INCLUDING AYK DMBDB AY KETONE N N DIMETHYL 1 1 3 BENZODIOXOL 5 YL 2 BUTANAMINE
ON SITE TESTING OF ILLICIT DRUGS THE USE OF THE DRUG TESTING DEVICE TOXIQUICK Æ,ON SITE TESTING OF ILLICIT DRUGS THE USE OF THE DRUG TESTING DEVICE TOXIQUICK
OSMOLALITY  A NOVEL AND SENSITIVE TOOL FOR DETECTION OF TAMPERING OF BEVERAGES ADULTERATED WITH ETHANOL AƑA A A BUTYROLACTONE AND 1 4 BUTANEDIOL AND FOR DETECTION OF DILUTIONTAMPERED DEMEROL SYRINGES,OSMOLALITY A NOVEL AND SENSITIVE TOOL FOR DETECTION OF TAMPERING OF BEVERAGES ADULTERATED WITH ETHANOL G BUTYROLACTONE AND 1 4 BUTANEDIOL AND FOR DETECTION OF DILUTIONTAMPERED DEMEROL SYRINGES
OVERDOSE DEATHS RELATED TO FENTANYL AND ITS ANALOGS  OHIO JANUARY FEBRUARY 2017,OVERDOSE DEATHS RELATED TO FENTANYL AND ITS ANALOGS OHIO JANUARY FEBRUARY 2017
PRACTICAL SOLUTIONS TO COGNITIVE AND HUMAN HUMAN FACTOR CHALLENGES IN FORENSIC SCIENCE,PRACTICAL SOLUTIONS TO COGNITIVE AND HUMAN FACTOR CHALLENGES IN FORENSIC SCIENCE
PRAXIS COMBINED  RAMAN AND  XRF SPECTROMETERS IN THE EXAMINATION OF FORENSIC SAMPLES,PRAXIS COMBINED RAMAN AND XRF SPECTROMETERS IN THE EXAMINATION OF FORENSIC SAMPLES
PROPOSED CONGRUENT MATCHING CELLS CMC  METHOD FOR BALLISTIC IDENTIFICATION AND ERROR RATE ESTIMATION,PROPOSED CONGRUENT MATCHING CELLS CMC METHOD FOR BALLISTIC IDENTIFICATION AND ERROR RATE ESTIMATION
PROPOSED NIST BALLISTICS IDENTIFICATION SYSTEM NBIS  BASED ON 3D TOPOGRAPHY MEASUREMENTS ON CORRELATION CELLS,PROPOSED NIST BALLISTICS IDENTIFICATION SYSTEM NBIS BASED ON 3D TOPOGRAPHY MEASUREMENTS ON CORRELATION CELLS
AZA PYRROLIDINOPENTIOPHENONE FLAKKA CATALYZING CATATONIA A CASE REPORT AND LITERATURE REVIEW,PYRROLIDINOPENTIOPHENONE FLAKKA CATALYZING CATATONIA A CASE REPORT AND LITERATURE REVIEW
AZA PYRROLIDINOPHENONES A NEW WAVE OF DESIGNER CATHINONES,PYRROLIDINOPHENONES A NEW WAVE OF DESIGNER CATHINONES
RAPID COLORIMETRIC SCREENING TEST FOR AZA HYDROXYBUTYRIC ACID LIQUID X IN HUMAN URINE,RAPID COLORIMETRIC SCREENING TEST FOR G HYDROXYBUTYRIC ACID LIQUID X IN HUMAN URINE
RECOGNIZING DRUG FACILITATED CRIMES DETECTION AND QUANTIFICATION OF BENZODIAZEPINES IN BEVERAGES USING FAST LIQUIDA A A ŒLIQUID EXTRACTION WITH LOW TEMPERATURE PARTITIONING AND PAPER SPRAY MASS SPECTROMETRY,RECOGNIZING DRUG FACILITATED CRIMES DETECTION AND QUANTIFICATION OF BENZODIAZEPINES IN BEVERAGES USING FAST LIQUIDA LIQUID EXTRACTION WITH LOW TEMPERATURE PARTITIONING AND PAPER SPRAY MASS SPECTROMETRY
REPORTING IDENTIFICATIONS  AN UPDATE TO REPORT CONCLUSIONS ADOPTED AT THE CENTRE OF FORENSIC SCIENCES,REPORTING IDENTIFICATIONS AN UPDATE TO REPORT CONCLUSIONS ADOPTED AT THE CENTRE OF FORENSIC SCIENCES
REVIEW LC COUPLED TO LOW AND HIGH RESOLUTION MASS SPECTROMETRY FOR NEW PSYCHOACTIVE SUBSTANCE SCREENING IN BIOLOGICAL MATRICES  WHERE DO WE STAND TODAY,REVIEW LC COUPLED TO LOW AND HIGH RESOLUTION MASS SPECTROMETRY FOR NEW PSYCHOACTIVE SUBSTANCE SCREENING IN BIOLOGICAL MATRICES WHERE DO WE STAND TODAY
SIMULTANEOUS ANALYSIS OF THEBAINE 6 MAM AND SIX ABUSED OPIATES IN POSTMORTEM FLUIDS AND TISSUES USING ZYMARK Æ AUTOMATED SOLID PHASE EXTRACTION AND GAS CHROMATOGRAPHY MASS SPECTROMETRY,SIMULTANEOUS ANALYSIS OF THEBAINE 6 MAM AND SIX ABUSED OPIATES IN POSTMORTEM FLUIDS AND TISSUES USING ZYMARKA AUTOMATED SOLID PHASE EXTRACTION AND GAS CHROMATOGRAPHY MASS SPECTROMETRY
SOIL EXAMINATION FOR A FORENSIC TRACE EVIDENCE LABORATORY  PART 2 ELEMENTAL ANALYSIS,SOIL EXAMINATION FOR A FORENSIC TRACE EVIDENCE LABORATORY PART 2 ELEMENTAL ANALYSIS
STUDIES ON THE METABOLISM AND TOXICOLOGICAL DETECTION OF THE DESIGNER DRUG 2 5 DIMETHOXY 4 METHYL Œ PHENETHYLAMINE 2C D IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES,STUDIES ON THE METABOLISM AND TOXICOLOGICAL DETECTION OF THE DESIGNER DRUG 2 5 DIMETHOXY 4 METHYL AY PHENETHYLAMINE 2C D IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES
STUDIES ON THE METABOLISM AND TOXICOLOGICAL DETECTION OF THE DESIGNER DRUG 4 ETHYL 2 5 DIMETHOXY Œ PHENETHYLAMINE 2C E IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES,STUDIES ON THE METABOLISM AND TOXICOLOGICAL DETECTION OF THE DESIGNER DRUG 4 ETHYL 2 5 DIMETHOXY AY PHENETHYLAMINE 2C E IN RAT URINE USING GAS CHROMATOGRAPHIC MASS SPECTROMETRIC TECHNIQUES
SURFACE TOPOGRAPHY ANALYSIS FOR A FEASIBILITY ASSESSMENT OF A NATIONAL BALLISTICS IMAGING DATABASE,SURFACE TOPOGRAPHY ANALYSIS FOR A FEASIBILITY ASSESSMENT OF A NATIONAL BALLISTICS IMAGING DATABASE GAITHERSBURG MD
THE ADSORPTION OF METHAMPHETAMINE ON AG NANOPARTICLES DISPERSED IN AGAROSE GEL A A A Œ DETECTION OF METHAMPHETAMINE IN FINGERPRINTS BY SERS,THE ADSORPTION OF METHAMPHETAMINE ON AG NANOPARTICLES DISPERSED IN AGAROSE GEL DETECTION OF METHAMPHETAMINE IN FINGERPRINTS BY SERS
THE EFFECTS OF SYNTHETIC CANNABINOID UR 144 ON THE HUMAN BODYA A A A REVIEW OF 39 CASES,THE EFFECTS OF SYNTHETIC CANNABINOID UR 144 ON THE HUMAN BODYA A REVIEW OF 39 CASES
THE NOVEL PSYCHOACTIVE SUBSTANCE 3 METHYLMETHCATHINONE 3 MMC OR METAPHEDRONE  A REVIEW,THE NOVEL PSYCHOACTIVE SUBSTANCE 3 METHYLMETHCATHINONE 3 MMC OR METAPHEDRONE A REVIEW
THE SCIENTIFIC FOUNDATIONS OF FIREARMS AND TOOL MARK IDENTIFICATION  A RESPONSE TO RECENT CHALLENGES,THE SCIENTIFIC FOUNDATIONS OF FIREARMS AND TOOL MARK IDENTIFICATION A RESPONSE TO RECENT CHALLENGES
THE UNCERTAINTY OF REFERENCE STANDARDS  A GUIDE TO UNDERSTANDING FACTORS IMPACTING UNCERTAINTY UNCERTAINTY CALCULATIONS AND VENDOR CERTIFICATIONS,THE UNCERTAINTY OF REFERENCE STANDARDS A GUIDE TO UNDERSTANDING FACTORS IMPACTING UNCERTAINTY UNCERTAINTY CALCULATIONS AND VENDOR CERTIFICATIONS
THEORY OF IDENTIFICATION RANGE OF STRIAE COMPARISON REPORTS AND MODIFIED GLOSSARY DEFINITIONS  AN AFTE CRITERIA FOR IDENTIFICATION COMMITTEE REPORT,THEORY OF IDENTIFICATION RANGE OF STRIAE COMPARISON REPORTS AND MODIFIED GLOSSARY DEFINITIONS AN AFTE CRITERIA FOR IDENTIFICATION COMMITTEE REPORT
URINE BENZODIAZEPINE SCREENING USING ROCHE ONLINE R KIMS IMMUNOASSAY WITH BETA GLUCURONIDASE HYDROLYSIS AND CONFIRMATION BY GAS CHROMATOGRAPHY MASS SPECTROMETRY,URINE BENZODIAZEPINE SCREENING USING ROCHE ONLINE KIMS IMMUNOASSAY WITH ß GLUCURONIDASE HYDROLYSIS AND CONFIRMATION BY GAS CHROMATOGRAPHY MASS SPECTROMETRY
WHAT ARE THE PROSPECTS OF 3D PROFILING SYSTEMS APPLIED TO FIREARMS AND TOOLMARKS IDENTIFICATION,WHAT ARE THE PROSPECTS OF 3D PROFILING SYSTEMS APPLIED TO FIREARMS AND TOOLMARK IDENTIFICATION
WITHDRAWAL PHENOMENA AND DEPENDENCE SYNDROME AFTER THE CONSUMPTION OF SPICE GOLD ENTZUGSZEICHEN UND ABHAƑÆ A A NGIGKEITSSYNDROM NACH SPICE GOLD KONSUM,WITHDRAWAL PHENOMENA AND DEPENDENCE SYNDROME AFTER THE CONSUMPTION OF SPICE GOLD ENTZUGSZEICHEN UND ABHA NGIGKEITSSYNDROM NACH SPICE GOLD KONSUM
