"raw.x","raw.y","pass"
"THE SCIENTIFIC FOUNDATIONS OF FIREARMS AND TOOL MARK IDENTIFICATION  A RESPONSE TO RECENT CHALLENGES","THE SCIENTIFIC FOUNDATIONS OF FIREARMS AND TOOL MARK IDENTIFICATION A RESPONSE TO RECENT CHALLENGES","Partial"
"HERBAL REFERENCE STANDARDS","THE UNCERTAINTY OF REFERENCE STANDARDS A GUIDE TO UNDERSTANDING FACTORS IMPACTING UNCERTAINTY UNCERTAINTY CALCULATIONS AND VENDOR CERTIFICATIONS","Partial"
"THE UNCERTAINTY OF REFERENCE STANDARDS  A GUIDE TO UNDERSTANDING FACTORS IMPACTING UNCERTAINTY UNCERTAINTY CALCULATIONS AND VENDOR CERTIFICATIONS","THE UNCERTAINTY OF REFERENCE STANDARDS A GUIDE TO UNDERSTANDING FACTORS IMPACTING UNCERTAINTY UNCERTAINTY CALCULATIONS AND VENDOR CERTIFICATIONS","Partial"
"THEORY OF IDENTIFICATION RANGE OF STRIAE COMPARISON REPORTS AND MODIFIED GLOSSARY DEFINITIONS  AN AFTE CRITERIA FOR IDENTIFICATION COMMITTEE REPORT","THEORY OF IDENTIFICATION RANGE OF STRIAE COMPARISON REPORTS AND MODIFIED GLOSSARY DEFINITIONS AN AFTE CRITERIA FOR IDENTIFICATION COMMITTEE REPORT","Partial"
"TOPOGRAPHY MEASUREMENTS AND APPLICATIONS","TOPOGRAPHY MEASUREMENTS AND APPLICATIONS IN BALLISTICS AND TOOL MARK IDENTIFICATIONS","Partial"
"URINE BENZODIAZEPINE SCREENING USING ROCHE ONLINE R KIMS IMMUNOASSAY WITH BETA GLUCURONIDASE HYDROLYSIS AND CONFIRMATION BY GAS CHROMATOGRAPHY MASS SPECTROMETRY","URINE BENZODIAZEPINE SCREENING USING ROCHE ONLINE KIMS IMMUNOASSAY WITH ß GLUCURONIDASE HYDROLYSIS AND CONFIRMATION BY GAS CHROMATOGRAPHY MASS SPECTROMETRY","Partial"
"WHAT ARE THE PROSPECTS OF 3D PROFILING SYSTEMS APPLIED TO FIREARMS AND TOOLMARKS IDENTIFICATION","WHAT ARE THE PROSPECTS OF 3D PROFILING SYSTEMS APPLIED TO FIREARMS AND TOOLMARK IDENTIFICATION","Partial"
"WITHDRAWAL PHENOMENA AND DEPENDENCE SYNDROME AFTER THE CONSUMPTION OF SPICE GOLD ENTZUGSZEICHEN UND ABHAƑÆ A A NGIGKEITSSYNDROM NACH SPICE GOLD KONSUM","WITHDRAWAL PHENOMENA AND DEPENDENCE SYNDROME AFTER THE CONSUMPTION OF SPICE GOLD ENTZUGSZEICHEN UND ABHA NGIGKEITSSYNDROM NACH SPICE GOLD KONSUM","Partial"
"ILLICIT PRODUCTION OF COCAINE","WORKABILITY OF SODA LIME GLASS IN THE PRODUCTION OF CONTAINERS","Partial"
"WORLD DRUG REPORT  2000","WORLD DRUG REPORT BOOK 1 EXECUTIVE SUMMARY","Partial"
